Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30
Alabama,Autauga,0,1,4,6,6,6,6,6
Alabama,Baldwin,3,4,4,5,5,10,15,18
Alabama,Barbour,0,0,0,0,0,0,0,0
Alabama,Bibb,0,0,0,0,0,0,0,2
Alabama,Blount,0,0,1,2,4,5,5,5
Alabama,Bullock,0,0,0,2,2,3,3,3
Alabama,Butler,0,0,1,1,1,1,1,1
Alabama,Calhoun,2,2,2,2,3,3,3,8
Alabama,Chambers,2,5,10,13,13,17,27,33
Alabama,Cherokee,0,0,1,1,1,1,2,2
Alabama,Chilton,0,0,1,4,6,7,7,10
Alabama,Choctaw,0,0,0,1,1,1,1,2
Alabama,Clarke,0,0,0,0,0,0,0,0
Alabama,Clay,0,0,1,1,1,2,2,2
Alabama,Cleburne,0,0,1,1,3,4,5,5
Alabama,Coffee,0,0,0,1,0,0,0,0
Alabama,Colbert,0,0,1,1,1,1,2,4
Alabama,Conecuh,0,0,0,0,0,0,0,0
Alabama,Coosa,0,0,0,2,2,2,3,3
Alabama,Covington,0,0,0,0,1,2,2,2
Alabama,Crenshaw,0,0,0,0,1,1,1,1
Alabama,Cullman,2,3,4,6,6,7,7,8
Alabama,Dale,0,0,0,0,0,0,0,0
Alabama,Dallas,0,0,2,2,2,2,2,2
Alabama,DeKalb,0,0,0,1,1,4,4,4
Alabama,Elmore,6,8,9,10,12,12,13,13
Alabama,Escambia,0,0,0,0,0,1,1,1
Alabama,Etowah,0,0,0,4,4,6,6,6
Alabama,Fayette,0,0,0,0,0,0,0,1
Alabama,Franklin,1,1,2,3,3,3,3,3
Alabama,Geneva,0,0,0,0,0,0,0,0
Alabama,Greene,0,0,0,0,1,3,3,3
Alabama,Hale,0,0,0,0,0,0,0,1
Alabama,Henry,0,0,0,0,0,0,0,0
Alabama,Houston,1,1,2,3,3,4,6,9
Alabama,Jackson,1,2,2,4,4,5,5,5
Alabama,Jefferson,86,91,129,159,177,195,245,254
Alabama,Lamar,1,1,1,1,1,1,1,1
Alabama,Lauderdale,3,3,6,9,9,12,12,12
Alabama,Lawrence,0,0,0,3,2,3,3,3
Alabama,Lee,19,26,40,47,48,56,59,71
Alabama,Limestone,1,4,6,13,14,16,16,20
Alabama,Lowndes,0,0,0,1,1,1,1,1
Alabama,Macon,0,0,0,0,0,0,1,1
Alabama,Madison,21,21,35,43,47,62,79,91
Alabama,Marengo,0,0,0,1,2,3,5,5
Alabama,Marion,1,1,3,7,7,9,10,10
Alabama,Marshall,0,0,1,3,4,4,5,7
Alabama,Mobile,2,6,10,18,23,29,40,44
Alabama,Monroe,0,0,0,0,0,1,1,1
Alabama,Montgomery,4,9,13,17,18,18,21,22
Alabama,Morgan,0,2,5,9,9,15,17,17
Alabama,Perry,0,0,0,0,0,0,0,0
Alabama,Pickens,0,0,1,1,1,1,2,2
Alabama,Pike,0,0,1,2,2,4,4,4
Alabama,Randolph,0,0,0,0,1,2,2,2
Alabama,Russell,0,0,1,1,1,1,1,1
Alabama,St. Clair,3,4,6,6,9,11,13,13
Alabama,Shelby,22,27,42,52,66,72,79,79
Alabama,Sumter,0,0,0,0,0,0,0,0
Alabama,Talladega,1,2,3,4,4,4,4,5
Alabama,Tallapoosa,1,2,4,4,4,5,8,8
Alabama,Tuscaloosa,9,10,15,19,21,22,23,24
Alabama,Walker,3,5,9,17,23,28,30,30
Alabama,Washington,1,1,1,2,2,2,4,4
Alabama,Wilcox,0,0,1,2,2,2,2,2
Alabama,Winston,0,0,0,0,2,2,2,2
Alabama,Out of AL,0,0,0,0,0,0,0,0
Alabama,Unassigned,0,0,0,0,0,0,0,0
