Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30
Arizona,Apache,4,4,7,9,11,13,13,17
Arizona,Cochise,1,1,1,2,2,3,3,4
Arizona,Coconino,17,18,23,28,41,56,62,71
Arizona,Gila,0,0,0,0,0,1,1,1
Arizona,Graham,2,2,2,2,4,2,2,2
Arizona,Greenlee,0,0,0,0,0,0,0,1
Arizona,La Paz,0,0,0,2,2,2,2,2
Arizona,Maricopa,139,199,251,299,399,454,545,690
Arizona,Mohave,0,0,0,2,4,5,6,7
Arizona,Navajo,25,32,37,43,49,57,62,88
Arizona,Pima,24,42,49,75,102,120,153,187
Arizona,Pinal,17,22,23,35,36,41,51,64
Arizona,Santa Cruz,1,1,1,2,2,2,2,2
Arizona,Yavapai,3,3,4,5,9,13,12,15
Arizona,Yuma,2,2,3,4,4,4,5,6
Arizona,Out of AZ,0,0,0,0,0,0,0,0
Arizona,Unassigned,0,0,0,0,0,0,0,0
