Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30
Arkansas,Arkansas,0,0,0,0,0,0,0,1
Arkansas,Ashley,0,0,0,0,0,0,1,1
Arkansas,Baxter,0,0,0,0,0,1,1,1
Arkansas,Benton,1,1,1,18,23,28,31,35
Arkansas,Boone,1,1,1,1,1,1,1,1
Arkansas,Bradley,4,4,4,4,4,4,4,4
Arkansas,Calhoun,0,0,0,0,0,0,0,0
Arkansas,Carroll,0,0,0,0,0,0,0,0
Arkansas,Chicot,0,0,0,0,1,1,1,1
Arkansas,Clark,7,6,12,15,17,18,17,21
Arkansas,Clay,0,0,0,0,0,0,0,0
Arkansas,Cleburne,27,32,40,47,49,50,50,56
Arkansas,Cleveland,3,3,3,3,3,5,5,5
Arkansas,Columbia,1,1,1,1,1,1,1,1
Arkansas,Conway,1,1,1,1,1,1,1,1
Arkansas,Craighead,4,4,4,4,4,4,6,6
Arkansas,Crawford,1,1,1,1,1,1,1,1
Arkansas,Crittenden,1,1,6,7,9,14,17,17
Arkansas,Cross,0,1,1,1,1,1,1,1
Arkansas,Dallas,0,0,0,0,0,0,0,0
Arkansas,Desha,2,2,2,2,2,2,2,2
Arkansas,Drew,0,0,0,1,1,1,1,1
Arkansas,Faulkner,10,14,23,24,27,29,30,30
Arkansas,Franklin,0,0,0,0,0,0,0,0
Arkansas,Fulton,0,0,0,0,0,0,0,0
Arkansas,Garland,9,10,16,18,20,20,25,26
Arkansas,Grant,3,3,3,3,3,3,3,3
Arkansas,Greene,1,1,1,1,1,1,1,1
Arkansas,Hempstead,0,1,1,1,1,0,0,1
Arkansas,Hot Spring,0,0,1,1,1,1,1,1
Arkansas,Howard,0,0,0,0,0,1,1,1
Arkansas,Independence,3,3,3,3,3,3,3,3
Arkansas,Izard,0,0,0,0,0,0,0,0
Arkansas,Jackson,0,0,0,0,0,0,0,0
Arkansas,Jefferson,21,21,22,23,23,25,25,26
Arkansas,Johnson,0,0,0,0,0,1,1,1
Arkansas,Lafayette,0,0,0,0,0,0,0,0
Arkansas,Lawrence,1,1,0,1,1,1,1,1
Arkansas,Lee,0,0,0,0,0,0,0,0
Arkansas,Lincoln,2,2,2,5,5,6,6,6
Arkansas,Little River,0,0,0,0,0,0,0,0
Arkansas,Logan,0,0,0,0,0,0,0,0
Arkansas,Lonoke,0,0,0,1,1,1,1,1
Arkansas,Madison,0,0,0,0,0,0,0,0
Arkansas,Marion,0,0,0,0,0,0,0,0
Arkansas,Miller,0,0,0,0,0,0,0,0
Arkansas,Mississippi,0,0,0,0,0,0,0,0
Arkansas,Monroe,0,0,0,0,0,0,0,0
Arkansas,Montgomery,0,0,0,0,0,0,0,0
Arkansas,Nevada,0,0,0,0,0,0,1,1
Arkansas,Newton,0,0,0,0,0,0,0,0
Arkansas,Ouachita,0,0,0,0,0,0,0,0
Arkansas,Perry,0,0,0,0,0,0,0,1
Arkansas,Phillips,0,0,0,0,0,0,0,0
Arkansas,Pike,0,1,1,1,1,1,1,1
Arkansas,Poinsett,3,3,3,3,3,3,3,3
Arkansas,Polk,1,1,1,1,1,1,1,1
Arkansas,Pope,1,1,1,1,1,1,1,1
Arkansas,Prairie,0,0,0,0,0,0,0,0
Arkansas,Pulaski,61,64,78,83,88,92,93,94
Arkansas,Randolph,0,0,0,1,1,1,1,1
Arkansas,St. Francis,0,0,0,0,0,0,0,0
Arkansas,Saline,4,4,4,4,4,4,6,6
Arkansas,Scott,0,0,0,0,0,0,0,0
Arkansas,Searcy,2,2,2,2,2,2,2,2
Arkansas,Sebastian,1,1,2,2,2,2,2,5
Arkansas,Sevier,1,1,1,1,1,1,1,1
Arkansas,Sharp,0,0,0,0,0,0,0,0
Arkansas,Stone,1,1,1,1,1,1,1,1
Arkansas,Union,1,1,1,1,1,5,5,7
Arkansas,Van Buren,3,5,8,11,16,17,17,20
Arkansas,Washington,5,5,6,10,13,14,14,15
Arkansas,White,1,1,1,1,6,6,6,6
Arkansas,Woodruff,1,1,1,1,1,1,1,1
Arkansas,Yell,0,0,0,0,0,0,0,0
Arkansas,Out of AR,0,0,0,0,0,0,0,0
Arkansas,Unassigned,3,13,20,24,35,32,31,49
