Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30
Florida,Alachua,36,37,45,49,57,67,71,79
Florida,Baker,3,4,5,5,7,7,7,8
Florida,Bay,1,1,1,3,3,5,6,6
Florida,Bradford,1,1,1,1,1,1,1,2
Florida,Brevard,7,9,11,13,16,26,28,31
Florida,Broward,263,311,355,504,614,814,838,1152
Florida,Calhoun,0,0,0,0,0,0,0,0
Florida,Charlotte,3,3,3,3,5,12,16,18
Florida,Citrus,9,9,9,11,11,14,15,17
Florida,Clay,8,10,13,19,22,24,30,35
Florida,Collier,39,41,47,65,81,92,95,119
Florida,Columbia,2,3,3,3,3,3,3,3
Florida,DeSoto,1,1,1,5,6,7,7,7
Florida,Dixie,0,0,0,0,0,0,0,0
Florida,Duval,50,50,56,74,90,115,125,158
Florida,Escambia,9,10,14,19,22,28,30,42
Florida,Flagler,3,4,5,7,11,13,13,13
Florida,Franklin,0,0,0,0,0,0,0,0
Florida,Gadsden,1,1,1,1,1,1,1,1
Florida,Gilchrist,0,0,0,0,0,0,0,0
Florida,Glades,0,0,0,0,0,0,0,3
Florida,Gulf,0,0,0,0,0,0,0,0
Florida,Hamilton,0,0,0,0,0,0,0,0
Florida,Hardee,0,0,0,0,0,0,0,0
Florida,Hendry,0,0,0,0,0,0,1,3
Florida,Hernando,5,5,8,9,10,13,14,21
Florida,Highlands,2,4,4,5,5,10,10,13
Florida,Hillsborough,75,91,106,142,167,195,218,253
Florida,Holmes,0,0,0,0,0,0,0,0
Florida,Indian River,10,11,12,13,14,16,17,24
Florida,Jackson,1,1,1,1,1,1,1,2
Florida,Jefferson,0,0,0,0,0,0,0,0
Florida,Lafayette,0,0,0,0,0,0,0,0
Florida,Lake,9,14,18,25,29,35,38,47
Florida,Lee,30,32,42,56,76,101,124,164
Florida,Leon,6,8,8,9,14,16,18,21
Florida,Levy,0,0,0,0,0,1,2,2
Florida,Liberty,0,0,0,0,0,0,0,0
Florida,Madison,0,0,0,0,0,0,0,0
Florida,Manatee,15,16,22,26,28,30,33,39
Florida,Marion,4,4,5,5,8,17,20,23
Florida,Martin,4,4,4,8,16,25,26,27
Florida,Miami-Dade,278,338,400,616,763,1003,1192,1632
Florida,Monroe,2,3,8,12,16,20,22,24
Florida,Nassau,1,1,1,5,6,6,7,8
Florida,Okaloosa,14,14,16,21,23,27,31,35
Florida,Okeechobee,0,0,0,0,0,0,0,0
Florida,Orange,48,50,77,110,156,206,246,293
Florida,Osceola,25,26,35,42,53,66,83,94
Florida,Palm Beach,89,101,118,169,194,292,333,423
Florida,Pasco,14,15,17,19,23,28,34,38
Florida,Pinellas,41,45,50,64,77,94,113,126
Florida,Polk,13,13,14,17,26,34,39,55
Florida,Putnam,2,2,4,12,12,12,12,13
Florida,St. Johns,18,22,26,33,36,48,50,60
Florida,St. Lucie,5,6,8,10,14,21,23,29
Florida,Santa Rosa,4,4,7,9,11,14,20,30
Florida,Sarasota,21,26,27,34,40,48,50,61
Florida,Seminole,22,23,29,37,49,61,76,87
Florida,Sumter,8,10,13,24,29,33,43,46
Florida,Suwannee,0,0,0,0,1,1,1,3
Florida,Taylor,0,0,0,0,0,0,0,0
Florida,Union,0,0,0,0,0,0,0,0
Florida,Volusia,16,18,20,29,39,44,47,65
Florida,Wakulla,0,0,0,0,0,0,0,1
Florida,Walton,9,10,12,13,13,15,15,15
Florida,Washington,0,0,0,0,1,1,1,1
Florida,Out of FL,0,0,0,0,0,0,0,0
Florida,Unassigned,0,0,0,0,0,0,0,1
