Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30
Georgia,Appling,0,0,1,0,0,0,0,0
Georgia,Atkinson,0,0,0,0,0,0,0,0
Georgia,Bacon,0,0,0,0,0,0,1,1
Georgia,Baker,0,2,3,1,1,1,1,1
Georgia,Baldwin,2,2,2,2,2,2,2,3
Georgia,Banks,0,0,0,0,0,0,0,1
Georgia,Barrow,1,1,2,4,6,7,7,7
Georgia,Bartow,61,74,78,86,98,116,119,121
Georgia,Ben Hill,0,1,1,1,2,2,2,2
Georgia,Berrien,0,0,0,0,0,0,0,1
Georgia,Bibb,2,4,6,8,10,11,13,15
Georgia,Bleckley,0,0,0,0,0,0,0,0
Georgia,Brantley,0,0,0,0,0,0,0,0
Georgia,Brooks,0,0,0,0,0,0,1,1
Georgia,Bryan,0,2,2,3,4,6,7,7
Georgia,Bulloch,0,0,0,0,0,0,1,1
Georgia,Burke,0,1,1,1,3,3,4,4
Georgia,Butts,2,2,2,3,3,5,5,5
Georgia,Calhoun,0,0,0,0,2,2,3,5
Georgia,Camden,0,1,1,2,2,2,2,3
Georgia,Candler,0,0,0,0,0,0,1,1
Georgia,Carroll,21,26,27,50,55,64,64,81
Georgia,Catoosa,1,1,1,1,1,1,3,3
Georgia,Charlton,1,1,1,1,1,1,1,1
Georgia,Chatham,4,7,7,9,10,15,15,16
Georgia,Chattahoochee,0,0,0,0,0,1,1,1
Georgia,Chattooga,1,1,1,1,1,1,1,1
Georgia,Cherokee,20,28,31,38,46,52,56,61
Georgia,Clarke,14,16,19,24,32,35,35,41
Georgia,Clay,0,0,0,0,0,0,0,0
Georgia,Clayton,18,21,22,32,46,57,59,61
Georgia,Clinch,1,1,1,1,1,1,1,1
Georgia,Cobb,79,86,101,115,144,181,222,245
Georgia,Coffee,1,2,2,2,3,3,8,10
Georgia,Colquitt,0,2,2,4,4,5,6,6
Georgia,Columbia,3,4,6,10,10,12,12,12
Georgia,Cook,0,0,0,0,0,0,0,1
Georgia,Coweta,9,10,10,12,19,19,22,28
Georgia,Crawford,0,0,0,0,0,0,0,0
Georgia,Crisp,0,3,3,4,4,5,6,6
Georgia,Dade,0,0,0,0,0,0,0,0
Georgia,Dawson,1,1,1,3,2,2,2,5
Georgia,Decatur,0,0,1,2,2,3,4,5
Georgia,DeKalb,75,94,116,129,181,240,272,281
Georgia,Dodge,0,0,1,1,1,1,1,1
Georgia,Dooly,0,0,0,0,0,0,0,1
Georgia,Dougherty,64,90,109,156,193,205,239,267
Georgia,Douglas,7,11,17,18,27,35,37,39
Georgia,Early,2,2,5,7,10,15,16,16
Georgia,Echols,0,0,0,0,0,0,0,0
Georgia,Effingham,2,2,3,3,4,4,4,4
Georgia,Elbert,0,0,0,0,0,0,0,0
Georgia,Emanuel,0,0,0,0,0,0,0,0
Georgia,Evans,0,0,0,0,0,0,0,0
Georgia,Fannin,0,0,1,1,2,3,3,3
Georgia,Fayette,10,12,12,14,19,25,26,32
Georgia,Floyd,10,11,14,16,20,27,27,28
Georgia,Forsyth,7,8,9,15,19,21,25,33
Georgia,Franklin,0,0,0,0,1,2,2,3
Georgia,Fulton,145,184,198,211,307,373,407,463
Georgia,Gilmer,0,0,0,0,0,0,0,1
Georgia,Glascock,0,0,0,0,0,0,0,0
Georgia,Glynn,4,5,5,5,6,7,8,10
Georgia,Gordon,5,7,8,9,12,14,14,15
Georgia,Grady,0,0,0,0,0,0,0,0
Georgia,Greene,0,1,2,1,1,1,1,3
Georgia,Gwinnett,34,45,48,75,102,129,143,158
Georgia,Habersham,0,0,0,0,1,0,0,0
Georgia,Hall,10,14,19,21,24,31,32,34
Georgia,Hancock,0,0,0,0,0,0,0,0
Georgia,Haralson,0,0,0,0,1,1,2,3
Georgia,Harris,0,1,1,1,1,1,2,4
Georgia,Hart,0,0,0,0,0,1,1,2
