Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30
Indiana,Adams,1,1,1,1,1,1,1,1
Indiana,Allen,4,7,7,8,21,23,26,28
Indiana,Bartholomew,5,5,5,6,6,7,10,10
Indiana,Benton,0,0,0,0,0,0,0,0
Indiana,Blackford,0,0,0,0,0,0,0,0
Indiana,Boone,3,3,4,7,7,8,13,20
Indiana,Brown,0,1,1,1,2,2,3,3
Indiana,Carroll,0,0,0,0,0,1,1,2
Indiana,Cass,0,0,0,0,0,0,0,1
Indiana,Clark,4,5,6,10,12,18,20,27
Indiana,Clay,0,0,0,0,0,0,1,1
Indiana,Clinton,0,0,0,0,1,1,1,1
Indiana,Crawford,0,0,0,0,0,1,1,1
Indiana,Daviess,0,0,0,0,0,0,0,0
Indiana,Dearborn,0,2,2,3,4,8,10,10
Indiana,Decatur,0,6,7,13,26,30,40,42
Indiana,DeKalb,0,0,1,1,1,1,1,1
Indiana,Delaware,2,4,7,7,8,8,14,15
Indiana,Dubois,1,1,1,1,1,1,2,2
Indiana,Elkhart,4,4,5,7,9,11,12,12
Indiana,Fayette,1,2,3,3,3,4,5,8
Indiana,Floyd,3,6,6,7,11,13,14,20
Indiana,Fountain,0,0,0,1,1,1,1,1
Indiana,Franklin,4,7,7,13,21,23,26,28
Indiana,Fulton,0,0,0,0,1,1,1,1
Indiana,Gibson,0,2,2,3,3,4,4,4
Indiana,Grant,2,3,3,3,5,5,7,7
Indiana,Greene,1,1,0,0,0,0,1,1
Indiana,Hamilton,18,25,30,40,52,64,83,106
Indiana,Hancock,2,4,8,9,13,19,22,28
Indiana,Harrison,0,0,2,2,4,7,14,15
Indiana,Hendricks,8,13,15,21,28,36,48,58
Indiana,Henry,0,0,0,0,1,1,2,2
Indiana,Howard,6,6,6,6,7,9,12,14
Indiana,Huntington,0,0,0,0,1,1,1,2
Indiana,Jackson,0,1,1,2,4,7,7,8
Indiana,Jasper,0,0,1,3,4,5,6,6
Indiana,Jay,0,0,0,0,0,0,0,0
Indiana,Jefferson,0,0,0,0,0,0,0,0
Indiana,Jennings,1,2,3,4,5,10,13,14
Indiana,Johnson,12,18,24,36,42,52,71,81
Indiana,Knox,0,0,0,0,0,0,2,2
Indiana,Kosciusko,0,0,0,0,1,2,3,4
Indiana,LaGrange,0,0,0,0,2,2,2,2
Indiana,Lake,10,17,19,31,47,68,85,97
Indiana,LaPorte,2,2,2,2,2,4,6,6
Indiana,Lawrence,0,1,1,2,5,5,8,9
Indiana,Madison,2,3,4,4,7,12,18,29
Indiana,Marion,82,161,226,293,484,584,676,804
Indiana,Marshall,0,0,0,1,4,3,3,3
Indiana,Martin,0,0,0,0,0,0,0,0
Indiana,Miami,1,1,1,1,1,1,1,3
Indiana,Monroe,1,3,4,6,8,16,22,26
Indiana,Montgomery,0,1,1,2,3,4,5,6
Indiana,Morgan,1,3,5,7,10,14,20,23
Indiana,Newton,0,0,0,0,0,1,1,1
Indiana,Noble,1,1,1,1,1,2,2,2
Indiana,Ohio,0,1,1,1,1,1,1,1
Indiana,Orange,0,0,0,1,1,1,1,2
Indiana,Owen,1,2,4,4,5,7,9,10
Indiana,Parke,0,0,0,0,0,0,0,0
Indiana,Perry,0,0,0,0,0,0,0,0
Indiana,Pike,0,0,0,0,0,0,0,0
Indiana,Porter,0,1,3,5,6,9,14,15
Indiana,Posey,0,0,0,1,1,2,3,3
Indiana,Pulaski,0,0,0,0,0,0,0,0
Indiana,Putnam,1,1,2,2,2,5,5,7
Indiana,Randolph,0,0,0,0,0,1,1,1
Indiana,Ripley,1,6,7,11,14,15,19,25
Indiana,Rush,0,0,1,1,3,3,2,4
Indiana,St. Joseph,17,18,19,21,27,31,32,36
Indiana,Scott,1,1,1,1,1,1,1,1
Indiana,Shelby,1,1,2,2,6,10,12,13
Indiana,Spencer,0,0,0,0,0,0,0,0
Indiana,Starke,1,2,1,1,1,1,1,1
Indiana,Steuben,0,0,0,0,0,0,1,1
Indiana,Sullivan,0,0,1,1,1,1,1,1
Indiana,Switzerland,0,0,0,0,0,1,3,3
Indiana,Tippecanoe,2,3,4,7,8,11,11,14
Indiana,Tipton,1,2,2,2,2,2,4,4
Indiana,Union,0,0,0,0,0,0,0,0
Indiana,Vanderburgh,1,1,1,4,6,10,17,17
Indiana,Vermillion,0,0,0,0,0,0,0,0
Indiana,Vigo,2,3,3,3,3,4,7,7
Indiana,Wabash,0,0,0,0,1,1,1,1
Indiana,Warren,0,0,0,1,1,1,2,2
Indiana,Warrick,0,1,0,3,3,6,8,8
Indiana,Washington,1,2,2,3,4,4,5,6
Indiana,Wayne,1,0,0,1,1,1,1,1
Indiana,Wells,1,1,1,1,1,1,1,1
Indiana,White,0,0,0,0,0,1,1,2
Indiana,Whitley,0,0,0,0,0,1,1,1
Indiana,Out of IN,0,0,0,0,0,0,0,0
Indiana,Unassigned,56,0,0,0,0,0,0,0
