Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30
Iowa,Adair,1,1,1,1,1,1,1,1
Iowa,Adams,0,0,0,0,0,0,0,0
Iowa,Allamakee,6,6,7,7,7,7,7,7
Iowa,Appanoose,0,0,0,1,1,1,1,1
Iowa,Audubon,0,0,0,0,0,0,0,1
Iowa,Benton,0,0,2,2,3,4,4,7
Iowa,Black Hawk,3,4,4,5,7,6,6,6
Iowa,Boone,0,0,0,0,0,1,1,1
Iowa,Bremer,0,0,0,0,0,0,0,0
Iowa,Buchanan,0,1,1,1,1,2,2,2
Iowa,Buena Vista,0,0,0,0,0,0,0,0
Iowa,Butler,0,0,0,0,1,1,1,1
Iowa,Calhoun,0,0,0,0,0,0,0,0
Iowa,Carroll,1,1,1,1,1,1,1,1
Iowa,Cass,0,0,0,0,0,0,0,0
Iowa,Cedar,0,1,1,4,5,6,7,8
Iowa,Cerro Gordo,2,2,2,2,3,4,6,7
Iowa,Cherokee,0,0,0,0,0,0,0,0
Iowa,Chickasaw,0,0,0,0,0,0,0,0
Iowa,Clarke,0,0,0,0,0,0,0,0
Iowa,Clay,0,0,0,0,0,0,0,0
Iowa,Clayton,0,0,0,1,1,1,1,1
Iowa,Clinton,0,0,0,0,1,1,1,2
Iowa,Crawford,0,0,0,0,0,0,0,1
Iowa,Dallas,6,7,7,7,9,15,17,21
Iowa,Davis,0,0,0,0,0,0,0,0
Iowa,Decatur,0,0,0,0,0,0,0,0
Iowa,Delaware,0,0,0,0,0,0,0,0
Iowa,Des Moines,0,0,1,1,1,1,1,1
Iowa,Dickinson,0,0,0,0,1,1,1,1
Iowa,Dubuque,6,6,6,6,8,12,16,21
Iowa,Emmet,0,0,0,0,0,0,0,0
Iowa,Fayette,1,1,1,1,1,2,2,2
Iowa,Floyd,0,0,0,0,0,0,0,0
Iowa,Franklin,0,0,0,0,0,0,0,0
Iowa,Fremont,0,0,0,0,0,0,0,0
Iowa,Greene,0,0,0,0,0,0,0,0
Iowa,Grundy,0,0,0,0,0,0,0,0
Iowa,Guthrie,0,0,0,0,0,0,0,1
Iowa,Hamilton,0,0,0,0,0,0,0,0
Iowa,Hancock,2,2,3,3,3,3,3,3
Iowa,Hardin,0,0,0,0,1,1,1,1
Iowa,Harrison,3,3,3,3,7,8,8,8
Iowa,Henry,1,1,1,1,2,2,3,3
Iowa,Howard,0,0,0,0,0,0,0,0
Iowa,Humboldt,0,0,0,0,0,0,0,0
Iowa,Ida,0,0,0,0,0,0,0,0
Iowa,Iowa,0,0,0,0,1,1,2,3
Iowa,Jackson,0,0,0,0,0,0,0,1
Iowa,Jasper,0,1,1,2,2,3,4,5
Iowa,Jefferson,0,0,0,0,0,0,0,0
Iowa,Johnson,35,37,43,49,58,61,65,70
Iowa,Jones,0,0,0,0,0,0,0,1
Iowa,Keokuk,0,0,0,0,0,1,1,1
Iowa,Kossuth,1,1,1,1,1,1,1,1
Iowa,Lee,0,0,0,0,0,0,0,0
Iowa,Linn,6,6,7,12,22,36,42,71
Iowa,Louisa,0,0,0,0,0,0,0,0
Iowa,Lucas,0,0,0,0,0,0,0,0
Iowa,Lyon,0,0,0,0,0,0,0,0
Iowa,Madison,0,0,0,0,0,0,0,0
Iowa,Mahaska,0,0,0,1,2,2,2,2
Iowa,Marion,0,0,0,0,0,0,0,0
Iowa,Marshall,0,0,0,0,1,5,6,6
Iowa,Mills,0,0,0,0,0,0,0,0
Iowa,Mitchell,0,0,0,0,0,0,0,0
Iowa,Monona,0,0,0,1,2,2,2,5
Iowa,Monroe,0,0,0,0,0,0,0,0
Iowa,Montgomery,0,0,0,0,1,1,1,1
Iowa,Muscatine,3,5,6,6,7,10,10,13
Iowa,O'Brien,0,0,0,0,0,0,0,0
Iowa,Osceola,0,0,0,0,0,0,0,0
Iowa,Page,0,0,0,1,2,2,2,2
Iowa,Palo Alto,0,0,0,0,0,0,0,0
Iowa,Plymouth,0,0,0,0,0,0,0,0
Iowa,Pocahontas,0,0,0,0,0,0,0,0
Iowa,Polk,12,15,20,24,28,40,50,61
Iowa,Pottawattamie,2,2,2,3,3,3,3,3
Iowa,Poweshiek,1,2,4,4,4,5,5,5
Iowa,Ringgold,0,0,0,0,0,0,0,0
Iowa,Sac,0,0,0,0,0,0,0,0
Iowa,Scott,1,1,3,7,7,10,10,16
Iowa,Shelby,0,0,0,0,0,1,1,3
Iowa,Sioux,1,1,1,2,2,2,2,2
Iowa,Story,1,2,2,2,2,2,2,2
Iowa,Tama,3,4,4,4,5,8,9,10
Iowa,Taylor,0,0,0,0,0,1,1,1
Iowa,Union,0,0,0,0,0,0,0,0
Iowa,Van Buren,0,0,0,0,0,0,0,1
Iowa,Wapello,1,1,1,1,1,1,1,1
Iowa,Warren,0,1,1,1,1,1,1,1
Iowa,Washington,3,4,6,8,11,11,13,18
Iowa,Wayne,0,0,0,0,0,0,0,0
Iowa,Webster,0,0,0,0,1,1,1,1
Iowa,Winnebago,0,0,0,0,0,0,0,0
Iowa,Winneshiek,1,1,1,1,2,2,3,3
Iowa,Woodbury,2,2,2,2,3,3,4,4
Iowa,Worth,0,0,0,0,0,0,0,0
Iowa,Wright,0,0,0,0,1,1,1,1
Iowa,Out of IA,0,0,0,0,0,0,0,0
Iowa,Unassigned,0,2,0,0,0,0,0,0
