Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30
Kentucky,Adair,0,0,0,0,0,0,0,0
Kentucky,Allen,0,0,1,1,1,1,1,1
Kentucky,Anderson,2,2,2,2,2,2,2,2
Kentucky,Ballard,0,0,0,0,0,0,0,0
Kentucky,Barren,0,0,0,0,0,0,1,1
Kentucky,Bath,0,0,0,0,0,0,0,0
Kentucky,Bell,0,0,0,0,0,0,0,0
Kentucky,Boone,0,1,1,1,1,5,5,5
Kentucky,Bourbon,2,2,2,2,2,2,2,2
Kentucky,Boyd,0,0,0,0,0,0,0,0
Kentucky,Boyle,0,0,0,0,0,0,1,1
Kentucky,Bracken,0,0,0,0,0,0,1,1
Kentucky,Breathitt,1,1,2,2,2,2,2,2
Kentucky,Breckinridge,0,0,0,0,0,0,2,2
Kentucky,Bullitt,0,0,0,0,0,0,2,2
Kentucky,Butler,0,0,0,0,0,0,1,1
Kentucky,Caldwell,0,0,0,0,0,0,0,0
Kentucky,Calloway,1,1,1,1,1,1,2,3
Kentucky,Campbell,0,1,1,1,1,3,4,4
Kentucky,Carlisle,0,0,0,0,0,0,0,0
Kentucky,Carroll,0,0,0,0,0,0,1,1
Kentucky,Carter,0,0,0,0,0,0,0,0
Kentucky,Casey,0,0,0,0,0,0,0,0
Kentucky,Christian,2,2,2,2,2,2,6,6
Kentucky,Clark,2,2,2,2,2,2,6,6
Kentucky,Clay,0,0,0,0,0,0,0,0
Kentucky,Clinton,0,0,0,0,0,0,0,0
Kentucky,Crittenden,0,0,0,0,0,0,0,0
Kentucky,Cumberland,0,0,0,0,0,0,0,0
Kentucky,Daviess,11,11,14,14,14,33,27,27
Kentucky,Edmonson,0,0,0,0,0,0,0,0
Kentucky,Elliott,0,0,0,0,0,0,0,0
Kentucky,Estill,0,0,0,0,0,0,0,0
Kentucky,Fayette,15,15,28,28,28,28,67,82
Kentucky,Fleming,0,0,0,0,0,0,0,0
Kentucky,Floyd,0,0,0,0,0,0,1,1
Kentucky,Franklin,2,2,2,2,2,2,6,6
Kentucky,Fulton,0,0,0,0,0,0,0,0
Kentucky,Gallatin,0,0,0,0,0,0,0,0
Kentucky,Garrard,0,0,0,0,0,0,0,0
Kentucky,Grant,0,0,0,0,0,0,1,1
Kentucky,Graves,0,0,0,0,0,0,0,0
Kentucky,Grayson,0,0,0,0,0,0,2,2
Kentucky,Green,0,0,0,0,0,0,0,0
