Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30
Louisiana,Acadia,1,2,2,3,8,9,9,11
Louisiana,Allen,2,2,2,5,5,7,9,11
Louisiana,Ascension,26,36,65,91,90,107,139,153
Louisiana,Assumption,1,2,2,5,8,8,14,17
Louisiana,Avoyelles,1,3,5,7,10,12,13,14
Louisiana,Beauregard,1,2,3,3,4,4,4,5
Louisiana,Bienville,1,1,1,1,1,3,3,5
Louisiana,Bossier,12,12,25,32,37,45,56,57
Louisiana,Caddo,34,40,93,115,140,189,219,222
Louisiana,Calcasieu,4,5,11,15,22,28,35,42
Louisiana,Caldwell,0,0,0,0,0,0,1,1
Louisiana,Cameron,0,0,0,0,0,0,0,0
Louisiana,Catahoula,1,1,1,1,1,1,1,3
Louisiana,Claiborne,2,2,2,2,3,4,4,4
Louisiana,Concordia,0,0,0,0,0,0,0,0
Louisiana,De Soto,5,6,8,11,13,21,25,28
Louisiana,East Baton Rouge,43,58,75,105,124,153,164,188
Louisiana,East Carroll,0,0,0,0,0,1,1,1
Louisiana,East Feliciana,0,0,0,4,5,6,8,8
Louisiana,Evangeline,2,2,2,2,4,4,4,8
Louisiana,Franklin,0,0,0,0,0,4,4,5
Louisiana,Grant,1,1,1,1,1,1,2,2
Louisiana,Iberia,3,2,2,3,4,9,11,18
Louisiana,Iberville,10,14,14,17,20,21,22,28
Louisiana,Jackson,0,0,1,1,3,2,2,2
Louisiana,Jefferson,252,293,359,458,548,744,761,838
Louisiana,Jefferson Davis,0,0,1,1,1,1,2,3
Louisiana,Lafayette,9,12,20,30,44,48,50,82
Louisiana,Lafourche,15,16,18,28,30,34,36,51
Louisiana,LaSalle,0,0,0,0,0,2,2,2
Louisiana,Lincoln,2,2,2,3,7,6,7,8
Louisiana,Livingston,5,6,6,11,11,12,15,16
Louisiana,Madison,0,0,0,1,1,1,1,1
Louisiana,Morehouse,0,0,1,3,2,2,2,2
Louisiana,Natchitoches,2,2,2,2,2,2,2,2
Louisiana,Orleans,567,675,827,997,1170,1298,1350,1480
Louisiana,Ouachita,9,7,10,19,25,34,41,44
Louisiana,Plaquemines,8,8,9,13,16,19,20,22
Louisiana,Pointe Coupee,0,0,0,1,1,2,2,2
Louisiana,Rapides,8,10,14,25,26,37,41,44
Louisiana,Red River,0,0,0,0,0,0,1,1
Louisiana,Richland,2,1,1,1,2,2,2,2
Louisiana,Sabine,0,0,0,0,0,0,1,1
Louisiana,St. Bernard,15,19,23,28,31,43,45,53
Louisiana,St. Charles,15,15,17,22,23,30,31,36
Louisiana,St. Helena,0,0,0,0,0,0,0,0
Louisiana,St. James,8,9,14,29,40,48,55,65
Louisiana,St. John the Baptist,16,21,27,38,41,54,57,75
Louisiana,St. Landry,3,3,4,5,10,10,10,15
Louisiana,St. Martin,0,1,1,2,10,13,13,20
Louisiana,St. Mary,1,2,5,5,6,7,7,10
Louisiana,St. Tammany,47,52,67,89,111,134,138,186
Louisiana,Tangipahoa,3,4,5,7,7,10,10,18
Louisiana,Tensas,0,0,0,0,0,0,0,0
Louisiana,Terrebonne,14,14,15,21,23,26,29,34
Louisiana,Union,0,0,2,2,4,7,9,9
Louisiana,Vermilion,0,0,0,1,2,3,2,3
Louisiana,Vernon,0,2,2,2,2,2,2,3
Louisiana,Washington,2,3,4,6,8,10,12,22
Louisiana,Webster,3,3,5,8,9,9,9,11
Louisiana,West Baton Rouge,5,5,7,8,11,12,12,12
Louisiana,West Carroll,0,0,0,0,0,0,0,0
Louisiana,West Feliciana,0,0,0,0,0,4,4,4
Louisiana,Winn,0,0,1,1,1,1,1,1
Louisiana,Out of LA,0,0,0,0,0,0,0,0
Louisiana,Unassigned,11,12,11,13,16,9,8,14
