Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30
Maine,Androscoggin,3,3,4,5,6,7,8,8
Maine,Aroostook,0,0,0,0,0,0,0,0
Maine,Cumberland,66,74,87,90,92,120,142,154
Maine,Franklin,0,0,0,1,1,2,2,2
Maine,Hancock,0,0,0,0,0,0,0,0
Maine,Kennebec,4,5,5,6,6,9,10,10
Maine,Knox,1,1,1,1,2,2,4,4
Maine,Lincoln,5,5,5,5,5,5,5,8
Maine,Oxford,5,6,6,8,8,8,9,9
Maine,Penobscot,3,4,4,5,6,10,11,12
Maine,Piscataquis,0,0,0,0,0,0,0,0
Maine,Sagadahoc,3,3,4,4,4,5,7,7
Maine,Somerset,0,0,0,0,0,0,1,1
Maine,Waldo,0,1,1,2,2,2,2,2
Maine,Washington,0,0,0,0,0,0,0,0
Maine,York,12,16,23,27,33,38,47,53
Maine,Out of ME,0,0,0,0,0,0,0,0
Maine,Unassigned,5,0,2,1,3,3,5,5
