Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30
Maryland,Allegany,0,0,0,0,0,0,0,0
Maryland,Anne Arundel,20,24,31,41,63,88,99,110
Maryland,Baltimore,35,42,51,81,103,141,162,186
Maryland,Calvert,1,3,3,7,9,8,10,12
Maryland,Caroline,1,1,1,1,1,1,3,4
Maryland,Carroll,5,5,5,7,9,10,82,82
Maryland,Cecil,1,3,4,4,9,13,13,13
Maryland,Charles,5,5,8,10,17,21,28,33
Maryland,Dorchester,0,0,0,0,0,0,0,0
Maryland,Frederick,4,4,7,14,15,22,24,26
Maryland,Garrett,3,3,3,3,3,3,3,3
Maryland,Harford,5,5,5,9,18,21,23,24
Maryland,Howard,26,30,35,49,62,73,81,96
Maryland,Kent,0,0,1,1,2,2,3,3
Maryland,Montgomery,94,107,127,164,208,255,301,341
Maryland,Prince George's,47,63,76,101,148,196,247,294
Maryland,Queen Anne's,1,1,1,2,2,4,4,4
Maryland,St. Mary's,1,2,2,4,4,8,9,9
Maryland,Somerset,1,1,1,1,1,1,1,1
Maryland,Talbot,1,1,1,1,1,2,3,4
Maryland,Washington,2,2,4,4,5,6,6,7
Maryland,Wicomico,4,4,4,5,5,6,6,6
Maryland,Worcester,2,2,2,2,2,2,2,3
Maryland,Baltimore City,31,41,53,72,88,112,129,152
Maryland,Out of MD,0,0,0,0,0,0,0,0
Maryland,Unassigned,0,0,0,0,0,0,0,0
