Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30
Massachusetts,Barnstable,30,40,51,67,100,133,148,173
Massachusetts,Berkshire,26,37,71,73,105,119,151,162
Massachusetts,Bristol,25,31,67,90,129,179,208,263
Massachusetts,Dukes,0,0,0,0,0,0,0,0
Massachusetts,Essex,73,118,177,247,350,472,570,653
Massachusetts,Franklin,6,10,14,16,24,39,41,49
Massachusetts,Hampden,15,24,45,55,90,183,201,255
Massachusetts,Hampshire,6,8,11,17,20,30,37,46
Massachusetts,Middlesex,232,304,446,538,685,842,981,1141
Massachusetts,Nantucket,0,0,0,0,0,0,0,0
Massachusetts,Norfolk,82,129,222,292,393,490,548,628
Massachusetts,Plymouth,32,64,101,138,187,272,325,380
Massachusetts,Suffolk,154,234,342,448,631,843,940,1115
Massachusetts,Worcester,42,73,129,166,219,291,337,390
Massachusetts,Dukes and Nantucket,1,2,3,3,4,8,8,8
Massachusetts,Out of MA,0,0,0,0,0,0,0,0
Massachusetts,Unassigned,53,85,159,267,303,356,460,489
