Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30
Mississippi,Adams,2,2,2,3,6,6,7,7
Mississippi,Alcorn,0,0,0,0,0,1,1,0
Mississippi,Amite,0,0,1,1,0,0,4,4
Mississippi,Attala,1,3,4,7,8,9,9,9
Mississippi,Benton,0,0,0,1,2,2,4,4
Mississippi,Bolivar,4,4,4,6,9,11,11,11
Mississippi,Calhoun,0,0,1,3,3,3,3,3
Mississippi,Carroll,0,0,0,0,0,0,1,1
Mississippi,Chickasaw,3,6,6,7,9,10,10,10
Mississippi,Choctaw,0,1,3,4,4,4,5,5
Mississippi,Claiborne,0,0,0,0,0,0,1,1
Mississippi,Clarke,0,0,0,0,0,1,1,1
Mississippi,Clay,1,1,1,1,2,2,2,2
Mississippi,Coahoma,8,11,11,17,18,18,18,18
Mississippi,Copiah,4,5,6,8,8,8,8,8
Mississippi,Covington,0,0,0,0,0,1,1,1
Mississippi,DeSoto,23,29,36,49,63,65,71,71
Mississippi,Forrest,11,14,15,16,16,18,19,19
Mississippi,Franklin,3,3,3,2,2,3,3,3
Mississippi,George,1,1,1,1,1,1,3,3
Mississippi,Greene,0,0,0,0,0,0,0,0
Mississippi,Grenada,2,2,2,2,2,2,3,3
Mississippi,Hancock,4,5,5,6,9,9,15,15
Mississippi,Harrison,21,24,25,31,34,38,43,43
Mississippi,Hinds,24,31,38,43,50,58,66,66
Mississippi,Holmes,6,6,7,7,10,13,13,13
Mississippi,Humphreys,1,1,1,1,1,2,2,2
Mississippi,Issaquena,0,0,0,0,0,0,0,0
Mississippi,Itawamba,3,3,3,3,3,3,3,3
Mississippi,Jackson,7,10,12,16,24,33,34,34
Mississippi,Jasper,0,0,0,0,0,0,0,0
Mississippi,Jefferson,0,0,0,0,1,1,1,1
Mississippi,Jefferson Davis,0,0,0,0,0,0,0,0
Mississippi,Jones,1,1,1,1,1,3,5,5
Mississippi,Kemper,0,0,0,0,1,1,1,1
Mississippi,Lafayette,5,8,8,10,11,11,13,13
Mississippi,Lamar,1,2,2,4,4,4,4,4
Mississippi,Lauderdale,0,0,0,3,10,12,15,15
Mississippi,Lawrence,2,2,3,5,5,5,5,5
Mississippi,Leake,1,2,3,4,4,4,5,5
Mississippi,Lee,8,12,14,15,15,17,21,21
Mississippi,Leflore,9,10,13,13,13,15,15,15
Mississippi,Lincoln,4,4,4,6,6,8,9,9
Mississippi,Lowndes,6,6,6,8,9,10,10,10
Mississippi,Madison,11,14,17,21,25,29,37,37
Mississippi,Marion,1,1,1,1,1,3,4,4
Mississippi,Marshall,3,3,4,7,9,11,13,13
Mississippi,Monroe,2,3,3,3,3,3,5,5
Mississippi,Montgomery,1,2,4,4,4,5,6,6
Mississippi,Neshoba,0,0,0,0,1,3,4,4
Mississippi,Newton,0,1,1,1,1,1,1,1
Mississippi,Noxubee,0,1,1,1,1,2,2,2
Mississippi,Oktibbeha,5,5,7,10,12,14,15,15
Mississippi,Panola,2,2,2,4,4,4,5,5
Mississippi,Pearl River,12,13,13,16,18,23,27,27
Mississippi,Perry,1,1,1,1,2,2,2,2
Mississippi,Pike,4,7,10,12,12,12,14,14
Mississippi,Pontotoc,1,2,2,3,4,4,3,3
Mississippi,Prentiss,0,0,1,1,1,2,4,4
Mississippi,Quitman,0,0,0,2,3,4,4,4
Mississippi,Rankin,8,13,20,23,29,31,35,35
Mississippi,Scott,1,2,3,4,6,7,7,7
Mississippi,Sharkey,0,0,0,0,1,1,1,1
Mississippi,Simpson,1,1,1,1,1,2,2,2
Mississippi,Smith,1,1,1,1,1,1,1,1
Mississippi,Stone,0,0,0,0,0,0,0,0
Mississippi,Sunflower,2,3,3,4,5,7,10,10
Mississippi,Tallahatchie,1,2,2,2,2,2,2,2
Mississippi,Tate,1,1,2,6,8,8,9,9
Mississippi,Tippah,9,11,11,14,15,18,23,23
Mississippi,Tishomingo,0,0,0,0,0,0,0,0
Mississippi,Tunica,2,3,3,5,6,6,6,6
Mississippi,Union,1,1,2,2,3,3,3,3
Mississippi,Walthall,2,2,3,4,4,5,5,5
Mississippi,Warren,0,0,0,0,0,0,1,1
Mississippi,Washington,4,5,5,9,11,13,16,16
Mississippi,Wayne,0,0,0,0,0,0,0,0
Mississippi,Webster,1,2,2,2,3,3,3,3
Mississippi,Wilkinson,3,4,5,8,9,11,12,12
Mississippi,Winston,2,2,3,3,3,4,4,4
Mississippi,Yalobusha,0,0,0,3,3,3,3,3
Mississippi,Yazoo,1,3,3,3,4,4,5,5
Mississippi,Out of MS,0,0,0,0,0,0,0,0
Mississippi,Unassigned,0,0,0,0,0,0,0,89
