Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30
Missouri,Adair,2,1,1,1,1,1,1,1
Missouri,Andrew,0,0,0,0,0,0,0,0
Missouri,Atchison,0,0,0,1,1,1,1,1
Missouri,Audrain,0,0,0,0,0,0,0,0
Missouri,Barry,0,0,0,0,0,1,1,1
Missouri,Barton,0,0,0,0,0,0,0,0
Missouri,Bates,1,1,1,1,1,1,2,1
Missouri,Benton,0,0,0,1,1,1,1,1
Missouri,Bollinger,0,0,0,1,1,1,1,1
Missouri,Boone,17,20,22,37,37,49,54,59
Missouri,Buchanan,0,0,0,0,2,3,3,3
Missouri,Butler,0,0,0,0,0,0,0,0
Missouri,Caldwell,0,0,0,0,0,0,0,0
Missouri,Callaway,1,2,2,2,3,6,8,13
Missouri,Camden,1,1,1,1,1,4,7,11
Missouri,Cape Girardeau,0,0,3,3,5,5,5,13
Missouri,Carroll,0,0,0,0,0,0,0,0
Missouri,Carter,0,0,0,1,1,2,2,2
Missouri,Cass,6,6,8,8,8,8,8,9
Missouri,Cedar,0,0,0,0,0,0,0,5
Missouri,Chariton,0,0,0,0,1,1,1,3
Missouri,Christian,2,2,1,2,3,7,7,12
Missouri,Clark,0,0,0,0,0,0,0,0
Missouri,Clay,3,3,2,5,9,10,11,13
Missouri,Clinton,1,1,1,1,1,1,1,4
Missouri,Cole,5,5,6,8,10,17,17,25
Missouri,Cooper,0,0,1,1,1,1,1,1
Missouri,Crawford,0,0,0,0,0,0,0,1
Missouri,Dade,0,0,0,0,0,0,0,0
Missouri,Dallas,0,0,0,0,0,0,0,0
Missouri,Daviess,0,0,0,0,0,0,0,0
Missouri,DeKalb,0,0,0,0,0,0,0,0
Missouri,Dent,0,0,0,0,0,0,0,0
Missouri,Douglas,0,0,0,0,0,0,0,0
Missouri,Dunklin,1,1,1,2,3,3,3,6
Missouri,Franklin,0,0,3,4,4,6,7,7
Missouri,Gasconade,0,0,0,0,0,0,0,0
Missouri,Gentry,0,0,0,0,0,0,0,0
Missouri,Greene,17,19,23,25,31,41,46,48
Missouri,Grundy,0,0,0,0,0,0,0,0
Missouri,Harrison,0,0,0,0,0,0,0,0
Missouri,Henry,1,1,1,1,1,1,1,1
Missouri,Hickory,0,0,0,0,0,0,0,0
Missouri,Holt,0,0,0,0,0,0,0,0
Missouri,Howard,0,0,0,0,0,0,0,0
Missouri,Howell,0,0,0,0,0,0,0,0
Missouri,Iron,0,0,0,0,0,0,0,0
Missouri,Jackson,10,14,17,31,41,43,48,56
Missouri,Jasper,1,1,2,2,2,4,6,6
Missouri,Jefferson,0,4,5,10,15,17,17,18
Missouri,Johnson,1,1,2,8,8,9,10,10
Missouri,Knox,0,0,0,0,0,0,0,0
Missouri,Laclede,0,0,0,0,0,0,0,0
Missouri,Lafayette,1,1,2,2,4,4,4,17
Missouri,Lawrence,0,0,0,0,0,0,0,0
Missouri,Lewis,0,0,0,0,0,0,0,0
Missouri,Lincoln,0,0,0,1,2,2,2,5
Missouri,Linn,0,0,0,0,0,0,0,0
Missouri,Livingston,0,0,0,0,0,0,0,1
Missouri,McDonald,0,0,1,1,1,1,1,2
Missouri,Macon,0,0,0,0,0,0,0,1
Missouri,Madison,0,0,0,0,0,0,0,0
Missouri,Maries,0,0,0,0,0,0,1,1
Missouri,Marion,0,0,0,0,0,0,0,0
Missouri,Mercer,0,0,0,0,0,0,0,0
Missouri,Miller,0,0,0,0,0,0,0,0
Missouri,Mississippi,0,0,0,0,0,0,0,0
Missouri,Moniteau,1,1,2,2,2,3,4,2
Missouri,Monroe,0,0,0,0,0,0,0,0
Missouri,Montgomery,0,0,1,2,3,3,3,2
Missouri,Morgan,0,0,0,0,0,0,0,1
Missouri,New Madrid,0,0,0,0,0,0,0,0
Missouri,Newton,0,0,1,3,3,4,4,4
Missouri,Nodaway,0,0,0,0,0,0,0,0
Missouri,Oregon,0,0,0,0,0,0,0,0
Missouri,Osage,0,0,0,0,0,0,0,1
Missouri,Ozark,0,0,0,0,0,0,0,0
Missouri,Pemiscot,0,1,1,1,1,1,1,2
Missouri,Perry,1,2,2,4,6,7,7,12
Missouri,Pettis,0,0,0,0,1,1,1,1
Missouri,Phelps,0,0,0,0,0,0,0,0
Missouri,Pike,0,0,0,0,0,0,0,1
Missouri,Platte,1,2,2,5,5,6,6,7
Missouri,Polk,0,0,0,0,0,0,0,0
Missouri,Pulaski,1,4,4,4,4,5,5,7
Missouri,Putnam,0,0,0,0,0,0,0,0
Missouri,Ralls,0,0,1,1,1,1,1,1
Missouri,Randolph,0,1,1,1,1,1,1,1
Missouri,Ray,0,0,0,0,1,1,1,1
Missouri,Reynolds,0,0,0,0,0,0,0,2
Missouri,Ripley,0,0,0,0,0,0,2,2
Missouri,St. Charles,4,8,12,24,32,37,43,56
Missouri,St. Clair,0,0,0,0,0,0,0,0
Missouri,Ste. Genevieve,0,0,0,0,0,0,0,0
Missouri,St. Francois,1,2,2,2,4,4,4,3
Missouri,St. Louis,69,100,129,173,247,313,336,366
Missouri,Saline,0,0,0,0,0,0,0,0
Missouri,Schuyler,0,0,0,0,0,0,0,0
Missouri,Scotland,0,0,0,0,0,0,0,0
Missouri,Scott,1,1,1,1,1,3,3,5
Missouri,Shannon,0,0,0,0,0,0,0,0
Missouri,Shelby,0,0,1,1,1,1,1,1
Missouri,Stoddard,0,0,0,1,1,1,2,2
Missouri,Stone,0,0,0,0,0,0,0,1
Missouri,Sullivan,0,0,0,0,0,0,0,0
Missouri,Taney,1,1,1,1,1,2,2,2
Missouri,Texas,0,0,0,0,1,1,1,1
Missouri,Vernon,0,0,0,0,0,0,0,0
Missouri,Warren,0,0,0,0,0,0,2,2
Missouri,Washington,0,0,0,0,0,0,0,0
Missouri,Wayne,0,0,0,0,0,0,0,0
Missouri,Webster,0,0,0,0,0,0,0,0
Missouri,Worth,0,0,0,0,0,0,0,0
Missouri,Wright,0,0,0,0,1,1,3,4
Missouri,St. Louis City,15,23,44,69,72,95,102,102
Missouri,Kansas City,17,21,43,64,78,94,102,100
Missouri,Out of MO,0,0,0,0,0,0,0,0
Missouri,Unassigned,4,6,0,0,0,0,0,0
