Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30
Montana,Beaverhead,0,0,0,0,0,0,0,0
Montana,Big Horn,0,0,0,0,0,0,0,0
Montana,Blaine,0,0,0,0,0,0,0,0
Montana,Broadwater,1,1,2,2,2,2,3,3
Montana,Carbon,0,0,0,0,0,0,0,0
Montana,Carter,0,0,0,0,0,0,0,0
Montana,Cascade,3,3,3,5,6,7,7,7
Montana,Chouteau,0,0,0,0,0,0,0,0
Montana,Custer,0,0,0,0,0,0,0,0
Montana,Daniels,0,0,0,0,0,0,0,0
Montana,Dawson,0,0,0,0,0,0,0,0
Montana,Deer Lodge,0,0,0,0,0,0,1,2
Montana,Fallon,0,0,0,0,0,0,0,0
Montana,Fergus,0,0,0,0,0,0,0,0
Montana,Flathead,2,4,5,5,6,6,7,9
Montana,Gallatin,10,16,24,38,39,46,58,67
Montana,Garfield,0,0,0,0,0,0,0,0
Montana,Glacier,0,0,0,0,0,0,0,0
Montana,Golden Valley,0,0,0,0,0,0,0,0
Montana,Granite,0,0,0,0,0,0,0,0
Montana,Hill,0,0,1,1,1,1,1,1
Montana,Jefferson,0,0,1,1,1,2,2,2
Montana,Judith Basin,0,0,0,0,0,0,0,0
Montana,Lake,0,0,0,0,1,1,2,3
Montana,Lewis and Clark,3,3,3,5,8,9,10,11
Montana,Liberty,0,0,0,0,0,0,0,0
Montana,Lincoln,0,0,0,1,1,3,3,4
Montana,McCone,0,0,0,0,0,0,0,0
Montana,Madison,1,1,2,2,2,3,4,4
Montana,Meagher,0,0,0,1,1,1,1,1
Montana,Mineral,0,0,0,0,0,0,0,0
Montana,Missoula,3,6,6,7,8,9,11,12
Montana,Musselshell,0,0,0,0,0,0,0,0
Montana,Park,0,0,0,0,1,1,2,2
Montana,Petroleum,0,0,0,0,0,0,0,0
Montana,Phillips,0,0,0,0,0,0,0,0
Montana,Pondera,0,0,0,0,0,0,0,0
Montana,Powder River,0,0,0,0,0,0,0,0
Montana,Powell,0,0,0,0,0,0,0,0
Montana,Prairie,0,0,0,0,0,0,0,0
Montana,Ravalli,1,1,1,1,1,1,1,1
Montana,Richland,0,0,0,0,0,0,0,0
Montana,Roosevelt,1,1,1,1,1,1,1,1
Montana,Rosebud,0,0,0,0,0,0,0,0
Montana,Sanders,0,0,0,0,0,0,0,0
Montana,Sheridan,0,0,0,0,0,0,0,0
Montana,Silver Bow,2,2,4,5,8,8,9,9
Montana,Stillwater,0,0,0,0,0,0,0,0
Montana,Sweet Grass,0,0,0,0,0,0,0,0
Montana,Teton,0,0,0,0,0,0,0,0
Montana,Toole,0,0,0,1,2,5,5,6
Montana,Treasure,0,0,0,0,0,0,0,0
Montana,Valley,0,0,0,0,0,0,0,0
Montana,Wheatland,0,0,0,0,0,0,0,0
Montana,Wibaux,0,0,0,0,0,0,0,0
Montana,Yellowstone,6,7,12,14,20,23,26,26
Montana,Out of MT,0,0,0,0,0,0,0,0
Montana,Unassigned,1,6,0,0,0,0,0,0
