Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30
Nevada,Churchill,0,0,0,0,0,0,0,0
Nevada,Clark,126,212,249,350,443,443,528,753
Nevada,Douglas,0,2,3,3,3,5,5,5
Nevada,Elko,2,2,2,2,2,2,3,3
Nevada,Esmeralda,0,0,0,0,0,0,0,0
Nevada,Eureka,0,0,0,0,0,0,0,0
Nevada,Humboldt,0,0,0,0,1,1,1,1
Nevada,Lander,0,0,0,0,0,0,0,0
Nevada,Lincoln,0,0,0,0,0,0,0,0
Nevada,Lyon,0,0,1,1,1,1,1,1
Nevada,Mineral,0,0,0,0,0,0,0,0
Nevada,Nye,0,1,1,1,1,1,1,1
Nevada,Pershing,0,0,0,0,0,0,0,0
Nevada,Storey,0,0,0,0,0,0,0,0
Nevada,Washoe,25,44,50,57,67,75,107,111
Nevada,White Pine,0,0,0,0,0,0,0,0
Nevada,Carson City,3,2,2,2,2,5,5,5
Nevada,Out of NV,0,0,0,0,0,0,0,0
Nevada,Unassigned,89,15,15,4,16,93,269,132
