Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30
New Hampshire,Belknap,4,7,7,8,8,9,9,9
New Hampshire,Carroll,6,7,7,7,7,8,8,10
New Hampshire,Cheshire,1,1,1,1,2,2,2,3
New Hampshire,Coos,0,0,0,0,0,0,0,0
New Hampshire,Grafton,15,20,21,22,23,26,28,29
New Hampshire,Hillsborough,16,19,20,30,31,43,53,69
New Hampshire,Merrimack,4,4,4,5,7,11,14,18
New Hampshire,Rockingham,28,38,42,56,67,75,86,100
New Hampshire,Strafford,3,4,5,7,7,11,12,17
New Hampshire,Sullivan,1,1,1,1,2,2,2,3
New Hampshire,Out of NH,0,0,0,0,0,0,0,0
New Hampshire,Unassigned,23,0,0,0,4,0,0,56
