Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30
New Jersey,Atlantic,6,6,12,10,14,17,24,29
New Jersey,Bergen,609,701,819,1206,1505,1838,2169,2482
New Jersey,Burlington,36,42,48,64,88,115,142,178
New Jersey,Camden,33,51,61,73,95,123,163,200
New Jersey,Cape May,2,3,4,6,7,7,9,9
New Jersey,Cumberland,1,2,3,4,9,11,11,12
New Jersey,Essex,273,342,381,609,826,1086,1227,1564
New Jersey,Gloucester,13,19,23,33,40,51,72,89
New Jersey,Hudson,190,234,260,441,594,771,974,1314
New Jersey,Hunterdon,18,25,25,39,52,61,66,79
New Jersey,Mercer,50,58,82,111,131,168,202,249
New Jersey,Middlesex,210,277,316,505,640,808,938,1123
New Jersey,Monmouth,238,288,313,501,634,781,870,1030
New Jersey,Morris,177,204,223,315,391,442,566,720
New Jersey,Ocean,144,180,222,389,484,624,759,874
New Jersey,Passaic,141,216,255,399,484,608,831,1091
New Jersey,Salem,1,1,1,2,3,3,3,3
New Jersey,Somerset,67,102,117,179,222,258,295,349
New Jersey,Sussex,15,18,27,49,65,81,93,113
New Jersey,Union,189,246,262,432,519,742,896,1213
New Jersey,Warren,12,15,18,31,38,51,56,68
New Jersey,Out of NJ,0,0,0,0,0,0,0,0
New Jersey,Unassigned,419,645,930,1478,1984,2478,3020,3847
