Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30
New York,Albany,127,146,152,171,187,195,205,217
New York,Allegany,2,2,2,2,2,2,6,7
New York,Bronx,0,0,0,0,0,0,0,0
New York,Broome,3,9,11,16,18,23,29,35
New York,Cattaraugus,0,0,0,0,0,1,4,6
New York,Cayuga,0,2,2,2,2,2,2,3
New York,Chautauqua,0,2,2,2,2,5,7,7
New York,Chemung,2,3,3,7,11,12,15,15
New York,Chenango,2,3,3,3,4,8,15,17
New York,Clinton,4,6,10,11,11,12,13,17
New York,Columbia,17,18,19,24,27,30,30,36
New York,Cortland,2,2,3,3,4,7,8,10
New York,Delaware,1,3,5,7,8,8,8,11
New York,Dutchess,100,124,153,190,225,262,320,392
New York,Erie,87,114,122,206,245,318,414,443
New York,Essex,3,3,4,5,5,5,5,5
New York,Franklin,0,0,1,1,2,5,6,6
New York,Fulton,1,1,1,1,1,1,1,1
New York,Genesee,1,1,2,4,6,7,9,9
New York,Greene,2,4,4,5,6,7,7,10
New York,Hamilton,2,2,2,2,2,2,2,2
New York,Herkimer,3,4,5,7,9,9,10,12
New York,Jefferson,1,2,2,4,4,6,7,11
New York,Kings,0,0,0,0,0,0,0,0
New York,Lewis,0,0,0,0,0,0,0,0
New York,Livingston,2,3,3,3,3,10,10,13
New York,Madison,1,4,7,9,17,28,29,42
New York,Monroe,81,106,118,148,166,202,219,246
New York,Montgomery,3,3,4,5,5,6,6,6
New York,Nassau,2442,2869,3285,3914,4657,5537,6445,7344
New York,New York,12305,14904,17856,21873,25573,29776,33768,37453
New York,Niagara,9,10,12,14,23,33,38,41
New York,Oneida,5,10,10,13,13,23,26,34
New York,Onondaga,53,60,81,111,123,146,194,228
New York,Ontario,4,6,9,11,14,16,18,20
New York,Orange,389,498,638,751,910,1101,1247,1435
New York,Orleans,0,0,0,2,3,3,3,4
New York,Oswego,2,2,2,4,4,9,10,15
New York,Otsego,1,1,2,3,5,7,10,17
New York,Putnam,31,82,84,94,111,131,144,167
New York,Queens,0,0,0,0,0,0,0,0
New York,Rensselaer,20,33,33,44,44,51,51,52
New York,Richmond,0,0,0,0,0,0,0,0
New York,Rockland,592,671,968,1197,1457,1896,2209,2511
New York,St. Lawrence,0,1,1,4,4,8,12,13
New York,Saratoga,35,53,64,73,82,96,102,108
New York,Schenectady,32,44,55,62,66,72,76,80
New York,Schoharie,1,1,2,2,3,5,5,6
New York,Schuyler,0,0,0,0,0,1,1,2
New York,Seneca,0,0,0,0,0,0,0,0
New York,Steuben,4,8,8,11,12,13,17,19
New York,Suffolk,1458,1880,2260,2735,3385,4138,5023,5791
New York,Sullivan,12,23,39,53,64,72,88,101
New York,Tioga,1,1,1,2,2,6,6,7
New York,Tompkins,15,16,18,23,32,48,56,70
New York,Ulster,18,35,65,78,98,133,146,190
New York,Warren,1,2,2,2,8,13,18,18
New York,Washington,1,3,4,4,6,9,9,9
New York,Wayne,3,6,7,8,11,12,12,15
New York,Westchester,2894,3891,4691,5944,7187,7875,8519,9326
New York,Wyoming,2,4,4,7,7,7,8,8
New York,Yates,0,0,0,0,0,0,0,0
New York,Out of NY,0,0,0,0,0,0,0,0
New York,Unassigned,107,0,0,0,0,0,0,0
