Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30
Ohio,Adams,0,0,0,0,0,0,0,0
Ohio,Allen,0,0,0,0,0,2,4,4
Ohio,Ashland,1,1,1,1,3,3,2,2
Ohio,Ashtabula,3,3,3,3,5,6,6,6
Ohio,Athens,0,0,0,1,1,2,3,3
Ohio,Auglaize,0,0,0,0,0,1,2,2
Ohio,Belmont,2,2,3,3,6,8,8,8
Ohio,Brown,0,0,0,0,0,0,0,1
Ohio,Butler,17,18,18,21,23,25,27,30
Ohio,Carroll,2,3,3,3,3,3,4,5
Ohio,Champaign,0,1,1,2,2,2,2,3
Ohio,Clark,1,2,2,2,2,2,7,6
Ohio,Clermont,5,5,5,6,6,8,8,9
Ohio,Clinton,1,1,2,2,2,3,3,3
Ohio,Columbiana,2,3,4,5,7,9,11,11
Ohio,Coshocton,3,3,4,4,4,4,4,5
Ohio,Crawford,0,1,1,1,1,2,2,5
Ohio,Cuyahoga,149,167,206,259,330,370,440,493
Ohio,Darke,1,1,1,1,1,1,3,12
Ohio,Defiance,2,2,2,2,5,5,5,5
Ohio,Delaware,7,11,12,15,20,26,31,38
Ohio,Erie,1,1,2,3,3,5,5,5
Ohio,Fairfield,0,2,5,6,8,14,14,13
Ohio,Fayette,0,0,1,1,1,1,1,1
Ohio,Franklin,44,75,88,109,152,222,247,281
Ohio,Fulton,0,0,0,0,2,2,2,2
Ohio,Gallia,1,1,1,1,1,1,1,1
Ohio,Geauga,2,5,4,7,10,14,17,22
Ohio,Greene,1,3,3,3,3,3,3,3
Ohio,Guernsey,0,0,0,0,0,0,0,0
Ohio,Hamilton,26,38,48,53,63,71,85,101
Ohio,Hancock,1,1,1,2,2,3,3,3
Ohio,Hardin,0,0,0,0,0,0,0,0
Ohio,Harrison,0,0,0,0,0,0,0,0
Ohio,Henry,0,0,0,0,0,0,0,0
Ohio,Highland,1,1,1,1,1,1,1,1
Ohio,Hocking,0,0,0,0,0,0,0,0
Ohio,Holmes,0,0,0,0,0,0,0,1
Ohio,Huron,1,2,2,3,3,3,3,3
Ohio,Jackson,0,0,0,0,0,0,0,0
Ohio,Jefferson,0,0,0,1,1,5,5,7
Ohio,Knox,1,1,2,2,2,2,3,3
Ohio,Lake,8,11,14,19,27,30,35,43
Ohio,Lawrence,0,0,1,1,1,1,1,1
Ohio,Licking,1,2,3,5,10,14,15,21
Ohio,Logan,1,2,2,2,2,3,3,3
Ohio,Lorain,24,30,37,44,56,65,74,78
Ohio,Lucas,10,13,23,35,48,67,94,114
Ohio,Madison,1,1,2,3,3,4,4,5
Ohio,Mahoning,23,28,42,51,68,80,84,117
Ohio,Marion,3,4,4,4,5,5,6,7
Ohio,Medina,15,15,22,24,32,37,45,48
Ohio,Meigs,0,0,0,0,0,0,0,0
Ohio,Mercer,0,0,1,1,2,2,2,2
Ohio,Miami,17,19,19,20,32,38,43,46
Ohio,Monroe,0,0,0,0,0,0,0,0
Ohio,Montgomery,7,10,14,14,19,20,25,31
Ohio,Morgan,0,0,0,0,0,0,0,0
Ohio,Morrow,0,0,0,0,0,0,0,0
Ohio,Muskingum,0,0,0,1,2,2,2,2
Ohio,Noble,0,0,0,0,0,0,0,0
Ohio,Ottawa,0,0,0,0,0,1,1,2
Ohio,Paulding,0,0,0,0,0,0,0,0
Ohio,Perry,0,0,0,0,0,0,0,0
Ohio,Pickaway,0,0,1,2,2,4,4,5
Ohio,Pike,0,0,0,0,0,1,1,1
Ohio,Portage,2,4,4,8,13,19,27,32
Ohio,Preble,0,0,0,0,0,0,0,1
Ohio,Putnam,0,0,0,0,0,0,0,0
Ohio,Richland,1,4,4,4,4,5,5,5
Ohio,Ross,0,0,0,0,0,0,0,1
Ohio,Sandusky,1,1,1,1,1,2,3,3
Ohio,Scioto,0,0,0,0,0,0,0,0
Ohio,Seneca,0,1,1,1,1,1,1,3
Ohio,Shelby,0,0,0,1,1,3,3,4
Ohio,Stark,12,13,13,16,22,25,29,44
Ohio,Summit,28,36,42,50,65,79,99,118
Ohio,Trumbull,3,4,9,12,17,27,36,42
Ohio,Tuscarawas,2,3,3,3,3,5,5,7
Ohio,Union,1,2,3,3,3,3,3,4
Ohio,Van Wert,0,0,0,0,0,1,1,1
Ohio,Vinton,0,0,0,0,0,0,0,0
Ohio,Warren,5,7,8,10,11,16,20,20
Ohio,Washington,1,1,1,1,2,2,3,3
Ohio,Wayne,0,0,1,2,3,4,4,7
Ohio,Williams,0,0,0,0,0,0,0,0
Ohio,Wood,2,2,3,6,8,10,12,13
Ohio,Wyandot,0,0,0,1,1,1,1,1
Ohio,Out of OH,0,0,0,0,0,0,0,0
Ohio,Unassigned,0,0,0,0,0,0,0,0
