Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30
Oregon,Baker,0,0,0,0,0,0,0,0
Oregon,Benton,4,4,6,6,6,8,8,9
Oregon,Clackamas,14,17,21,21,31,36,39,40
Oregon,Clatsop,0,1,1,2,2,3,3,3
Oregon,Columbia,0,0,0,0,1,1,1,1
Oregon,Coos,0,0,0,0,0,0,0,0
Oregon,Crook,0,0,0,0,0,0,0,0
Oregon,Curry,0,0,0,0,0,0,0,0
Oregon,Deschutes,10,10,10,15,18,20,23,25
Oregon,Douglas,1,1,3,3,4,4,4,8
Oregon,Gilliam,0,0,0,0,0,0,0,0
Oregon,Grant,1,1,1,1,1,1,1,1
Oregon,Harney,0,0,0,0,0,0,0,0
Oregon,Hood River,1,1,1,1,1,1,2,2
Oregon,Jackson,2,3,4,4,6,8,19,20
Oregon,Jefferson,0,0,0,0,0,0,0,0
Oregon,Josephine,1,1,2,4,4,5,6,10
Oregon,Klamath,1,1,1,1,2,2,4,4
Oregon,Lake,0,0,0,0,0,0,0,0
Oregon,Lane,4,4,5,7,10,9,10,12
Oregon,Lincoln,0,0,1,1,1,1,1,1
Oregon,Linn,20,21,25,26,28,32,36,36
Oregon,Malheur,0,0,0,0,0,0,0,0
Oregon,Marion,30,32,43,57,83,94,109,123
Oregon,Morrow,0,0,0,0,1,1,1,1
Oregon,Multnomah,21,25,33,45,67,81,91,100
Oregon,Polk,3,3,3,6,10,11,13,15
Oregon,Sherman,0,0,0,0,0,0,0,0
Oregon,Tillamook,0,0,0,1,1,1,2,3
Oregon,Umatilla,2,2,2,2,3,4,4,4
Oregon,Union,1,1,1,1,1,1,1,1
Oregon,Wallowa,0,0,0,0,0,0,0,0
Oregon,Wasco,0,0,0,1,2,2,3,5
Oregon,Washington,69,76,96,104,122,140,154,168
Oregon,Wheeler,0,0,0,0,0,0,0,0
Oregon,Yamhill,6,6,7,7,11,13,13,14
Oregon,Out of OR,0,0,0,0,0,0,0,0
Oregon,Unassigned,0,0,0,0,0,0,0,0
