Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30
Pennsylvania,Adams,6,6,6,7,8,8,8,8
Pennsylvania,Allegheny,48,58,88,133,158,219,265,290
Pennsylvania,Armstrong,0,1,1,1,1,2,3,3
Pennsylvania,Beaver,3,3,7,13,14,22,28,44
Pennsylvania,Bedford,0,0,0,0,0,0,0,0
Pennsylvania,Berks,14,16,20,36,65,65,68,82
Pennsylvania,Blair,0,0,0,1,1,2,3,6
Pennsylvania,Bradford,0,1,1,2,2,3,3,3
Pennsylvania,Bucks,43,69,86,110,144,152,216,249
Pennsylvania,Butler,5,6,12,19,26,41,47,49
Pennsylvania,Cambria,1,1,1,1,1,1,1,2
Pennsylvania,Cameron,0,0,0,0,0,1,1,1
Pennsylvania,Carbon,0,1,1,2,2,3,9,13
Pennsylvania,Centre,3,7,8,9,11,15,22,24
Pennsylvania,Chester,40,40,54,84,107,116,137,146
Pennsylvania,Clarion,0,0,0,0,0,1,1,1
Pennsylvania,Clearfield,0,1,2,2,2,2,2,4
Pennsylvania,Clinton,0,0,0,0,0,0,0,0
Pennsylvania,Columbia,1,1,1,3,3,4,6,6
Pennsylvania,Crawford,0,0,0,1,1,2,3,4
Pennsylvania,Cumberland,12,13,13,15,16,22,22,24
Pennsylvania,Dauphin,1,4,10,13,18,23,35,36
Pennsylvania,Delaware,54,84,101,156,185,226,276,303
Pennsylvania,Elk,0,0,0,0,0,0,0,0
Pennsylvania,Erie,3,5,5,5,7,7,7,13
Pennsylvania,Fayette,1,2,4,8,9,10,10,11
Pennsylvania,Forest,0,0,0,0,0,0,0,0
Pennsylvania,Franklin,1,3,5,5,5,7,11,12
Pennsylvania,Fulton,0,0,0,0,0,0,0,0
Pennsylvania,Greene,0,0,2,3,4,6,6,7
Pennsylvania,Huntingdon,0,0,0,0,0,1,1,1
Pennsylvania,Indiana,0,0,0,1,2,2,2,2
Pennsylvania,Jefferson,0,0,0,0,0,0,0,0
Pennsylvania,Juniata,0,1,1,1,1,1,1,3
Pennsylvania,Lackawanna,7,15,18,28,35,51,56,62
Pennsylvania,Lancaster,5,10,12,21,33,45,67,97
Pennsylvania,Lawrence,0,0,1,1,4,8,8,10
Pennsylvania,Lebanon,3,3,3,4,12,15,19,27
Pennsylvania,Lehigh,25,27,38,63,93,109,151,231
Pennsylvania,Luzerne,10,21,27,36,55,65,94,150
Pennsylvania,Lycoming,0,0,1,1,2,2,3,4
Pennsylvania,McKean,0,0,0,0,0,1,1,1
Pennsylvania,Mercer,1,2,2,3,4,6,7,7
Pennsylvania,Mifflin,0,0,0,0,0,0,2,1
Pennsylvania,Monroe,43,45,51,67,98,106,135,182
Pennsylvania,Montgomery,136,159,219,313,374,411,488,540
Pennsylvania,Montour,1,3,4,4,4,5,4,10
Pennsylvania,Northampton,23,33,44,56,79,94,126,184
Pennsylvania,Northumberland,0,0,0,0,0,1,1,1
Pennsylvania,Perry,0,0,0,0,0,1,1,1
Pennsylvania,Philadelphia,175,252,342,475,637,803,890,1072
Pennsylvania,Pike,3,4,8,15,23,27,33,39
Pennsylvania,Potter,1,1,1,1,1,2,2,2
Pennsylvania,Schuylkill,3,5,7,9,13,16,21,30
Pennsylvania,Snyder,0,0,0,0,0,1,2,2
Pennsylvania,Somerset,0,1,2,2,2,2,2,2
Pennsylvania,Sullivan,0,0,0,0,0,0,0,0
Pennsylvania,Susquehanna,0,0,0,1,1,1,1,1
Pennsylvania,Tioga,0,0,0,0,0,1,1,1
Pennsylvania,Union,0,0,0,0,1,0,0,4
Pennsylvania,Venango,0,0,0,0,0,0,1,1
Pennsylvania,Warren,0,0,1,1,1,1,1,1
Pennsylvania,Washington,7,9,10,12,14,23,24,26
Pennsylvania,Wayne,3,4,4,6,6,6,7,10
Pennsylvania,Westmoreland,6,11,16,24,30,41,47,55
Pennsylvania,Wyoming,0,0,0,0,0,0,0,0
Pennsylvania,York,10,18,20,21,30,37,43,54
Pennsylvania,Out of PA,0,0,0,0,0,0,0,0
Pennsylvania,Unassigned,0,0,0,0,0,0,0,0
