Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30
Tennessee,Anderson,1,1,3,3,4,5,6,6
Tennessee,Bedford,0,0,1,1,1,1,1,1
Tennessee,Benton,0,0,0,1,2,3,3,3
Tennessee,Bledsoe,0,0,0,0,0,2,2,2
Tennessee,Blount,2,3,3,4,6,9,9,9
Tennessee,Bradley,1,2,3,5,6,5,8,8
Tennessee,Campbell,2,2,2,2,4,4,4,4
Tennessee,Cannon,0,0,0,1,2,3,2,3
Tennessee,Carroll,2,3,3,3,4,4,5,5
Tennessee,Carter,0,0,0,0,0,1,1,1
Tennessee,Cheatham,4,5,7,7,7,7,8,8
Tennessee,Chester,1,1,1,2,2,2,2,2
Tennessee,Claiborne,1,1,1,2,2,2,2,2
Tennessee,Clay,0,0,0,0,0,0,0,0
Tennessee,Cocke,1,1,1,1,1,1,1,1
Tennessee,Coffee,0,0,0,0,0,0,1,1
Tennessee,Crockett,0,0,0,0,0,0,0,0
Tennessee,Cumberland,2,3,3,6,6,6,9,9
Tennessee,Davidson,164,253,257,293,312,376,394,443
Tennessee,Decatur,0,0,0,0,0,1,1,1
Tennessee,DeKalb,0,0,0,0,0,3,3,3
Tennessee,Dickson,5,5,5,7,9,11,11,11
Tennessee,Dyer,2,2,2,3,3,3,3,3
Tennessee,Fayette,2,2,3,3,3,4,10,10
Tennessee,Fentress,0,0,0,0,0,0,0,0
Tennessee,Franklin,1,1,1,2,3,3,6,6
Tennessee,Gibson,1,2,2,2,2,2,3,3
Tennessee,Giles,0,0,0,0,0,0,0,1
Tennessee,Grainger,0,0,0,0,0,0,0,0
Tennessee,Greene,4,5,7,8,8,8,9,9
Tennessee,Grundy,0,1,1,1,1,2,2,2
Tennessee,Hamblen,3,2,2,2,2,2,2,2
Tennessee,Hamilton,12,8,26,30,30,35,35,35
Tennessee,Hancock,0,0,0,0,0,0,0,0
Tennessee,Hardeman,0,0,0,0,0,1,1,1
Tennessee,Hardin,1,1,1,1,1,1,1,1
Tennessee,Hawkins,0,0,1,1,2,2,2,2
Tennessee,Haywood,0,0,0,0,0,0,2,2
Tennessee,Henderson,0,0,0,0,0,0,0,0
Tennessee,Henry,0,0,0,0,0,0,1,1
Tennessee,Hickman,0,0,0,0,0,0,0,0
Tennessee,Houston,1,1,3,3,2,2,2,2
Tennessee,Humphreys,0,0,0,0,0,0,0,0
Tennessee,Jackson,0,0,0,0,0,0,0,0
Tennessee,Jefferson,3,4,4,4,5,5,5,5
Tennessee,Johnson,0,0,0,0,0,0,2,2
Tennessee,Knox,12,15,20,26,31,33,38,57
Tennessee,Lake,0,0,0,0,0,0,0,0
Tennessee,Lauderdale,0,0,0,0,0,0,0,0
Tennessee,Lawrence,0,0,0,0,0,0,0,0
Tennessee,Lewis,0,0,1,2,2,2,2,2
Tennessee,Lincoln,1,1,1,1,1,1,1,1
Tennessee,Loudon,1,2,3,6,6,6,8,8
Tennessee,McMinn,2,2,2,3,3,3,3,3
Tennessee,McNairy,0,0,0,0,0,0,1,1
Tennessee,Macon,0,0,0,1,1,2,3,3
Tennessee,Madison,0,1,2,2,3,3,3,3
Tennessee,Marion,1,1,1,2,2,4,5,5
Tennessee,Marshall,0,0,0,0,0,0,0,0
Tennessee,Maury,6,6,7,7,7,8,8,8
Tennessee,Meigs,0,0,0,1,1,1,1,1
Tennessee,Monroe,2,2,2,2,2,3,3,3
Tennessee,Montgomery,3,6,6,6,9,11,13,13
Tennessee,Moore,0,0,0,0,0,0,0,0
Tennessee,Morgan,0,0,0,0,0,1,1,1
Tennessee,Obion,0,0,0,0,0,0,1,1
Tennessee,Overton,0,1,1,1,1,2,2,2
Tennessee,Perry,2,1,1,1,2,2,2,2
Tennessee,Pickett,0,0,0,0,0,0,0,0
Tennessee,Polk,0,0,0,0,0,0,0,0
Tennessee,Putnam,6,8,9,11,13,17,17,17
Tennessee,Rhea,0,0,0,0,0,0,0,0
Tennessee,Roane,1,1,1,1,1,1,2,2
Tennessee,Robertson,6,12,15,20,22,23,25,25
Tennessee,Rutherford,9,13,19,27,39,46,48,48
Tennessee,Scott,1,1,1,1,2,2,2,2
Tennessee,Sequatchie,0,0,0,0,0,0,0,0
Tennessee,Sevier,1,2,2,3,6,6,6,6
Tennessee,Shelby,93,135,170,198,223,275,362,396
Tennessee,Smith,0,0,0,0,1,1,1,1
Tennessee,Stewart,0,0,0,0,0,0,0,0
Tennessee,Sullivan,2,2,2,4,6,6,8,8
Tennessee,Sumner,34,34,36,43,58,82,93,179
Tennessee,Tipton,6,6,6,8,10,11,15,15
Tennessee,Trousdale,0,0,0,0,0,1,1,1
Tennessee,Unicoi,0,0,0,0,1,1,1,1
Tennessee,Union,0,0,0,0,0,1,1,1
Tennessee,Van Buren,0,0,0,0,0,0,0,0
Tennessee,Warren,0,0,0,0,0,0,0,0
Tennessee,Washington,6,7,7,9,10,14,14,14
Tennessee,Wayne,0,0,0,0,0,0,0,0
Tennessee,Weakley,1,0,0,0,0,1,1,1
Tennessee,White,0,0,1,1,1,1,1,1
Tennessee,Williamson,53,64,66,70,91,95,101,101
Tennessee,Wilson,6,7,10,13,20,20,27,27
Tennessee,Out of TN,89,95,100,117,141,148,150,150
Tennessee,Unassigned,54,38,81,112,172,161,190,197
