Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30
Texas,Anderson,0,0,0,0,0,0,0,0
Texas,Andrews,0,0,0,0,0,1,0,0
Texas,Angelina,0,0,0,1,2,1,3,3
Texas,Aransas,0,0,0,0,0,0,0,2
Texas,Archer,0,0,0,0,0,0,0,0
Texas,Armstrong,0,0,0,0,0,0,0,0
Texas,Atascosa,2,2,2,2,2,2,2,2
Texas,Austin,0,0,0,1,1,1,2,2
Texas,Bailey,0,0,0,0,0,0,0,0
Texas,Bandera,0,0,0,0,0,0,0,0
Texas,Bastrop,0,1,1,2,2,4,5,6
Texas,Baylor,0,0,0,0,0,0,0,0
Texas,Bee,0,0,0,0,0,0,0,0
Texas,Bell,16,18,19,20,25,28,28,36
Texas,Bexar,57,69,69,84,113,125,140,157
Texas,Blanco,1,1,1,1,1,1,1,1
Texas,Borden,0,0,0,0,0,0,0,0
Texas,Bosque,0,0,0,0,0,0,0,0
Texas,Bowie,1,1,1,1,2,3,3,4
Texas,Brazoria,16,28,28,39,39,61,61,68
Texas,Brazos,12,16,21,28,31,40,44,46
Texas,Brewster,0,0,0,0,0,0,0,0
Texas,Briscoe,0,0,0,0,0,0,0,0
Texas,Brooks,0,0,0,0,0,0,0,0
Texas,Brown,2,2,2,3,3,3,3,3
Texas,Burleson,0,0,0,0,0,1,1,1
Texas,Burnet,1,1,1,1,1,1,2,3
Texas,Caldwell,0,0,0,0,0,1,1,1
Texas,Calhoun,0,0,2,2,3,3,5,6
Texas,Callahan,0,0,0,0,0,0,0,0
Texas,Cameron,6,6,7,10,13,13,20,20
Texas,Camp,0,0,0,0,0,0,0,0
Texas,Carson,0,0,0,0,0,0,0,0
Texas,Cass,0,0,1,1,1,2,2,2
Texas,Castro,2,2,5,6,7,8,8,8
Texas,Chambers,1,1,1,2,2,3,3,5
Texas,Cherokee,0,0,0,0,1,1,1,1
Texas,Childress,0,0,0,0,0,0,0,0
Texas,Clay,0,0,0,0,0,0,0,0
Texas,Cochran,0,0,0,0,0,0,0,0
Texas,Coke,0,0,0,0,0,0,0,0
Texas,Coleman,0,0,0,0,0,0,0,0
Texas,Collin,38,45,53,66,87,118,134,134
Texas,Collingsworth,0,0,0,0,0,0,0,0
Texas,Colorado,0,0,0,0,0,0,0,0
Texas,Comal,3,5,7,8,9,9,9,11
Texas,Comanche,0,0,0,0,0,1,1,1
Texas,Concho,0,0,0,0,0,0,0,0
Texas,Cooke,0,0,0,0,0,0,0,0
Texas,Coryell,0,0,1,1,1,1,1,1
Texas,Cottle,0,0,0,0,0,0,0,0
Texas,Crane,1,1,1,1,1,1,1,2
Texas,Crockett,0,0,0,0,0,0,0,0
Texas,Crosby,0,0,0,0,0,0,0,0
Texas,Culberson,0,0,0,0,0,0,0,0
Texas,Dallam,0,0,0,0,0,0,0,0
Texas,Dallas,155,169,247,303,367,439,488,549
Texas,Dawson,0,0,0,0,1,3,3,3
Texas,Deaf Smith,1,1,1,2,2,2,2,2
Texas,Delta,0,0,0,0,0,0,0,0
Texas,Denton,30,38,51,83,137,148,165,165
Texas,DeWitt,1,1,2,2,3,3,3,3
Texas,Dickens,0,0,0,0,0,0,0,0
Texas,Dimmit,0,0,0,0,0,0,0,0
Texas,Donley,0,0,0,0,0,0,0,0
Texas,Duval,0,0,0,0,0,0,0,0
Texas,Eastland,1,1,1,2,4,4,4,4
Texas,Ector,0,0,0,0,0,1,3,7
