Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30
Utah,Beaver,0,0,0,0,0,0,1,0
Utah,Box Elder,1,1,0,0,0,4,5,13
Utah,Cache,3,3,0,0,0,5,5,0
Utah,Carbon,0,0,0,0,0,0,0,0
Utah,Daggett,0,0,0,0,0,0,0,0
Utah,Davis,29,31,35,39,50,59,69,77
Utah,Duchesne,0,0,0,0,0,0,0,0
Utah,Emery,0,0,0,0,0,0,0,0
Utah,Garfield,0,0,0,0,0,0,1,0
Utah,Grand,0,0,0,0,0,0,4,0
Utah,Iron,0,0,0,0,0,0,2,0
Utah,Juab,0,0,0,0,0,0,0,0
Utah,Kane,0,0,0,0,0,0,0,0
Utah,Millard,0,0,0,0,0,0,0,0
Utah,Morgan,0,0,0,0,0,0,0,0
Utah,Piute,0,0,0,0,0,0,0,0
Utah,Rich,0,0,0,0,0,0,0,0
Utah,Salt Lake,109,124,151,178,218,276,321,360
Utah,San Juan,0,0,0,0,0,1,4,4
Utah,Sanpete,0,0,0,0,0,0,0,0
Utah,Sevier,0,0,0,0,0,0,0,0
Utah,Summit,65,82,89,95,102,127,151,167
Utah,Tooele,2,2,3,4,5,8,9,9
Utah,Uintah,0,0,0,0,0,0,0,0
Utah,Utah,11,13,18,24,26,30,50,57
Utah,Wasatch,11,15,15,20,28,36,39,44
Utah,Washington,5,5,5,8,9,13,8,15
Utah,Wayne,0,0,0,0,0,0,0,0
Utah,Weber,8,9,10,14,20,29,37,39
Utah,Out of UT,13,13,14,14,14,14,14,19
Utah,Unassigned,0,0,0,0,0,0,0,0
