Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30
Vermont,Addison,6,8,9,12,13,15,17,17
Vermont,Bennington,4,9,11,11,15,15,16,16
Vermont,Caledonia,1,1,1,1,2,2,2,2
Vermont,Chittenden,32,40,55,75,90,105,117,117
Vermont,Essex,0,0,0,0,0,0,0,0
Vermont,Franklin,2,2,3,4,6,7,9,9
Vermont,Grand Isle,0,0,0,0,0,0,0,0
Vermont,Lamoille,1,2,4,5,6,9,12,12
Vermont,Orange,3,3,3,3,3,3,3,3
Vermont,Orleans,2,2,3,3,4,5,5,5
Vermont,Rutland,4,5,5,5,5,6,6,6
Vermont,Washington,3,3,5,7,9,10,12,12
Vermont,Windham,5,5,7,7,7,9,11,11
Vermont,Windsor,12,15,17,17,18,18,18,18
Vermont,Out of VT,0,0,0,0,0,0,0,0
Vermont,Unassigned,0,0,2,8,6,7,7,28
