Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30
Alabama,Autauga,0,0,0,0,0,0,0,0
Alabama,Baldwin,0,0,0,0,0,0,1,1
Alabama,Barbour,0,0,0,0,0,0,0,0
Alabama,Bibb,0,0,0,0,0,0,0,0
Alabama,Blount,0,0,0,0,0,0,0,0
Alabama,Bullock,0,0,0,0,0,0,0,0
Alabama,Butler,0,0,0,0,0,0,0,0
Alabama,Calhoun,0,0,0,0,0,0,0,0
Alabama,Chambers,0,0,0,0,0,0,3,3
Alabama,Cherokee,0,0,0,0,0,0,0,0
Alabama,Chilton,0,0,0,0,0,0,0,0
Alabama,Choctaw,0,0,0,0,0,0,0,0
Alabama,Clarke,0,0,0,0,0,0,0,0
Alabama,Clay,0,0,0,0,0,0,0,0
Alabama,Cleburne,0,0,0,0,0,0,0,0
Alabama,Coffee,0,0,0,0,0,0,0,0
Alabama,Colbert,0,0,0,0,0,0,0,0
Alabama,Conecuh,0,0,0,0,0,0,0,0
Alabama,Coosa,0,0,0,0,0,0,0,0
Alabama,Covington,0,0,0,0,0,0,0,0
Alabama,Crenshaw,0,0,0,0,0,0,0,0
Alabama,Cullman,0,0,0,0,0,0,0,0
Alabama,Dale,0,0,0,0,0,0,0,0
Alabama,Dallas,0,0,0,0,0,0,0,0
Alabama,DeKalb,0,0,0,0,0,0,0,0
Alabama,Elmore,0,0,0,0,0,0,0,0
Alabama,Escambia,0,0,0,0,0,0,0,0
Alabama,Etowah,0,0,0,0,0,0,0,0
Alabama,Fayette,0,0,0,0,0,0,0,0
Alabama,Franklin,0,0,0,0,0,0,0,0
Alabama,Geneva,0,0,0,0,0,0,0,0
Alabama,Greene,0,0,0,0,0,0,0,0
Alabama,Hale,0,0,0,0,0,0,0,0
Alabama,Henry,0,0,0,0,0,0,0,0
Alabama,Houston,0,0,0,0,0,0,0,0
Alabama,Jackson,0,0,1,1,1,1,1,1
Alabama,Jefferson,0,0,0,0,0,0,0,0
Alabama,Lamar,0,0,0,0,0,0,0,0
Alabama,Lauderdale,0,0,0,0,1,1,1,1
Alabama,Lawrence,0,0,0,0,0,0,0,0
Alabama,Lee,0,0,0,0,0,0,2,2
Alabama,Limestone,0,0,0,0,0,0,0,0
Alabama,Lowndes,0,0,0,0,0,0,0,0
Alabama,Macon,0,0,0,0,0,0,0,0
Alabama,Madison,0,0,0,0,1,1,1,1
Alabama,Marengo,0,0,0,0,0,0,0,0
Alabama,Marion,0,0,0,0,0,0,0,0
Alabama,Marshall,0,0,0,0,0,0,0,0
Alabama,Mobile,0,0,0,0,1,1,1,1
Alabama,Monroe,0,0,0,0,0,0,0,0
Alabama,Montgomery,0,0,0,0,0,0,0,0
Alabama,Morgan,0,0,0,0,0,0,0,0
Alabama,Perry,0,0,0,0,0,0,0,0
Alabama,Pickens,0,0,0,0,0,0,0,0
Alabama,Pike,0,0,0,0,0,0,0,0
Alabama,Randolph,0,0,0,0,0,0,0,0
Alabama,Russell,0,0,0,0,0,0,0,0
Alabama,St. Clair,0,0,0,0,0,0,0,0
Alabama,Shelby,0,0,0,0,0,0,0,0
Alabama,Sumter,0,0,0,0,0,0,0,0
Alabama,Talladega,0,0,0,0,0,0,0,0
Alabama,Tallapoosa,0,0,0,0,0,0,0,0
Alabama,Tuscaloosa,0,0,0,0,0,0,0,0
Alabama,Walker,0,0,0,0,0,0,0,0
Alabama,Washington,0,0,0,0,0,0,0,0
Alabama,Wilcox,0,0,0,0,0,0,0,0
Alabama,Winston,0,0,0,0,0,0,0,0
Alabama,Out of AL,0,0,0,0,0,0,0,0
Alabama,Unassigned,0,0,0,0,0,0,0,0
