Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30
California,Alameda,1,2,2,4,4,4,6,7
California,Alpine,0,0,0,0,0,0,0,0
California,Amador,0,0,0,0,0,0,0,0
California,Butte,0,0,0,0,0,0,0,0
California,Calaveras,0,0,0,0,0,0,0,0
California,Colusa,0,0,0,0,0,0,0,0
California,Contra Costa,1,1,1,1,1,2,3,3
California,Del Norte,0,0,0,0,0,0,0,0
California,El Dorado,0,0,0,0,0,0,0,0
California,Fresno,0,0,0,0,0,0,0,0
California,Glenn,0,0,0,0,0,0,0,0
California,Humboldt,0,0,0,0,0,0,0,0
California,Imperial,0,0,0,0,0,0,0,0
California,Inyo,0,0,0,0,0,0,0,0
California,Kern,0,0,0,0,1,1,1,1
California,Kings,0,0,0,0,0,0,0,0
California,Lake,0,0,0,0,0,0,0,0
California,Lassen,0,0,0,0,0,0,0,0
California,Los Angeles,7,11,13,21,26,26,32,44
California,Madera,0,0,0,0,0,1,1,1
California,Marin,0,0,0,0,0,1,1,1
California,Mariposa,0,0,0,0,0,0,0,0
California,Mendocino,0,0,0,0,0,0,0,0
California,Merced,0,0,0,0,0,0,0,0
California,Modoc,0,0,0,0,0,0,0,0
California,Mono,0,0,0,0,0,0,0,0
California,Monterey,1,1,1,1,1,1,1,1
California,Napa,0,0,0,0,0,0,0,0
California,Nevada,0,0,0,0,0,0,0,0
California,Orange,0,0,1,1,3,4,4,4
California,Placer,1,1,1,1,1,1,2,2
California,Plumas,0,0,0,0,0,0,0,0
California,Riverside,6,6,7,8,8,8,8,9
California,Sacramento,4,4,5,5,6,6,6,7
California,San Benito,1,1,1,1,1,1,1,1
California,San Bernardino,0,0,1,2,3,3,3,3
California,San Diego,1,1,2,3,3,6,7,7
California,San Francisco,0,0,1,2,3,4,4,6
California,San Joaquin,2,2,3,3,3,4,4,6
California,San Luis Obispo,0,0,0,0,0,0,0,0
California,San Mateo,1,1,5,5,6,6,6,6
California,Santa Barbara,0,0,0,0,0,0,0,0
California,Santa Clara,10,16,17,19,20,25,25,28
California,Santa Cruz,0,0,0,0,0,0,1,1
California,Shasta,0,0,1,1,1,1,1,1
California,Sierra,0,0,0,0,0,0,0,0
California,Siskiyou,0,0,0,0,0,0,0,0
California,Solano,0,0,0,0,0,0,0,0
California,Sonoma,1,1,1,1,1,1,1,1
California,Stanislaus,0,0,0,0,0,0,0,0
California,Sutter,0,0,0,0,0,0,0,0
California,Tehama,0,0,0,0,0,0,0,0
California,Trinity,0,0,0,0,0,0,0,0
California,Tulare,0,0,0,0,0,0,1,1
California,Tuolumne,0,0,0,0,0,0,0,0
California,Ventura,1,1,1,1,1,3,3,4
California,Yolo,1,1,1,1,1,1,1,1
California,Yuba,0,0,0,0,0,0,0,0
California,Out of CA,0,0,0,0,0,0,0,0
California,Unassigned,0,0,0,0,0,0,1,0
