Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30
Florida,Alachua,0,0,0,0,0,0,0,0
Florida,Baker,0,0,0,0,0,0,0,0
Florida,Bay,0,0,0,0,0,0,0,0
Florida,Bradford,0,0,0,0,0,0,0,0
Florida,Brevard,0,0,0,0,0,0,0,0
Florida,Broward,3,3,3,3,5,10,11,11
Florida,Calhoun,0,0,0,0,0,0,0,0
Florida,Charlotte,0,0,0,0,0,0,0,0
Florida,Citrus,0,0,0,1,1,1,1,1
Florida,Clay,2,2,2,4,4,4,4,4
Florida,Collier,0,0,0,0,0,0,0,1
Florida,Columbia,0,0,0,0,0,0,0,0
Florida,DeSoto,0,0,0,0,0,0,0,0
Florida,Dixie,0,0,0,0,0,0,0,0
Florida,Duval,1,1,3,3,3,3,3,3
Florida,Escambia,0,0,0,0,0,0,0,0
Florida,Flagler,0,0,0,0,0,0,0,0
Florida,Franklin,0,0,0,0,0,0,0,0
Florida,Gadsden,0,0,0,0,0,0,0,0
Florida,Gilchrist,0,0,0,0,0,0,0,0
Florida,Glades,0,0,0,0,0,0,0,0
Florida,Gulf,0,0,0,0,0,0,0,0
Florida,Hamilton,0,0,0,0,0,0,0,0
Florida,Hardee,0,0,0,0,0,0,0,0
Florida,Hendry,0,0,0,0,0,0,0,0
Florida,Hernando,0,0,0,0,0,0,0,0
Florida,Highlands,0,0,0,0,1,1,1,1
Florida,Hillsborough,0,0,0,1,1,2,2,2
Florida,Holmes,0,0,0,0,0,0,0,0
Florida,Indian River,0,0,0,0,0,0,0,0
Florida,Jackson,0,0,0,0,0,0,0,0
Florida,Jefferson,0,0,0,0,0,0,0,0
Florida,Lafayette,0,0,0,0,0,0,0,0
Florida,Lake,0,0,0,0,0,0,0,0
Florida,Lee,2,2,3,3,4,5,6,6
Florida,Leon,1,1,1,1,0,0,0,0
Florida,Levy,0,0,0,0,0,0,0,0
Florida,Liberty,0,0,0,0,0,0,0,0
Florida,Madison,0,0,0,0,0,0,0,0
Florida,Manatee,1,1,1,1,1,1,1,1
Florida,Marion,0,0,0,0,0,0,0,0
Florida,Martin,0,0,0,0,0,0,0,0
Florida,Miami-Dade,0,0,0,0,1,2,3,3
Florida,Monroe,0,0,0,0,0,0,0,0
Florida,Nassau,0,0,0,0,0,0,0,0
Florida,Okaloosa,0,0,0,0,0,0,0,0
Florida,Okeechobee,0,0,0,0,0,0,0,0
Florida,Orange,2,2,2,4,4,4,4,4
Florida,Osceola,0,0,0,0,0,0,0,0
Florida,Palm Beach,3,3,3,3,3,5,5,7
Florida,Pasco,1,1,0,1,1,1,2,2
Florida,Pinellas,0,0,1,1,1,1,4,5
Florida,Polk,0,0,0,0,0,0,0,0
Florida,Putnam,0,0,0,0,0,0,0,0
Florida,St. Johns,0,0,1,1,1,2,2,2
Florida,St. Lucie,0,0,0,0,1,1,1,2
Florida,Santa Rosa,1,1,1,1,1,1,1,1
Florida,Sarasota,0,0,2,1,2,2,2,2
Florida,Seminole,0,0,0,0,0,0,0,0
Florida,Sumter,0,0,0,0,0,0,0,0
Florida,Suwannee,0,0,0,0,0,0,0,0
Florida,Taylor,0,0,0,0,0,0,0,0
Florida,Union,0,0,0,0,0,0,0,0
Florida,Volusia,0,0,0,0,0,0,1,1
Florida,Wakulla,0,0,0,0,0,0,0,0
Florida,Walton,0,0,0,0,0,0,0,0
Florida,Washington,0,0,0,0,0,0,0,0
Florida,Out of FL,0,0,0,0,0,0,0,0
Florida,Unassigned,1,1,0,0,0,8,2,4
