Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30
Georgia,Appling,0,0,0,0,0,0,0,0
Georgia,Atkinson,0,0,0,0,0,0,0,0
Georgia,Bacon,0,0,0,0,0,0,0,0
Georgia,Baker,0,0,0,0,0,1,1,1
Georgia,Baldwin,0,0,0,0,0,0,0,0
Georgia,Banks,0,0,0,0,0,0,0,0
Georgia,Barrow,0,0,0,0,0,1,1,1
Georgia,Bartow,1,1,1,1,1,1,1,1
Georgia,Ben Hill,0,0,0,0,0,0,0,0
Georgia,Berrien,0,0,0,0,0,0,0,0
Georgia,Bibb,0,0,0,0,0,0,0,0
Georgia,Bleckley,0,0,0,0,0,0,0,0
Georgia,Brantley,0,0,0,0,0,0,0,0
Georgia,Brooks,0,0,0,0,0,0,0,0
Georgia,Bryan,0,0,0,0,0,0,0,0
Georgia,Bulloch,0,0,0,0,0,0,0,0
Georgia,Burke,0,0,0,0,0,0,0,0
Georgia,Butts,0,0,0,0,0,0,0,0
Georgia,Calhoun,0,0,0,0,0,0,0,0
Georgia,Camden,0,0,0,0,0,0,0,0
Georgia,Candler,0,0,0,0,0,0,0,0
Georgia,Carroll,0,0,0,0,0,0,0,0
Georgia,Catoosa,0,0,0,0,0,0,0,0
Georgia,Charlton,0,0,0,0,0,0,0,0
Georgia,Chatham,0,0,0,0,0,0,0,0
Georgia,Chattahoochee,0,0,0,0,0,0,0,0
Georgia,Chattooga,0,0,0,0,0,0,0,0
Georgia,Cherokee,0,0,0,0,0,1,1,1
Georgia,Clarke,0,0,1,1,1,2,2,5
Georgia,Clay,0,0,0,0,0,0,0,0
Georgia,Clayton,0,0,0,0,0,1,1,1
Georgia,Clinch,0,0,0,0,0,0,0,0
Georgia,Cobb,2,2,2,2,2,8,9,9
Georgia,Coffee,0,0,0,0,0,0,0,0
Georgia,Colquitt,0,0,0,0,0,0,0,0
Georgia,Columbia,0,0,0,0,0,0,0,0
Georgia,Cook,0,0,0,0,0,0,0,0
Georgia,Coweta,0,0,0,0,0,2,2,2
Georgia,Crawford,0,0,0,0,0,0,0,0
Georgia,Crisp,0,0,0,0,0,0,0,0
Georgia,Dade,0,0,0,0,0,0,0,0
Georgia,Dawson,0,0,0,0,0,0,0,0
Georgia,Decatur,0,0,0,0,0,0,0,0
Georgia,DeKalb,0,0,0,0,0,2,3,3
Georgia,Dodge,0,0,0,0,0,0,0,0
Georgia,Dooly,0,0,0,0,0,0,0,0
Georgia,Dougherty,6,6,6,6,12,13,17,17
Georgia,Douglas,0,0,0,0,0,1,1,1
Georgia,Early,1,1,1,1,1,1,1,1
Georgia,Echols,0,0,0,0,0,0,0,0
Georgia,Effingham,0,0,0,0,0,0,0,0
Georgia,Elbert,0,0,0,0,0,0,0,0
Georgia,Emanuel,0,0,0,0,0,0,0,0
Georgia,Evans,0,0,0,0,0,0,0,0
Georgia,Fannin,0,0,0,0,0,0,0,0
Georgia,Fayette,1,1,1,1,1,2,3,3
Georgia,Floyd,1,1,1,1,1,1,2,2
Georgia,Forsyth,0,0,0,0,0,1,1,1
Georgia,Franklin,0,0,0,0,0,0,0,0
Georgia,Fulton,2,2,2,2,2,12,13,14
Georgia,Gilmer,0,0,0,0,0,0,0,0
Georgia,Glascock,0,0,0,0,0,0,0,0
Georgia,Glynn,0,0,0,0,0,0,0,0
Georgia,Gordon,0,0,0,0,0,1,1,1
Georgia,Grady,0,0,0,0,0,0,0,0
Georgia,Greene,0,0,0,0,0,0,0,0
Georgia,Gwinnett,1,1,1,1,1,1,1,1
Georgia,Habersham,0,0,0,0,0,0,0,0
Georgia,Hall,0,0,0,0,0,0,0,0
Georgia,Hancock,0,0,0,0,0,0,0,0
Georgia,Haralson,0,0,0,0,0,0,0,0
Georgia,Harris,0,0,0,0,0,0,0,0
Georgia,Hart,0,0,0,0,0,0,0,0
Georgia,Heard,0,0,0,0,0,1,1,1
Georgia,Henry,0,0,0,0,0,1,1,2
Georgia,Houston,0,0,0,0,0,1,1,1
Georgia,Irwin,0,0,0,0,0,0,0,0
Georgia,Jackson,0,0,0,0,0,0,0,0
Georgia,Jasper,0,0,0,0,0,0,0,0
Georgia,Jeff Davis,0,0,0,0,0,0,0,0
Georgia,Jefferson,0,0,0,0,0,0,0,0
Georgia,Jenkins,0,0,0,0,0,0,0,0
Georgia,Johnson,0,0,0,0,0,0,0,0
Georgia,Jones,0,0,0,0,0,0,0,0
Georgia,Lamar,0,0,0,0,0,0,0,0
Georgia,Lanier,0,0,0,0,0,0,0,0
Georgia,Laurens,0,0,0,0,0,0,0,0
Georgia,Lee,0,0,0,0,0,5,6,6
Georgia,Liberty,0,0,0,0,0,0,0,0
Georgia,Lincoln,0,0,0,0,0,0,0,0
Georgia,Long,0,0,0,0,0,0,0,0
Georgia,Lowndes,0,0,0,0,0,1,1,1
Georgia,Lumpkin,0,0,0,0,0,0,0,0
Georgia,McDuffie,0,0,0,0,0,0,0,0
Georgia,McIntosh,0,0,0,0,0,0,0,0
Georgia,Macon,0,0,0,0,0,0,0,0
Georgia,Madison,0,0,0,0,0,0,0,0
Georgia,Marion,0,0,0,0,0,0,0,0
Georgia,Meriwether,0,0,0,0,0,0,0,0
Georgia,Miller,0,0,0,0,0,0,0,0
Georgia,Mitchell,0,0,0,0,0,0,0,0
Georgia,Monroe,0,0,0,0,0,0,0,0
Georgia,Montgomery,0,0,0,0,0,0,0,0
Georgia,Morgan,0,0,0,0,0,0,0,0
Georgia,Murray,0,0,0,0,0,0,0,0
Georgia,Muscogee,0,0,0,0,0,0,0,0
Georgia,Newton,0,0,0,0,0,0,0,0
Georgia,Oconee,0,0,0,0,0,0,0,0
Georgia,Oglethorpe,0,0,0,0,0,0,0,0
Georgia,Paulding,0,0,0,0,0,0,0,0
Georgia,Peach,0,0,0,0,0,0,0,1
Georgia,Pickens,0,0,0,0,0,1,1,1
Georgia,Pierce,0,0,0,0,0,0,0,0
Georgia,Pike,0,0,0,0,0,0,0,0
Georgia,Polk,0,0,0,0,0,0,0,0
Georgia,Pulaski,0,0,0,0,0,0,0,0
Georgia,Putnam,0,0,0,0,0,0,0,0
Georgia,Quitman,0,0,0,0,0,0,0,0
Georgia,Rabun,0,0,0,0,0,0,0,0
Georgia,Randolph,0,0,0,0,0,0,0,0
Georgia,Richmond,0,0,0,0,0,0,0,0
Georgia,Rockdale,0,0,0,0,0,1,1,1
Georgia,Schley,0,0,0,0,0,0,0,0
Georgia,Screven,0,0,0,0,0,0,0,0
Georgia,Seminole,0,0,0,0,0,0,0,0
Georgia,Spalding,0,0,0,0,0,0,0,0
Georgia,Stephens,0,0,0,0,0,0,0,0
Georgia,Stewart,0,0,0,0,0,0,0,0
Georgia,Sumter,0,0,0,0,0,0,1,1
Georgia,Talbot,0,0,0,0,0,0,0,0
Georgia,Taliaferro,0,0,0,0,0,0,0,0
Georgia,Tattnall,0,0,0,0,0,0,0,0
Georgia,Taylor,0,0,0,0,0,0,0,0
Georgia,Telfair,0,0,0,0,0,0,0,0
Georgia,Terrell,0,0,0,0,0,2,2,2
Georgia,Thomas,0,0,0,0,0,0,0,0
Georgia,Tift,0,0,0,0,0,0,0,0
Georgia,Toombs,0,0,0,0,0,0,0,0
Georgia,Towns,0,0,0,0,0,0,0,0
Georgia,Treutlen,0,0,0,0,0,0,0,0
Georgia,Troup,0,0,0,0,0,1,1,1
Georgia,Turner,0,0,0,0,0,0,0,0
Georgia,Twiggs,0,0,0,0,0,0,0,0
Georgia,Union,0,0,0,0,0,0,0,0
Georgia,Upson,0,0,0,0,0,0,0,0
Georgia,Walker,0,0,0,0,0,0,0,0
Georgia,Walton,0,0,0,0,0,0,0,0
Georgia,Ware,0,0,0,0,0,0,0,0
Georgia,Warren,0,0,0,0,0,0,0,0
Georgia,Washington,0,0,0,0,0,0,0,0
Georgia,Wayne,0,0,0,0,0,0,0,0
Georgia,Webster,0,0,0,0,0,0,0,0
Georgia,Wheeler,0,0,0,0,0,0,0,0
Georgia,White,0,0,0,0,0,0,0,0
Georgia,Whitfield,0,0,0,0,0,0,0,2
Georgia,Wilcox,0,0,0,0,0,0,0,0
Georgia,Wilkes,0,0,0,0,0,0,0,0
Georgia,Wilkinson,0,0,0,0,0,0,0,0
Georgia,Worth,0,0,0,0,0,1,1,1
Georgia,Out of GA,0,0,0,0,0,0,0,0
Georgia,Unassigned,10,17,24,32,42,2,2,1
