Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30
Indiana,Adams,0,0,0,0,0,0,0,0
Indiana,Allen,1,1,1,1,1,1,1,1
Indiana,Bartholomew,0,0,0,0,0,0,0,0
Indiana,Benton,0,0,0,0,0,0,0,0
Indiana,Blackford,0,0,0,0,0,0,0,0
Indiana,Boone,0,0,0,0,0,0,0,0
Indiana,Brown,0,0,0,0,0,0,0,0
Indiana,Carroll,0,0,0,0,0,0,0,0
Indiana,Cass,0,0,0,0,0,0,0,0
Indiana,Clark,0,0,0,0,0,0,0,0
Indiana,Clay,0,0,0,0,0,0,0,0
Indiana,Clinton,0,0,0,0,0,0,0,0
Indiana,Crawford,0,0,0,0,0,0,0,0
Indiana,Daviess,0,0,0,0,0,0,0,0
Indiana,Dearborn,0,0,0,0,1,1,1,1
Indiana,Decatur,0,0,0,0,0,0,0,0
Indiana,DeKalb,0,0,0,0,0,0,0,0
Indiana,Delaware,1,1,1,1,1,1,1,1
Indiana,Dubois,0,0,0,0,0,0,0,0
Indiana,Elkhart,0,0,0,0,0,0,0,0
Indiana,Fayette,0,0,0,0,0,1,1,1
Indiana,Floyd,0,0,0,0,0,0,0,0
Indiana,Fountain,0,0,0,0,0,0,0,0
Indiana,Franklin,0,0,0,1,1,2,2,4
Indiana,Fulton,0,0,0,0,0,0,0,0
Indiana,Gibson,0,0,0,0,0,0,0,0
Indiana,Grant,0,0,0,0,0,0,0,0
Indiana,Greene,0,0,0,0,0,0,0,0
Indiana,Hamilton,0,0,0,0,0,0,0,0
Indiana,Hancock,0,0,1,1,1,1,1,1
Indiana,Harrison,0,0,0,0,0,0,0,0
Indiana,Hendricks,0,0,0,0,2,2,2,1
Indiana,Henry,0,0,0,0,0,0,0,0
Indiana,Howard,0,0,1,1,1,1,1,1
Indiana,Huntington,0,0,0,0,0,0,0,0
Indiana,Jackson,0,0,0,0,0,0,0,0
Indiana,Jasper,0,0,0,1,1,1,1,1
Indiana,Jay,0,0,0,0,0,0,0,0
Indiana,Jefferson,0,0,0,0,0,0,0,0
Indiana,Jennings,0,0,0,0,0,0,0,0
Indiana,Johnson,1,3,3,3,3,3,3,3
Indiana,Knox,0,0,0,0,0,0,0,0
Indiana,Kosciusko,0,0,0,0,0,0,0,0
Indiana,LaGrange,0,0,0,0,0,0,0,0
Indiana,Lake,0,0,0,0,0,1,1,1
Indiana,LaPorte,0,0,0,0,0,0,0,0
Indiana,Lawrence,0,0,0,0,0,0,0,0
Indiana,Madison,0,0,0,0,1,1,1,1
Indiana,Marion,3,6,6,6,8,10,10,12
Indiana,Marshall,0,0,0,0,0,0,0,0
Indiana,Martin,0,0,0,0,0,0,0,0
Indiana,Miami,0,0,0,0,0,0,0,0
Indiana,Monroe,0,0,0,0,0,0,0,0
Indiana,Montgomery,0,0,0,0,0,0,0,0
Indiana,Morgan,0,0,0,0,0,0,1,1
Indiana,Newton,0,0,0,0,0,0,0,0
Indiana,Noble,0,0,0,0,0,0,0,0
Indiana,Ohio,0,0,0,0,0,0,0,0
Indiana,Orange,0,0,0,0,0,0,0,0
Indiana,Owen,0,0,0,0,0,0,0,0
Indiana,Parke,0,0,0,0,0,0,0,0
Indiana,Perry,0,0,0,0,0,0,0,0
Indiana,Pike,0,0,0,0,0,0,0,0
Indiana,Porter,0,0,0,0,0,0,0,0
Indiana,Posey,0,0,0,0,0,0,0,0
Indiana,Pulaski,0,0,0,0,0,0,0,0
Indiana,Putnam,0,0,0,1,1,1,1,1
Indiana,Randolph,0,0,0,0,0,0,0,0
Indiana,Ripley,0,0,0,0,0,0,0,0
Indiana,Rush,0,0,0,0,0,0,0,0
Indiana,St. Joseph,0,0,0,0,1,1,1,1
Indiana,Scott,1,1,1,1,1,1,1,1
Indiana,Shelby,0,0,0,0,0,0,0,0
Indiana,Spencer,0,0,0,0,0,0,0,0
Indiana,Starke,0,0,0,0,0,0,0,0
Indiana,Steuben,0,0,0,0,0,0,0,0
Indiana,Sullivan,0,0,0,0,0,0,0,0
Indiana,Switzerland,0,0,0,0,0,0,0,0
Indiana,Tippecanoe,0,0,0,0,1,1,1,1
Indiana,Tipton,0,0,0,0,0,0,0,0
Indiana,Union,0,0,0,0,0,0,0,0
Indiana,Vanderburgh,0,0,0,0,0,0,0,0
Indiana,Vermillion,0,0,0,0,0,0,0,0
Indiana,Vigo,0,0,0,0,0,1,1,1
Indiana,Wabash,0,0,0,0,0,0,0,0
Indiana,Warren,0,0,0,0,0,0,0,0
Indiana,Warrick,0,0,0,0,0,0,0,0
Indiana,Washington,0,0,0,0,0,0,0,0
Indiana,Wayne,0,0,0,0,0,0,0,0
Indiana,Wells,0,0,0,0,0,0,0,0
Indiana,White,0,0,0,0,0,0,0,0
Indiana,Whitley,0,0,0,0,0,0,0,0
Indiana,Out of IN,0,0,0,0,0,0,0,0
Indiana,Unassigned,0,0,0,0,0,0,0,0
