Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30
Maine,Androscoggin,0,0,0,0,0,0,0,0
Maine,Aroostook,0,0,0,0,0,0,0,0
Maine,Cumberland,0,0,0,0,1,1,3,3
Maine,Franklin,0,0,0,0,0,0,0,0
Maine,Hancock,0,0,0,0,0,0,0,0
Maine,Kennebec,0,0,0,0,0,0,0,0
Maine,Knox,0,0,0,0,0,0,0,0
Maine,Lincoln,0,0,0,0,0,0,0,0
Maine,Oxford,0,0,0,0,0,0,0,0
Maine,Penobscot,0,0,0,0,0,0,0,0
Maine,Piscataquis,0,0,0,0,0,0,0,0
Maine,Sagadahoc,0,0,0,0,0,0,0,0
Maine,Somerset,0,0,0,0,0,0,0,0
Maine,Waldo,0,0,0,0,0,0,0,0
Maine,Washington,0,0,0,0,0,0,0,0
Maine,York,0,0,0,0,0,0,0,0
Maine,Out of ME,0,0,0,0,0,0,0,0
Maine,Unassigned,0,0,0,0,0,0,0,0
