Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30
Maryland,Allegany,0,0,0,0,0,0,0,0
Maryland,Anne Arundel,0,0,0,0,0,0,0,0
Maryland,Baltimore,1,1,1,1,1,1,1,1
Maryland,Calvert,0,0,0,0,0,0,0,0
Maryland,Caroline,0,0,0,0,0,0,0,0
Maryland,Carroll,0,0,0,0,0,0,0,1
Maryland,Cecil,0,0,0,0,0,0,0,0
Maryland,Charles,0,0,0,0,0,0,1,1
Maryland,Dorchester,0,0,0,0,0,0,0,0
Maryland,Frederick,0,0,0,0,0,0,0,0
Maryland,Garrett,0,0,0,0,0,0,0,0
Maryland,Harford,0,0,0,0,0,0,0,0
Maryland,Howard,0,0,0,0,0,0,0,1
Maryland,Kent,0,0,0,0,0,0,0,0
Maryland,Montgomery,1,1,1,1,1,1,1,1
Maryland,Prince George's,1,2,2,2,2,2,3,6
Maryland,Queen Anne's,0,0,0,0,0,0,0,0
Maryland,St. Mary's,0,0,0,0,0,0,0,0
Maryland,Somerset,0,0,0,0,0,0,0,0
Maryland,Talbot,0,0,0,0,0,0,0,0
Maryland,Washington,0,0,0,0,0,0,0,0
Maryland,Wicomico,0,0,0,0,0,0,1,1
Maryland,Worcester,0,0,0,0,0,0,0,0
Maryland,Baltimore City,0,0,0,0,0,0,2,2
Maryland,Out of MD,0,0,0,0,0,0,0,0
Maryland,Unassigned,0,0,0,0,1,1,1,1
