Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30
Massachusetts,Barnstable,0,0,1,1,2,2,2,2
Massachusetts,Berkshire,0,0,0,0,2,2,3,3
Massachusetts,Bristol,0,0,0,0,1,1,1,2
Massachusetts,Dukes,0,0,0,0,0,0,0,0
Massachusetts,Essex,0,0,0,2,2,3,4,6
Massachusetts,Franklin,0,0,0,1,2,2,2,2
Massachusetts,Hampden,0,0,0,1,1,4,4,4
Massachusetts,Hampshire,0,0,0,0,0,0,0,0
Massachusetts,Middlesex,1,1,1,4,5,5,6,8
Massachusetts,Nantucket,0,0,0,0,0,0,0,0
Massachusetts,Norfolk,0,0,1,2,6,8,9,10
Massachusetts,Plymouth,0,0,0,0,0,0,0,0
Massachusetts,Suffolk,1,1,1,2,2,3,3,5
Massachusetts,Worcester,0,0,2,3,3,5,5,5
Massachusetts,Dukes and Nantucket,0,0,0,0,0,0,0,0
Massachusetts,Out of MA,0,0,0,0,0,0,0,0
Massachusetts,Unassigned,7,9,9,9,9,9,9,9
