Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30
Minnesota,Aitkin,0,0,0,0,0,0,0,0
Minnesota,Anoka,0,0,0,0,0,0,0,0
Minnesota,Becker,0,0,0,0,0,0,0,0
Minnesota,Beltrami,0,0,0,0,0,0,0,0
Minnesota,Benton,0,0,0,0,0,0,0,0
Minnesota,Big Stone,0,0,0,0,0,0,0,0
Minnesota,Blue Earth,0,0,0,0,0,0,0,0
Minnesota,Brown,0,0,0,0,0,0,0,0
Minnesota,Carlton,0,0,0,0,0,0,0,0
Minnesota,Carver,0,0,0,0,0,0,0,0
Minnesota,Cass,0,0,0,0,0,0,0,0
Minnesota,Chippewa,0,0,0,0,0,0,0,0
Minnesota,Chisago,0,0,0,0,0,0,0,0
Minnesota,Clay,0,0,0,0,0,0,0,0
Minnesota,Clearwater,0,0,0,0,0,0,0,0
Minnesota,Cook,0,0,0,0,0,0,0,0
Minnesota,Cottonwood,0,0,0,0,0,0,0,0
Minnesota,Crow Wing,0,0,0,0,0,0,0,0
Minnesota,Dakota,0,0,0,0,0,0,0,0
Minnesota,Dodge,0,0,0,0,0,0,0,0
Minnesota,Douglas,0,0,0,0,0,0,0,0
Minnesota,Faribault,0,0,0,0,0,0,0,0
Minnesota,Fillmore,0,0,0,0,0,0,0,0
Minnesota,Freeborn,0,0,0,0,0,0,0,0
Minnesota,Goodhue,0,0,0,0,0,0,0,0
Minnesota,Grant,0,0,0,0,0,0,0,0
Minnesota,Hennepin,0,0,0,0,0,2,2,5
Minnesota,Houston,0,0,0,0,0,0,0,0
Minnesota,Hubbard,0,0,0,0,0,0,0,0
Minnesota,Isanti,0,0,0,0,0,0,0,0
Minnesota,Itasca,0,0,0,0,0,0,0,0
Minnesota,Jackson,0,0,0,0,0,0,0,0
Minnesota,Kanabec,0,0,0,0,0,0,0,0
Minnesota,Kandiyohi,0,0,0,0,0,0,0,0
Minnesota,Kittson,0,0,0,0,0,0,0,0
Minnesota,Koochiching,0,0,0,0,0,0,0,0
Minnesota,Lac qui Parle,0,0,0,0,0,0,0,0
Minnesota,Lake,0,0,0,0,0,0,0,0
Minnesota,Lake of the Woods,0,0,0,0,0,0,0,0
Minnesota,Le Sueur,0,0,0,0,0,0,0,0
Minnesota,Lincoln,0,0,0,0,0,0,0,0
Minnesota,Lyon,0,0,0,0,0,0,0,0
Minnesota,McLeod,0,0,0,0,0,0,0,0
Minnesota,Mahnomen,0,0,0,0,0,0,0,0
Minnesota,Marshall,0,0,0,0,0,0,0,0
Minnesota,Martin,0,0,0,0,0,1,1,2
Minnesota,Meeker,0,0,0,0,0,0,0,0
Minnesota,Mille Lacs,0,0,0,0,0,0,0,0
Minnesota,Morrison,0,0,0,0,0,0,0,0
Minnesota,Mower,0,0,0,0,0,0,0,0
Minnesota,Murray,0,0,0,0,0,0,0,0
Minnesota,Nicollet,0,0,0,0,0,0,0,0
Minnesota,Nobles,0,0,0,0,0,0,0,0
Minnesota,Norman,0,0,0,0,0,0,0,0
Minnesota,Olmsted,0,0,0,0,0,0,0,0
Minnesota,Otter Tail,0,0,0,0,0,0,0,0
Minnesota,Pennington,0,0,0,0,0,0,0,0
Minnesota,Pine,0,0,0,0,0,0,0,0
Minnesota,Pipestone,0,0,0,0,0,0,0,0
Minnesota,Polk,0,0,0,0,0,0,0,0
Minnesota,Pope,0,0,0,0,0,0,0,0
Minnesota,Ramsey,1,1,1,2,2,2,2,2
Minnesota,Red Lake,0,0,0,0,0,0,0,0
Minnesota,Redwood,0,0,0,0,0,0,0,0
Minnesota,Renville,0,0,0,0,0,0,0,0
Minnesota,Rice,0,0,0,0,0,0,0,0
Minnesota,Rock,0,0,0,0,0,0,0,0
Minnesota,Roseau,0,0,0,0,0,0,0,0
Minnesota,St. Louis,0,0,0,0,0,0,0,0
Minnesota,Scott,0,0,0,0,0,0,0,0
Minnesota,Sherburne,0,0,0,0,0,0,0,0
Minnesota,Sibley,0,0,0,0,0,0,0,0
Minnesota,Stearns,0,0,0,0,0,0,0,0
Minnesota,Steele,0,0,0,0,0,0,0,0
Minnesota,Stevens,0,0,0,0,0,0,0,0
Minnesota,Swift,0,0,0,0,0,0,0,0
Minnesota,Todd,0,0,0,0,0,0,0,0
Minnesota,Traverse,0,0,0,0,0,0,0,0
Minnesota,Wabasha,0,0,0,0,0,0,0,0
Minnesota,Wadena,0,0,0,0,0,0,0,0
Minnesota,Waseca,0,0,0,0,0,0,0,0
Minnesota,Washington,0,0,0,0,0,0,0,0
Minnesota,Watonwan,0,0,0,0,0,0,0,0
Minnesota,Wilkin,0,0,0,0,0,0,0,0
Minnesota,Winona,0,0,0,0,0,0,0,0
Minnesota,Wright,0,0,0,0,0,0,0,0
Minnesota,Yellow Medicine,0,0,0,0,0,0,0,0
Minnesota,Out of MN,0,0,0,0,0,0,0,0
Minnesota,Unassigned,0,0,0,0,2,0,4,1
