Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30
New Jersey,Atlantic,0,0,0,0,0,0,0,0
New Jersey,Bergen,6,6,6,6,6,13,23,23
New Jersey,Burlington,0,0,0,0,0,0,2,2
New Jersey,Camden,1,1,1,1,1,1,1,1
New Jersey,Cape May,0,0,0,0,0,0,0,0
New Jersey,Cumberland,0,0,0,0,0,0,0,1
New Jersey,Essex,4,4,4,4,4,7,13,13
New Jersey,Gloucester,0,0,0,0,0,1,1,1
New Jersey,Hudson,1,1,1,1,2,4,6,7
New Jersey,Hunterdon,0,0,0,0,0,0,0,0
New Jersey,Mercer,0,0,0,0,0,0,0,0
New Jersey,Middlesex,0,0,0,0,0,4,12,12
New Jersey,Monmouth,3,3,3,3,3,6,8,8
New Jersey,Morris,1,1,1,1,1,3,8,8
New Jersey,Ocean,1,1,1,1,1,4,6,6
New Jersey,Passaic,0,0,0,0,7,7,10,10
New Jersey,Salem,0,0,0,0,0,0,0,0
New Jersey,Somerset,1,1,1,1,1,4,6,6
New Jersey,Sussex,0,0,0,0,0,0,1,1
New Jersey,Union,0,0,0,0,0,0,7,7
New Jersey,Warren,0,0,0,0,0,0,1,1
New Jersey,Out of NJ,0,0,0,0,0,0,0,0
New Jersey,Unassigned,9,26,44,63,82,86,56,91
