Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30
New Mexico,Bernalillo,0,0,0,0,0,0,1,1
New Mexico,Catron,0,0,0,0,0,0,0,0
New Mexico,Chaves,0,0,0,0,0,0,0,0
New Mexico,Cibola,0,0,0,0,0,0,0,0
New Mexico,Colfax,0,0,0,0,0,0,0,0
New Mexico,Curry,0,0,0,0,0,0,0,0
New Mexico,De Baca,0,0,0,0,0,0,0,0
New Mexico,Dona Ana,0,0,0,0,0,0,0,0
New Mexico,Eddy,0,0,1,1,1,1,1,1
New Mexico,Grant,0,0,0,0,0,0,0,0
New Mexico,Guadalupe,0,0,0,0,0,0,0,0
New Mexico,Harding,0,0,0,0,0,0,0,0
New Mexico,Hidalgo,0,0,0,0,0,0,0,0
New Mexico,Lea,0,0,0,0,0,0,0,0
New Mexico,Lincoln,0,0,0,0,0,0,0,0
New Mexico,Los Alamos,0,0,0,0,0,0,0,0
New Mexico,Luna,0,0,0,0,0,0,0,0
New Mexico,McKinley,0,0,0,0,0,0,0,0
New Mexico,Mora,0,0,0,0,0,0,0,0
New Mexico,Otero,0,0,0,0,0,0,0,0
New Mexico,Quay,0,0,0,0,0,0,0,0
New Mexico,Rio Arriba,0,0,0,0,0,0,0,0
New Mexico,Roosevelt,0,0,0,0,0,0,0,0
New Mexico,Sandoval,0,0,0,0,0,0,0,0
New Mexico,San Juan,0,0,0,0,0,0,0,0
New Mexico,San Miguel,0,0,0,0,0,0,0,0
New Mexico,Santa Fe,0,0,0,0,0,0,0,0
New Mexico,Sierra,0,0,0,0,0,0,0,0
New Mexico,Socorro,0,0,0,0,0,0,0,0
New Mexico,Taos,0,0,0,0,0,0,0,0
New Mexico,Torrance,0,0,0,0,0,0,0,0
New Mexico,Union,0,0,0,0,0,0,0,0
New Mexico,Valencia,0,0,0,0,0,0,0,0
New Mexico,Out of NM,0,0,0,0,0,0,0,0
New Mexico,Unassigned,0,0,0,0,0,0,0,0
