Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30
New York,Albany,0,0,0,0,0,0,1,1
New York,Allegany,0,0,0,0,0,0,0,0
New York,Bronx,0,0,0,0,0,0,0,0
New York,Broome,1,1,2,2,2,3,3,3
New York,Cattaraugus,0,0,0,0,0,0,0,0
New York,Cayuga,0,0,0,0,0,0,0,0
New York,Chautauqua,0,0,0,0,0,0,0,0
New York,Chemung,0,0,0,0,0,0,0,0
New York,Chenango,0,0,0,0,0,0,0,0
New York,Clinton,0,0,0,0,0,0,0,0
New York,Columbia,0,0,0,0,0,1,1,1
New York,Cortland,0,0,0,0,0,0,0,0
New York,Delaware,0,0,0,0,0,0,0,0
New York,Dutchess,1,1,1,1,1,2,2,2
New York,Erie,0,0,1,2,5,6,7,7
New York,Essex,0,0,0,0,0,0,0,0
New York,Franklin,0,0,0,0,0,0,0,0
New York,Fulton,0,0,0,0,0,0,0,0
New York,Genesee,0,0,0,0,0,0,0,0
New York,Greene,0,0,0,0,0,0,0,0
New York,Hamilton,0,0,0,0,0,0,0,0
New York,Herkimer,0,0,0,0,0,1,2,2
New York,Jefferson,0,0,0,0,0,0,0,0
New York,Kings,0,0,0,0,0,0,0,0
New York,Lewis,0,0,0,0,0,0,0,0
New York,Livingston,0,0,0,0,0,0,0,0
New York,Madison,0,1,1,1,1,1,1,1
New York,Monroe,2,3,3,4,4,5,5,6
New York,Montgomery,0,0,0,0,0,0,0,0
New York,Nassau,4,9,17,17,19,27,39,39
New York,New York,99,131,199,281,366,517,678,790
New York,Niagara,0,0,0,0,0,0,0,0
New York,Oneida,0,0,0,0,0,0,0,0
New York,Onondaga,0,1,1,1,1,1,1,1
New York,Ontario,0,0,0,0,0,0,0,0
New York,Orange,0,0,1,1,1,4,5,5
New York,Orleans,0,0,0,0,0,0,0,0
New York,Oswego,0,0,0,0,0,0,0,0
New York,Otsego,0,0,0,0,0,1,1,1
New York,Putnam,0,0,0,0,0,0,0,0
New York,Queens,0,0,0,0,0,0,0,0
New York,Rensselaer,0,0,0,0,0,0,0,0
New York,Richmond,0,0,0,0,0,0,0,0
New York,Rockland,1,5,5,5,7,8,8,8
New York,St. Lawrence,0,0,0,0,0,0,0,0
New York,Saratoga,0,0,0,0,0,0,0,1
New York,Schenectady,0,0,1,1,1,1,1,1
New York,Schoharie,0,0,0,0,0,0,0,0
New York,Schuyler,0,0,0,0,0,0,0,0
New York,Seneca,0,0,0,0,0,0,0,0
New York,Steuben,0,0,0,0,0,0,0,0
New York,Suffolk,13,17,20,22,30,30,40,40
New York,Sullivan,0,0,0,0,0,0,0,0
New York,Tioga,0,0,0,0,0,0,0,0
New York,Tompkins,0,0,0,0,0,0,0,0
New York,Ulster,0,0,0,0,0,0,0,0
New York,Warren,0,0,0,0,0,0,0,0
New York,Washington,0,0,0,0,0,0,0,0
New York,Wayne,0,0,0,0,0,0,0,0
New York,Westchester,0,1,1,1,1,10,10,10
New York,Wyoming,1,1,1,1,1,1,1,1
New York,Yates,0,0,0,0,0,0,0,0
New York,Out of NY,0,0,0,0,0,0,0,0
New York,Unassigned,36,39,31,45,87,109,159,298
