Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30
North Dakota,Adams,0,0,0,0,0,0,0,0
North Dakota,Barnes,0,0,0,0,0,0,0,0
North Dakota,Benson,0,0,0,0,0,0,0,0
North Dakota,Billings,0,0,0,0,0,0,0,0
North Dakota,Bottineau,0,0,0,0,0,0,0,0
North Dakota,Bowman,0,0,0,0,0,0,0,0
North Dakota,Burke,0,0,0,0,0,0,0,0
North Dakota,Burleigh,0,0,0,0,0,0,0,0
North Dakota,Cass,0,0,0,0,1,1,1,1
North Dakota,Cavalier,0,0,0,0,0,0,0,0
North Dakota,Dickey,0,0,0,0,0,0,0,0
North Dakota,Divide,0,0,0,0,0,0,0,0
North Dakota,Dunn,0,0,0,0,0,0,0,0
North Dakota,Eddy,0,0,0,0,0,0,0,0
North Dakota,Emmons,0,0,0,0,0,0,0,0
North Dakota,Foster,0,0,0,0,0,0,0,0
North Dakota,Golden Valley,0,0,0,0,0,0,0,0
North Dakota,Grand Forks,0,0,0,0,0,0,0,0
North Dakota,Grant,0,0,0,0,0,0,0,0
North Dakota,Griggs,0,0,0,0,0,0,0,0
North Dakota,Hettinger,0,0,0,0,0,0,0,0
North Dakota,Kidder,0,0,0,0,0,0,0,0
North Dakota,LaMoure,0,0,0,0,0,0,0,0
North Dakota,Logan,0,0,0,0,0,0,0,0
North Dakota,McHenry,0,0,0,0,0,0,0,0
North Dakota,McIntosh,0,0,0,0,0,0,0,0
North Dakota,McKenzie,0,0,0,0,0,0,0,0
North Dakota,McLean,0,0,0,0,0,0,0,0
North Dakota,Mercer,0,0,0,0,0,0,0,0
North Dakota,Morton,0,0,0,0,0,0,0,0
North Dakota,Mountrail,0,0,0,0,0,0,0,0
North Dakota,Nelson,0,0,0,0,0,0,0,0
North Dakota,Oliver,0,0,0,0,0,0,0,0
North Dakota,Pembina,0,0,0,0,0,0,0,0
North Dakota,Pierce,0,0,0,0,0,0,0,0
North Dakota,Ramsey,0,0,0,0,0,0,0,0
North Dakota,Ransom,0,0,0,0,0,0,0,0
North Dakota,Renville,0,0,0,0,0,0,0,0
North Dakota,Richland,0,0,0,0,0,0,0,0
North Dakota,Rolette,0,0,0,0,0,0,0,0
North Dakota,Sargent,0,0,0,0,0,0,0,0
North Dakota,Sheridan,0,0,0,0,0,0,0,0
North Dakota,Sioux,0,0,0,0,0,0,0,0
North Dakota,Slope,0,0,0,0,0,0,0,0
North Dakota,Stark,0,0,0,0,0,0,0,0
North Dakota,Steele,0,0,0,0,0,0,0,0
North Dakota,Stutsman,0,0,0,0,0,0,0,0
North Dakota,Towner,0,0,0,0,0,0,0,0
North Dakota,Traill,0,0,0,0,0,0,0,0
North Dakota,Walsh,0,0,0,0,0,0,0,0
North Dakota,Ward,0,0,0,0,0,0,0,0
North Dakota,Wells,0,0,0,0,0,0,0,0
North Dakota,Williams,0,0,0,0,0,0,0,0
North Dakota,Out of ND,0,0,0,0,0,0,0,0
North Dakota,Unassigned,0,0,0,0,0,0,0,1
