Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30
Ohio,Adams,0,0,0,0,0,0,0,0
Ohio,Allen,0,0,0,0,0,0,0,0
Ohio,Ashland,0,0,0,0,0,0,0,0
Ohio,Ashtabula,0,0,0,0,0,0,0,0
Ohio,Athens,0,0,0,0,0,0,0,1
Ohio,Auglaize,0,0,0,0,0,0,0,0
Ohio,Belmont,0,0,0,0,0,0,0,0
Ohio,Brown,0,0,0,0,0,0,0,0
Ohio,Butler,0,0,0,0,0,0,0,0
Ohio,Carroll,0,0,0,0,0,0,0,0
Ohio,Champaign,0,0,0,0,0,0,0,0
Ohio,Clark,0,0,0,0,0,0,0,0
Ohio,Clermont,0,0,0,0,0,0,0,0
Ohio,Clinton,0,0,0,0,0,0,0,0
Ohio,Columbiana,0,0,0,1,1,1,1,2
Ohio,Coshocton,0,0,0,0,0,0,0,0
Ohio,Crawford,0,0,0,0,0,0,0,0
Ohio,Cuyahoga,1,2,2,2,2,3,3,4
Ohio,Darke,0,0,0,0,0,0,0,0
Ohio,Defiance,0,0,0,0,0,0,0,0
Ohio,Delaware,0,0,0,0,0,0,0,1
Ohio,Erie,1,1,1,1,1,1,1,1
Ohio,Fairfield,0,0,0,0,0,0,0,0
Ohio,Fayette,0,0,0,0,0,0,0,0
Ohio,Franklin,2,2,2,2,2,2,3,2
Ohio,Fulton,0,0,0,0,0,0,0,0
Ohio,Gallia,0,1,1,1,1,1,1,1
Ohio,Geauga,0,0,0,0,0,0,0,0
Ohio,Greene,0,0,0,0,0,0,0,0
Ohio,Guernsey,0,0,0,0,0,0,0,0
Ohio,Hamilton,0,0,0,0,0,0,0,0
Ohio,Hancock,0,0,0,0,0,0,0,0
Ohio,Hardin,0,0,0,0,0,0,0,0
Ohio,Harrison,0,0,0,0,0,0,0,0
Ohio,Henry,0,0,0,0,0,0,0,0
Ohio,Highland,0,0,0,0,0,0,0,0
Ohio,Hocking,0,0,0,0,0,0,0,0
Ohio,Holmes,0,0,0,0,0,0,0,0
Ohio,Huron,0,0,0,0,0,0,0,1
Ohio,Jackson,0,0,0,0,0,0,0,0
Ohio,Jefferson,0,0,0,0,0,0,0,0
Ohio,Knox,0,0,0,0,0,0,0,0
Ohio,Lake,0,0,0,0,0,1,1,1
Ohio,Lawrence,0,0,0,0,0,0,0,0
Ohio,Licking,0,0,0,0,0,0,0,0
Ohio,Logan,0,0,0,0,0,0,0,0
Ohio,Lorain,0,0,0,0,0,0,0,2
Ohio,Lucas,1,1,2,2,2,2,2,3
Ohio,Madison,0,0,0,0,0,0,0,0
Ohio,Mahoning,0,0,0,1,2,2,2,4
Ohio,Marion,0,0,0,0,0,0,0,0
Ohio,Medina,0,0,0,0,0,0,1,1
Ohio,Meigs,0,0,0,0,0,0,0,0
Ohio,Mercer,0,0,0,0,0,0,0,0
Ohio,Miami,0,0,1,2,4,4,5,5
Ohio,Monroe,0,0,0,0,0,0,0,0
Ohio,Montgomery,0,0,0,0,0,0,0,1
Ohio,Morgan,0,0,0,0,0,0,0,0
Ohio,Morrow,0,0,0,0,0,0,0,0
Ohio,Muskingum,0,0,0,0,0,0,0,0
Ohio,Noble,0,0,0,0,0,0,0,0
Ohio,Ottawa,0,0,0,0,0,0,0,0
Ohio,Paulding,0,0,0,0,0,0,0,0
Ohio,Perry,0,0,0,0,0,0,0,0
Ohio,Pickaway,0,0,0,0,0,0,0,0
Ohio,Pike,0,0,0,0,0,0,0,0
Ohio,Portage,0,0,0,0,0,0,0,1
Ohio,Preble,0,0,0,0,0,0,0,0
Ohio,Putnam,0,0,0,0,0,0,0,0
Ohio,Richland,0,0,0,0,0,0,0,0
Ohio,Ross,0,0,0,0,0,0,0,0
Ohio,Sandusky,0,0,0,0,0,0,0,0
Ohio,Scioto,0,0,0,0,0,0,0,0
Ohio,Seneca,0,0,0,0,0,0,0,0
Ohio,Shelby,0,0,0,0,0,0,0,0
Ohio,Stark,1,1,2,2,2,2,2,2
Ohio,Summit,0,0,0,0,1,4,5,5
Ohio,Trumbull,0,0,0,1,1,2,2,2
Ohio,Tuscarawas,0,0,0,0,0,0,0,0
Ohio,Union,0,0,0,0,0,0,0,0
Ohio,Van Wert,0,0,0,0,0,0,0,0
Ohio,Vinton,0,0,0,0,0,0,0,0
Ohio,Warren,0,0,0,0,0,0,0,0
Ohio,Washington,0,0,0,0,0,0,0,0
Ohio,Wayne,0,0,0,0,0,0,0,0
Ohio,Williams,0,0,0,0,0,0,0,0
Ohio,Wood,0,0,0,0,0,0,0,0
Ohio,Wyandot,0,0,0,0,0,0,0,0
Ohio,Out of OH,0,0,0,0,0,0,0,0
Ohio,Unassigned,0,0,0,0,0,0,0,0
