Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30
Pennsylvania,Adams,0,0,0,0,0,0,0,0
Pennsylvania,Allegheny,1,2,2,2,2,2,2,2
Pennsylvania,Armstrong,0,0,0,0,0,0,0,0
Pennsylvania,Beaver,0,0,0,0,0,0,0,0
Pennsylvania,Bedford,0,0,0,0,0,0,0,0
Pennsylvania,Berks,0,0,0,0,0,0,0,0
Pennsylvania,Blair,0,0,0,0,0,0,0,0
Pennsylvania,Bradford,0,0,0,0,0,0,0,0
Pennsylvania,Bucks,0,0,0,0,0,0,1,4
Pennsylvania,Butler,0,0,0,1,1,2,2,2
Pennsylvania,Cambria,0,0,0,0,0,0,0,0
Pennsylvania,Cameron,0,0,0,0,0,0,0,0
Pennsylvania,Carbon,0,0,0,0,0,0,0,0
Pennsylvania,Centre,0,0,0,0,0,0,0,0
Pennsylvania,Chester,0,0,0,0,0,0,0,0
Pennsylvania,Clarion,0,0,0,0,0,0,0,0
Pennsylvania,Clearfield,0,0,0,0,0,0,0,0
Pennsylvania,Clinton,0,0,0,0,0,0,0,0
Pennsylvania,Columbia,0,0,0,0,0,0,0,0
Pennsylvania,Crawford,0,0,0,0,0,0,0,0
Pennsylvania,Cumberland,0,0,0,0,0,1,1,1
Pennsylvania,Dauphin,0,0,0,0,0,0,0,0
Pennsylvania,Delaware,0,0,2,2,3,4,4,4
Pennsylvania,Elk,0,0,0,0,0,0,0,0
Pennsylvania,Erie,0,0,0,0,0,0,0,0
Pennsylvania,Fayette,0,0,0,0,0,0,0,0
Pennsylvania,Forest,0,0,0,0,0,0,0,0
Pennsylvania,Franklin,0,0,0,0,0,0,0,0
Pennsylvania,Fulton,0,0,0,0,0,0,0,0
Pennsylvania,Greene,0,0,0,0,0,0,0,0
Pennsylvania,Huntingdon,0,0,0,0,0,0,0,0
Pennsylvania,Indiana,0,0,0,0,0,0,0,0
Pennsylvania,Jefferson,0,0,0,0,0,0,0,0
Pennsylvania,Juniata,0,0,0,0,0,0,0,0
Pennsylvania,Lackawanna,0,1,2,2,2,2,2,2
Pennsylvania,Lancaster,0,0,0,0,0,1,2,2
Pennsylvania,Lawrence,0,0,0,0,0,0,1,1
Pennsylvania,Lebanon,0,0,0,0,0,0,0,0
Pennsylvania,Lehigh,1,1,1,1,2,3,3,3
Pennsylvania,Luzerne,0,0,1,1,2,2,2,3
Pennsylvania,Lycoming,0,0,0,0,0,0,0,0
Pennsylvania,McKean,0,0,0,0,0,0,0,0
Pennsylvania,Mercer,0,0,0,0,0,0,0,0
Pennsylvania,Mifflin,0,0,0,0,0,0,0,0
Pennsylvania,Monroe,1,1,1,2,2,2,3,7
Pennsylvania,Montgomery,1,1,2,3,3,5,5,5
Pennsylvania,Montour,0,0,0,0,0,0,0,0
Pennsylvania,Northampton,2,2,3,3,3,4,4,5
Pennsylvania,Northumberland,0,0,0,0,0,0,0,0
Pennsylvania,Perry,0,0,0,0,0,0,0,0
Pennsylvania,Philadelphia,0,0,1,1,2,5,8,8
Pennsylvania,Pike,0,0,0,0,0,1,1,1
Pennsylvania,Potter,0,0,0,0,0,0,0,0
Pennsylvania,Schuylkill,0,0,0,0,0,0,0,0
Pennsylvania,Snyder,0,0,0,0,0,0,0,0
Pennsylvania,Somerset,0,0,0,0,0,0,0,0
Pennsylvania,Sullivan,0,0,0,0,0,0,0,0
Pennsylvania,Susquehanna,0,0,0,0,0,0,0,0
Pennsylvania,Tioga,0,0,0,0,0,0,0,0
Pennsylvania,Union,0,0,0,0,0,0,0,0
Pennsylvania,Venango,0,0,0,0,0,0,0,0
Pennsylvania,Warren,0,0,0,0,0,0,0,0
Pennsylvania,Washington,0,0,0,0,0,0,0,0
Pennsylvania,Wayne,0,0,0,0,0,0,0,0
Pennsylvania,Westmoreland,0,0,0,0,0,0,0,0
Pennsylvania,Wyoming,0,0,0,0,0,0,0,0
Pennsylvania,York,0,0,0,0,0,0,0,0
Pennsylvania,Out of PA,0,0,0,0,0,0,0,0
Pennsylvania,Unassigned,0,0,0,0,0,0,0,0
