Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30
Texas,Anderson,0,0,0,0,0,0,0,0
Texas,Andrews,0,0,0,0,0,0,0,0
Texas,Angelina,0,0,0,0,0,0,0,0
Texas,Aransas,0,0,0,0,0,0,0,0
Texas,Archer,0,0,0,0,0,0,0,0
Texas,Armstrong,0,0,0,0,0,0,0,0
Texas,Atascosa,0,0,0,0,0,0,0,0
Texas,Austin,0,0,0,0,0,0,0,0
Texas,Bailey,0,0,0,0,0,0,0,0
Texas,Bandera,0,0,0,0,0,0,0,0
Texas,Bastrop,0,0,0,0,0,0,0,0
Texas,Baylor,0,0,0,0,0,0,0,0
Texas,Bee,0,0,0,0,0,0,0,0
Texas,Bell,0,0,0,1,1,1,1,1
Texas,Bexar,1,1,2,3,5,5,5,6
Texas,Blanco,0,0,0,0,0,0,0,0
Texas,Borden,0,0,0,0,0,0,0,0
Texas,Bosque,0,0,0,0,0,0,0,0
Texas,Bowie,0,0,0,0,0,0,0,0
Texas,Brazoria,0,0,0,0,0,0,0,1
Texas,Brazos,0,0,0,0,0,1,2,2
Texas,Brewster,0,0,0,0,0,0,0,0
Texas,Briscoe,0,0,0,0,0,0,0,0
Texas,Brooks,0,0,0,0,0,0,0,0
Texas,Brown,0,0,0,0,0,0,0,0
Texas,Burleson,0,0,0,0,0,0,0,0
Texas,Burnet,0,0,0,0,0,0,0,0
Texas,Caldwell,0,0,0,0,0,0,0,0
Texas,Calhoun,0,0,0,0,0,0,0,0
Texas,Callahan,0,0,0,0,0,0,0,0
Texas,Cameron,0,0,0,0,0,0,0,0
Texas,Camp,0,0,0,0,0,0,0,0
Texas,Carson,0,0,0,0,0,0,0,0
Texas,Cass,0,0,0,0,0,0,0,0
Texas,Castro,0,0,0,0,0,0,0,0
Texas,Chambers,0,0,0,0,0,0,0,0
Texas,Cherokee,0,0,0,0,0,0,0,0
Texas,Childress,0,0,0,0,0,0,0,0
Texas,Clay,0,0,0,0,0,0,0,0
Texas,Cochran,0,0,0,0,0,0,0,0
Texas,Coke,0,0,0,0,0,0,0,0
Texas,Coleman,0,0,0,0,0,0,0,0
Texas,Collin,1,1,1,1,1,1,1,1
Texas,Collingsworth,0,0,0,0,0,0,0,0
Texas,Colorado,0,0,0,0,0,0,0,0
Texas,Comal,0,0,0,0,1,1,1,2
Texas,Comanche,0,0,0,0,0,0,0,0
Texas,Concho,0,0,0,0,0,0,0,0
Texas,Cooke,0,0,0,0,0,0,0,0
Texas,Coryell,0,0,0,0,0,0,0,0
Texas,Cottle,0,0,0,0,0,0,0,0
Texas,Crane,0,0,0,0,0,0,0,0
Texas,Crockett,0,0,0,0,0,0,0,0
Texas,Crosby,0,0,0,0,0,0,0,0
Texas,Culberson,0,0,0,0,0,0,0,0
Texas,Dallam,0,0,0,0,0,0,0,0
Texas,Dallas,4,5,6,7,7,9,10,11
Texas,Dawson,0,0,0,0,0,0,0,0
Texas,Deaf Smith,0,0,0,0,0,0,0,0
Texas,Delta,0,0,0,0,0,0,0,0
Texas,Denton,0,0,0,1,1,2,2,2
Texas,DeWitt,0,0,0,0,0,0,0,0
Texas,Dickens,0,0,0,0,0,0,0,0
Texas,Dimmit,0,0,0,0,0,0,0,0
Texas,Donley,0,0,0,0,0,0,0,0
Texas,Duval,0,0,0,0,0,0,0,0
Texas,Eastland,0,0,0,0,0,0,0,0
Texas,Ector,0,0,0,0,0,0,0,0
Texas,Edwards,0,0,0,0,0,0,0,0
Texas,Ellis,0,0,0,0,0,0,0,0
Texas,El Paso,0,0,0,0,0,0,0,0
Texas,Erath,0,0,0,0,0,0,0,0
Texas,Falls,0,0,0,0,0,0,0,0
Texas,Fannin,0,0,0,0,0,0,0,0
Texas,Fayette,0,0,0,0,0,0,0,0
Texas,Fisher,0,0,0,0,0,0,0,0
Texas,Floyd,0,0,0,0,0,0,0,0
Texas,Foard,0,0,0,0,0,0,0,0
Texas,Fort Bend,0,0,0,0,1,1,1,1
Texas,Franklin,0,0,0,0,0,0,0,0
Texas,Freestone,0,0,0,0,0,0,0,0
Texas,Frio,0,0,0,0,0,0,0,0
Texas,Gaines,0,0,0,0,0,0,0,0
Texas,Galveston,0,0,0,0,0,0,0,0
Texas,Garza,0,0,0,0,0,0,0,0
Texas,Gillespie,0,0,0,0,0,0,0,0
Texas,Glasscock,0,0,0,0,0,0,0,0
