Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30
Washington,Adams,0,0,0,0,0,0,0,0
Washington,Asotin,0,0,0,0,0,0,0,0
Washington,Benton,3,3,3,4,4,5,5,5
Washington,Chelan,0,0,1,1,1,1,1,1
Washington,Clallam,0,0,0,0,0,0,0,0
Washington,Clark,3,4,4,5,6,6,6,6
Washington,Columbia,0,0,0,0,0,0,0,0
Washington,Cowlitz,0,0,0,0,0,0,0,0
Washington,Douglas,0,0,0,0,0,0,0,0
Washington,Ferry,0,0,0,0,0,0,0,0
Washington,Franklin,0,0,0,0,0,0,0,0
Washington,Garfield,0,0,0,0,0,0,0,0
Washington,Grant,1,1,1,1,1,1,1,1
Washington,Grays Harbor,0,0,0,0,0,0,0,0
Washington,Island,1,1,1,1,1,1,1,1
Washington,Jefferson,0,0,0,0,0,0,0,0
Washington,King,87,87,101,109,109,136,141,144
Washington,Kitsap,0,0,0,0,0,1,0,0
Washington,Kittitas,0,0,0,0,0,0,0,0
Washington,Klickitat,0,0,0,0,0,0,0,1
Washington,Lewis,0,0,0,0,0,0,0,0
Washington,Lincoln,0,0,0,0,0,0,0,0
Washington,Mason,0,0,0,0,0,0,0,0
Washington,Okanogan,0,0,0,0,0,0,0,0
Washington,Pacific,0,0,0,0,0,0,0,0
Washington,Pend Oreille,0,0,0,0,0,0,0,0
Washington,Pierce,1,1,2,4,5,5,6,6
Washington,San Juan,0,0,0,0,0,0,0,0
Washington,Skagit,0,1,1,1,1,1,3,3
Washington,Skamania,0,0,0,0,0,0,0,0
Washington,Snohomish,11,16,16,18,23,23,23,23
Washington,Spokane,0,0,0,0,0,2,2,4
Washington,Stevens,0,0,0,0,0,0,0,0
Washington,Thurston,0,0,0,0,0,0,0,0
Washington,Wahkiakum,0,0,0,0,0,0,0,0
Washington,Walla Walla,0,0,0,0,0,0,0,0
Washington,Whatcom,2,2,2,4,4,4,7,7
Washington,Whitman,0,0,0,0,0,0,0,0
Washington,Yakima,0,0,1,2,2,2,2,3
Washington,Out of WA,0,0,0,0,0,0,0,0
Washington,Unassigned,0,0,0,0,0,0,0,0
