Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30
West Virginia,Barbour,0,0,0,0,0,0,0,0
West Virginia,Berkeley,0,0,0,0,0,0,0,0
West Virginia,Boone,0,0,0,0,0,0,0,0
West Virginia,Braxton,0,0,0,0,0,0,0,0
West Virginia,Brooke,0,0,0,0,0,0,0,0
West Virginia,Cabell,0,0,0,0,0,0,0,0
West Virginia,Calhoun,0,0,0,0,0,0,0,0
West Virginia,Clay,0,0,0,0,0,0,0,0
West Virginia,Doddridge,0,0,0,0,0,0,0,0
West Virginia,Fayette,0,0,0,0,0,0,0,0
West Virginia,Gilmer,0,0,0,0,0,0,0,0
West Virginia,Grant,0,0,0,0,0,0,0,0
West Virginia,Greenbrier,0,0,0,0,0,0,0,0
West Virginia,Hampshire,0,0,0,0,0,0,0,0
West Virginia,Hancock,0,0,0,0,0,0,0,0
West Virginia,Hardy,0,0,0,0,0,0,0,0
West Virginia,Harrison,0,0,0,0,0,0,0,0
West Virginia,Jackson,0,0,0,0,0,0,0,0
West Virginia,Jefferson,0,0,0,0,0,0,0,0
West Virginia,Kanawha,0,0,0,0,0,0,0,0
West Virginia,Lewis,0,0,0,0,0,0,0,0
West Virginia,Lincoln,0,0,0,0,0,0,0,0
West Virginia,Logan,0,0,0,0,0,0,0,0
West Virginia,McDowell,0,0,0,0,0,0,0,0
West Virginia,Marion,0,0,0,0,0,0,0,1
West Virginia,Marshall,0,0,0,0,0,0,0,0
West Virginia,Mason,0,0,0,0,0,0,0,0
West Virginia,Mercer,0,0,0,0,0,0,0,0
West Virginia,Mineral,0,0,0,0,0,0,0,0
West Virginia,Mingo,0,0,0,0,0,0,0,0
West Virginia,Monongalia,0,0,0,0,0,0,0,0
West Virginia,Monroe,0,0,0,0,0,0,0,0
West Virginia,Morgan,0,0,0,0,0,0,0,0
West Virginia,Nicholas,0,0,0,0,0,0,0,0
West Virginia,Ohio,0,0,0,0,0,0,0,0
West Virginia,Pendleton,0,0,0,0,0,0,0,0
West Virginia,Pleasants,0,0,0,0,0,0,0,0
West Virginia,Pocahontas,0,0,0,0,0,0,0,0
West Virginia,Preston,0,0,0,0,0,0,0,0
West Virginia,Putnam,0,0,0,0,0,0,0,0
West Virginia,Raleigh,0,0,0,0,0,0,0,0
West Virginia,Randolph,0,0,0,0,0,0,0,0
West Virginia,Ritchie,0,0,0,0,0,0,0,0
West Virginia,Roane,0,0,0,0,0,0,0,0
West Virginia,Summers,0,0,0,0,0,0,0,0
West Virginia,Taylor,0,0,0,0,0,0,0,0
West Virginia,Tucker,0,0,0,0,0,0,0,0
West Virginia,Tyler,0,0,0,0,0,0,0,0
West Virginia,Upshur,0,0,0,0,0,0,0,0
West Virginia,Wayne,0,0,0,0,0,0,0,0
West Virginia,Webster,0,0,0,0,0,0,0,0
West Virginia,Wetzel,0,0,0,0,0,0,0,0
West Virginia,Wirt,0,0,0,0,0,0,0,0
West Virginia,Wood,0,0,0,0,0,0,0,0
West Virginia,Wyoming,0,0,0,0,0,0,0,0
West Virginia,Out of WV,0,0,0,0,0,0,0,0
West Virginia,Unassigned,0,0,0,0,0,0,0,0
