Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06
Arkansas,Arkansas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,Ashley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,Baxter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,Benton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,Boone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,Bradley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,Calhoun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,Carroll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,Chicot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,Clark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,Clay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,Cleburne,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2
Arkansas,Cleveland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,Columbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,Conway,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
Arkansas,Craighead,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,Crawford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,Crittenden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,Cross,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,Dallas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,Desha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,Drew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,Faulkner,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
Arkansas,Franklin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,Fulton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,Garland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,Grant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,Greene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
