Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06
California,Alameda,1,2,2,4,4,4,6,7,7,7,8,12,12,12,13
California,Alpine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,Amador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,Butte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,Calaveras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,Colusa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,Contra Costa,1,1,1,1,1,2,3,3,3,3,3,3,5,6,7
California,Del Norte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,El Dorado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,Fresno,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
California,Glenn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,Humboldt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,Imperial,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3
California,Inyo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,Kern,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2
California,Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,Lake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,Lassen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,Los Angeles,7,11,13,21,26,26,32,44,54,64,78,89,93,132,147
California,Madera,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2
California,Marin,0,0,0,0,0,1,1,1,4,4,6,6,6,7,7
California,Mariposa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,Mendocino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,Merced,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
California,Modoc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,Mono,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
California,Monterey,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2
California,Napa,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2
California,Nevada,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
California,Orange,0,0,1,1,3,4,4,4,7,10,13,13,14,14,14
California,Placer,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3
California,Plumas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,Riverside,6,6,7,8,8,8,8,9,13,13,14,14,15,19,25
California,Sacramento,4,4,5,5,6,6,6,7,7,7,9,10,10,16,18
California,San Benito,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2
California,San Bernardino,0,0,1,2,3,3,3,3,4,6,6,8,13,13,13
California,San Diego,1,1,2,3,3,6,7,7,7,9,15,16,17,18,19
California,San Francisco,0,0,1,2,3,4,4,6,6,7,7,7,8,8,9
California,San Joaquin,2,2,3,3,3,4,4,6,6,8,9,9,11,11,11
California,San Luis Obispo,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
California,San Mateo,1,1,5,5,6,6,6,6,10,10,10,13,13,13,13
California,Santa Barbara,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
California,Santa Clara,10,16,17,19,20,25,25,28,30,32,36,36,39,39,39
California,Santa Cruz,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
California,Shasta,0,0,1,1,1,1,1,1,1,1,1,1,2,2,3
California,Sierra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,Siskiyou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,Solano,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
California,Sonoma,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2
California,Stanislaus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,Sutter,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2
California,Tehama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,Trinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,Tulare,0,0,0,0,0,0,1,1,1,1,2,2,3,5,6
California,Tuolumne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,Ventura,1,1,1,1,1,3,3,4,4,5,5,6,6,6,6
California,Yolo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
California,Yuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,Out of CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,Unassigned,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0
