Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06
Florida,Alachua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florida,Baker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florida,Bay,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Florida,Bradford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florida,Brevard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florida,Broward,3,3,3,3,5,10,11,11,12,12,17,22,31,40,46
Florida,Calhoun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florida,Charlotte,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Florida,Citrus,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2
Florida,Clay,2,2,2,4,4,4,4,4,5,5,6,6,6,6,6
Florida,Collier,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2
Florida,Columbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florida,DeSoto,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2
Florida,Dixie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florida,Duval,1,1,3,3,3,3,3,3,4,4,9,9,9,9,9
Florida,Escambia,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Florida,Flagler,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Florida,Franklin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florida,Gadsden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florida,Gilchrist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florida,Glades,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Florida,Gulf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florida,Hamilton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florida,Hardee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florida,Hendry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florida,Hernando,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florida,Highlands,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2
Florida,Hillsborough,0,0,0,1,1,2,2,2,3,3,5,5,5,5,5
Florida,Holmes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florida,Indian River,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florida,Jackson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florida,Jefferson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florida,Lafayette,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florida,Lake,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2
Florida,Lee,2,2,3,3,4,5,6,6,8,8,10,11,11,11,12
Florida,Leon,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Florida,Levy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florida,Liberty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florida,Madison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florida,Manatee,1,1,1,1,1,1,1,1,2,2,3,3,3,3,3
Florida,Marion,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Florida,Martin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florida,Miami-Dade,0,0,0,0,1,2,3,3,7,7,20,25,31,31,37
Florida,Monroe,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2
Florida,Nassau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florida,Okaloosa,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Florida,Okeechobee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florida,Orange,2,2,2,4,4,4,4,4,4,4,5,6,8,8,8
Florida,Osceola,0,0,0,0,0,0,0,0,1,1,4,4,4,4,4
Florida,Palm Beach,3,3,3,3,3,5,5,7,14,14,27,29,35,49,49
Florida,Pasco,1,1,0,1,1,1,2,2,2,2,2,2,2,2,2
Florida,Pinellas,0,0,1,1,1,1,4,5,5,5,6,7,7,8,8
Florida,Polk,0,0,0,0,0,0,0,0,1,1,2,2,4,4,4
Florida,Putnam,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Florida,St. Johns,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2
Florida,St. Lucie,0,0,0,0,1,1,1,2,2,2,3,3,3,3,4
Florida,Santa Rosa,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
Florida,Sarasota,0,0,2,1,2,2,2,2,3,3,7,7,7,7,7
Florida,Seminole,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Florida,Sumter,0,0,0,0,0,0,0,0,0,0,2,2,3,3,3
Florida,Suwannee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florida,Taylor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florida,Union,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florida,Volusia,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2
Florida,Wakulla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florida,Walton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florida,Washington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florida,Out of FL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florida,Unassigned,1,1,0,0,0,8,2,4,0,2,20,7,1,0,1
