Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
Idaho,Ada,13,19,24,39,54,76,92,113,195,195,312,307
Idaho,Adams,0,0,0,0,0,0,0,0,0,0,1,1
Idaho,Bannock,2,2,2,3,2,3,3,3,4,4,4,4
Idaho,Bear Lake,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,Benewah,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,Bingham,2,2,2,2,1,1,1,1,2,2,2,2
Idaho,Blaine,35,36,40,66,93,99,114,130,192,228,256,351
Idaho,Boise,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,Bonner,0,0,0,0,0,0,1,1,1,1,1,1
Idaho,Bonneville,0,0,0,0,0,1,1,2,2,2,2,3
Idaho,Boundary,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,Butte,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,Camas,0,0,0,0,0,0,0,0,1,1,1,1
Idaho,Canyon,3,5,5,13,23,23,22,40,48,53,68,79
Idaho,Caribou,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,Cassia,1,1,1,1,1,1,1,1,1,1,1,3
Idaho,Clark,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,Clearwater,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,Custer,0,0,0,1,1,1,1,1,1,2,2,2
Idaho,Elmore,0,0,0,0,0,0,0,0,1,3,3,9
Idaho,Franklin,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,Fremont,0,0,0,1,1,1,1,1,1,1,1,1
Idaho,Gem,0,0,0,0,0,1,1,3,4,5,4,6
Idaho,Gooding,0,0,0,0,0,0,0,0,0,0,1,1
Idaho,Idaho,0,0,0,1,1,1,1,1,1,2,2,1
Idaho,Jefferson,0,2,2,2,2,2,2,2,2,3,3,3
Idaho,Jerome,0,0,0,0,0,0,0,0,2,2,7,8
Idaho,Kootenai,6,8,8,9,10,11,26,26,29,30,31,37
Idaho,Latah,0,0,0,0,0,0,0,0,0,1,1,1
Idaho,Lemhi,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,Lewis,0,0,0,0,0,0,0,0,0,0,0,1
Idaho,Lincoln,0,0,0,0,0,1,1,1,2,3,5,5
Idaho,Madison,2,2,2,2,2,2,2,2,5,4,4,4
Idaho,Minidoka,0,0,0,0,0,0,0,0,1,1,1,1
Idaho,Nez Perce,0,0,1,1,4,4,4,4,9,9,14,13
Idaho,Oneida,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,Owyhee,0,0,0,0,0,0,1,1,1,1,1,2
Idaho,Payette,0,0,0,1,4,1,1,1,1,1,3,5
Idaho,Power,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,Shoshone,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,Teton,2,2,2,2,2,2,2,2,2,2,3,3
Idaho,Twin Falls,1,1,1,1,3,2,2,3,5,7,31,32
Idaho,Valley,1,1,1,1,1,1,1,1,2,2,2,3
Idaho,Washington,0,0,0,0,0,0,0,0,0,0,0,1
Idaho,Out of ID,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,Unassigned,0,0,0,0,0,0,0,0,0,0,9,0
