Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06
Illinois,Adams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,Alexander,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,Bond,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,Boone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,Brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,Bureau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,Calhoun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,Carroll,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Illinois,Cass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,Champaign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,Christian,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2
Illinois,Clark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,Clay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,Clinton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,Coles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,Cook,9,9,14,18,20,28,40,44,61,95,107,141,167,186,209
Illinois,Crawford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,Cumberland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,DeKalb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Illinois,De Witt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,Douglas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,DuPage,0,0,0,1,6,6,7,8,10,12,14,16,18,22,22
Illinois,Edgar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,Edwards,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,Effingham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,Fayette,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,Ford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,Franklin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,Fulton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,Gallatin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,Greene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,Grundy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,Hamilton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,Hancock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,Hardin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,Henderson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,Henry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,Iroquois,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,Jackson,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Illinois,Jasper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,Jefferson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,Jersey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,Jo Daviess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,Johnson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,Kane,0,0,1,1,2,4,6,6,7,8,8,9,12,15,15
Illinois,Kankakee,0,0,0,0,0,0,0,0,0,0,0,2,3,4,4
Illinois,Kendall,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2
Illinois,Knox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,Lake,0,0,0,0,0,1,1,1,2,3,8,13,13,13,15
Illinois,LaSalle,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Illinois,Lawrence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,Lee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,Livingston,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,Logan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,McDonough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,McHenry,0,0,0,1,1,2,2,2,2,2,3,3,3,3,3
Illinois,McLean,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
Illinois,Macon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,Macoupin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,Madison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,Marion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,Marshall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,Mason,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,Massac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,Menard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,Mercer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,Monroe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,Montgomery,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
