Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
Indiana,Adams,1,1,1,1,1,1,1,1,1,1,1,1
Indiana,Allen,4,7,7,8,21,23,26,28,30,39,46,58
Indiana,Bartholomew,5,5,5,6,6,7,10,10,13,13,15,23
Indiana,Benton,0,0,0,0,0,0,0,0,0,1,0,0
Indiana,Blackford,0,0,0,0,0,0,0,0,0,0,1,1
Indiana,Boone,3,3,4,7,7,8,13,20,22,29,32,38
Indiana,Brown,0,1,1,1,2,2,3,3,3,3,3,3
Indiana,Carroll,0,0,0,0,0,1,1,2,2,2,2,2
Indiana,Cass,0,0,0,0,0,0,0,1,1,1,2,2
Indiana,Clark,4,5,6,10,12,18,20,27,33,38,49,55
Indiana,Clay,0,0,0,0,0,0,1,1,1,1,1,2
Indiana,Clinton,0,0,0,0,1,1,1,1,1,1,1,3
Indiana,Crawford,0,0,0,0,0,1,1,1,1,1,1,3
Indiana,Daviess,0,0,0,0,0,0,0,0,0,0,0,0
Indiana,Dearborn,0,2,2,3,4,8,10,10,14,17,22,25
Indiana,Decatur,0,6,7,13,26,30,40,42,47,48,59,70
Indiana,DeKalb,0,0,1,1,1,1,1,1,1,2,2,3
Indiana,Delaware,2,4,7,7,8,8,14,15,18,22,25,30
Indiana,Dubois,1,1,1,1,1,1,2,2,3,3,3,3
Indiana,Elkhart,4,4,5,7,9,11,12,12,20,23,27,29
Indiana,Fayette,1,2,3,3,3,4,5,8,9,10,11,13
Indiana,Floyd,3,6,6,7,11,13,14,20,21,21,34,37
Indiana,Fountain,0,0,0,1,1,1,1,1,1,1,2,2
Indiana,Franklin,4,7,7,13,21,23,26,28,35,39,45,48
Indiana,Fulton,0,0,0,0,1,1,1,1,1,1,1,1
Indiana,Gibson,0,2,2,3,3,4,4,4,4,4,4,4
Indiana,Grant,2,3,3,3,5,5,7,7,7,9,11,12
Indiana,Greene,1,1,0,0,0,0,1,1,2,3,8,9
Indiana,Hamilton,18,25,30,40,52,64,83,106,127,179,207,220
