Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
Kansas,Allen,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Anderson,0,0,0,0,0,0,0,0,0,0,1,0
Kansas,Atchison,0,0,0,0,0,0,0,1,1,1,1,1
Kansas,Barber,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Barton,0,0,0,0,0,0,0,0,1,1,2,3
Kansas,Bourbon,1,1,1,1,3,3,3,3,3,3,3,3
Kansas,Brown,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Butler,3,3,3,3,3,3,3,3,3,5,7,7
Kansas,Chase,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Chautauqua,0,0,0,0,0,0,0,0,1,1,1,2
Kansas,Cherokee,2,2,2,2,2,2,2,2,3,3,4,5
Kansas,Cheyenne,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Clark,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Clay,0,0,0,0,1,1,1,1,1,1,1,1
Kansas,Cloud,0,0,0,0,0,0,0,0,0,0,1,1
Kansas,Coffey,0,0,0,0,1,5,8,10,14,16,16,18
Kansas,Comanche,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Cowley,0,0,0,0,0,0,0,0,0,0,1,1
Kansas,Crawford,2,2,2,3,3,3,4,5,5,5,5,4
Kansas,Decatur,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Dickinson,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Doniphan,0,1,1,1,1,1,1,1,1,1,1,1
Kansas,Douglas,8,6,10,13,14,23,23,23,24,31,31,31
Kansas,Edwards,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Elk,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Ellis,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Ellsworth,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Finney,0,0,0,0,0,0,0,1,1,1,3,4
Kansas,Ford,0,0,0,0,0,1,1,1,1,0,0,1
Kansas,Franklin,1,1,1,1,2,6,6,6,7,7,7,9
Kansas,Geary,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Gove,0,0,0,0,1,1,1,1,1,1,1,1
Kansas,Graham,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Grant,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Gray,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Greeley,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Greenwood,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Hamilton,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Harper,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Harvey,0,0,0,0,1,1,1,1,1,2,2,2
Kansas,Haskell,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Hodgeman,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Jackson,1,1,1,1,1,1,1,1,1,1,1,1
Kansas,Jefferson,0,0,0,1,1,1,1,1,1,1,1,2
Kansas,Jewell,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Johnson,32,36,44,59,66,80,108,116,134,143,161,172
Kansas,Kearny,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Kingman,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Kiowa,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Labette,0,0,0,0,0,0,0,0,1,1,1,1
Kansas,Lane,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Leavenworth,5,7,11,12,12,15,17,20,24,25,27,31
Kansas,Lincoln,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Linn,2,2,4,4,4,4,5,5,5,5,6,5
Kansas,Logan,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Lyon,2,2,4,4,4,4,7,9,11,12,16,17
Kansas,McPherson,0,0,0,0,1,1,3,3,3,5,5,6
Kansas,Marion,0,0,0,0,0,0,0,0,0,0,0,1
Kansas,Marshall,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Meade,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Miami,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Mitchell,2,1,2,2,2,2,2,2,2,2,2,2
Kansas,Montgomery,0,0,0,0,0,0,3,4,5,6,6,6
Kansas,Morris,2,2,2,2,2,2,2,2,2,2,2,2
Kansas,Morton,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Nemaha,0,0,0,0,0,0,0,0,0,0,0,0
