Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06
Kansas,Allen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Anderson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Atchison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Barber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Barton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Bourbon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Butler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Chase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Chautauqua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Cherokee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Cheyenne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Clark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Clay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Cloud,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Coffey,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Kansas,Comanche,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Cowley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Crawford,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Kansas,Decatur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Dickinson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Doniphan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Douglas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Edwards,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Elk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Ellis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Ellsworth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Finney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Ford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Franklin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Geary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Gove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Graham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Grant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Gray,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Greeley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Greenwood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Hamilton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Harper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Harvey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Haskell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Hodgeman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Jackson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Jefferson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Jewell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Johnson,1,1,1,1,1,1,2,2,2,3,3,7,7,7,9
Kansas,Kearny,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Kingman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Kiowa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Labette,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Lane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Leavenworth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Lincoln,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Linn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Logan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Lyon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,McPherson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Marion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Marshall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Meade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Miami,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Mitchell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Montgomery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Morris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Morton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Nemaha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Neosho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Ness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Norton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Osage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Osborne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Ottawa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Pawnee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Phillips,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Pottawatomie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Pratt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Rawlins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Reno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Rice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Riley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Rooks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Rush,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Russell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Saline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Scott,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Sedgwick,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
Kansas,Seward,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Shawnee,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2
Kansas,Sheridan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Sherman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Smith,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Stafford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Stanton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Stevens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Sumner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Thomas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Trego,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,Wabaunsee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
