Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06
Kentucky,Adair,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kentucky,Allen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kentucky,Anderson,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Kentucky,Ballard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kentucky,Barren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kentucky,Bath,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kentucky,Bell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kentucky,Boone,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Kentucky,Bourbon,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Kentucky,Boyd,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Kentucky,Boyle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kentucky,Bracken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kentucky,Breathitt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kentucky,Breckinridge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kentucky,Bullitt,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2
Kentucky,Butler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kentucky,Caldwell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kentucky,Calloway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kentucky,Campbell,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Kentucky,Carlisle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kentucky,Carroll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kentucky,Carter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kentucky,Casey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kentucky,Christian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kentucky,Clark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kentucky,Clay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kentucky,Clinton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kentucky,Crittenden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kentucky,Cumberland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kentucky,Daviess,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Kentucky,Edmonson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
