Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06
Louisiana,Acadia,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2
Louisiana,Allen,0,0,0,0,0,0,0,0,0,0,3,3,3,5,5
Louisiana,Ascension,1,1,1,1,1,1,2,5,6,5,7,7,7,11,11
Louisiana,Assumption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Louisiana,Avoyelles,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1
Louisiana,Beauregard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Louisiana,Bienville,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Louisiana,Bossier,0,0,0,0,0,0,0,0,1,1,2,2,2,3,3
Louisiana,Caddo,0,0,0,1,2,2,5,5,7,7,10,10,10,19,21
Louisiana,Calcasieu,0,1,1,1,1,1,1,1,1,1,1,1,3,3,3
Louisiana,Caldwell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Louisiana,Cameron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Louisiana,Catahoula,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Louisiana,Claiborne,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2
Louisiana,Concordia,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Louisiana,De Soto,0,0,0,1,1,1,1,1,1,1,1,2,3,3,4
Louisiana,East Baton Rouge,2,2,3,4,4,4,7,9,9,10,11,13,14,22,25
Louisiana,East Carroll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Louisiana,East Feliciana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Louisiana,Evangeline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Louisiana,Franklin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Louisiana,Grant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Louisiana,Iberia,0,0,0,0,0,0,0,0,0,1,1,3,3,3,5
