Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
Maryland,Allegany,0,0,0,0,0,0,0,0,0,0,1,2
Maryland,Anne Arundel,20,24,31,41,63,88,99,110,127,158,206,249
Maryland,Baltimore,35,42,51,81,103,141,162,186,227,289,353,427
Maryland,Calvert,1,3,3,7,9,8,10,12,15,18,22,30
Maryland,Caroline,1,1,1,1,1,1,3,4,4,4,4,4
Maryland,Carroll,5,5,5,7,9,10,82,82,92,96,105,129
Maryland,Cecil,1,3,4,4,9,13,13,13,14,16,20,25
Maryland,Charles,5,5,8,10,17,21,28,33,40,56,69,90
Maryland,Dorchester,0,0,0,0,0,0,0,0,0,1,1,1
Maryland,Frederick,4,4,7,14,15,22,24,26,33,35,45,54
Maryland,Garrett,3,3,3,3,3,3,3,3,3,3,3,3
Maryland,Harford,5,5,5,9,18,21,23,24,25,34,37,41
Maryland,Howard,26,30,35,49,62,73,81,96,117,142,152,166
Maryland,Kent,0,0,1,1,2,2,3,3,3,3,5,5
Maryland,Montgomery,94,107,127,164,208,255,301,341,388,447,498,566
Maryland,Prince George's,47,63,76,101,148,196,247,294,341,403,473,563
Maryland,Queen Anne's,1,1,1,2,2,4,4,4,4,7,8,12
Maryland,St. Mary's,1,2,2,4,4,8,9,9,15,19,27,30
Maryland,Somerset,1,1,1,1,1,1,1,1,1,4,4,4
Maryland,Talbot,1,1,1,1,1,2,3,4,3,4,4,5
Maryland,Washington,2,2,4,4,5,6,6,7,11,15,17,27
Maryland,Wicomico,4,4,4,5,5,6,6,6,7,7,7,7
Maryland,Worcester,2,2,2,2,2,2,2,3,3,4,5,5
Maryland,Baltimore City,31,41,53,72,88,112,129,152,187,221,265,313
Maryland,Out of MD,0,0,0,0,0,0,0,0,0,0,0,0
Maryland,Unassigned,0,0,0,0,0,0,0,0,0,0,0,0
