Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
Massachusetts,Barnstable,30,40,51,67,100,133,148,173,191,255,283,314
Massachusetts,Berkshire,26,37,71,73,105,119,151,162,171,183,213,240
Massachusetts,Bristol,25,31,67,90,129,179,208,263,306,366,424,517
Massachusetts,Dukes,0,0,0,0,0,0,0,0,0,0,0,0
Massachusetts,Essex,73,118,177,247,350,472,570,653,784,885,1039,1238
Massachusetts,Franklin,6,10,14,16,24,39,41,49,61,72,85,89
Massachusetts,Hampden,15,24,45,55,90,183,201,255,354,475,546,661
Massachusetts,Hampshire,6,8,11,17,20,30,37,46,69,81,102,114
Massachusetts,Middlesex,232,304,446,538,685,842,981,1141,1340,1582,1870,2202
Massachusetts,Nantucket,0,0,0,0,0,0,0,0,0,0,0,0
Massachusetts,Norfolk,82,129,222,292,393,490,548,628,738,829,938,1045
Massachusetts,Plymouth,32,64,101,138,187,272,325,380,459,561,621,745
Massachusetts,Suffolk,154,234,342,448,631,843,940,1115,1373,1624,1896,2183
Massachusetts,Worcester,42,73,129,166,219,291,337,390,433,563,667,825
Massachusetts,Dukes and Nantucket,1,2,3,3,4,8,8,8,8,11,12,16
Massachusetts,Out of MA,0,0,0,0,0,0,0,0,0,0,0,0
Massachusetts,Unassigned,53,85,159,267,303,356,460,489,333,251,270,213
