Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
Michigan,Alcona,0,0,0,0,0,0,0,0,0,0,0,0
Michigan,Alger,0,0,0,0,0,0,0,0,0,0,0,0
Michigan,Allegan,1,1,1,1,1,2,2,2,3,5,5,6
Michigan,Alpena,0,0,0,0,0,0,0,0,0,0,0,0
Michigan,Antrim,0,0,0,0,0,0,0,2,3,4,4,4
Michigan,Arenac,0,0,0,0,0,0,0,0,1,1,1,2
Michigan,Baraga,0,0,0,0,0,0,0,0,0,0,0,0
Michigan,Barry,1,1,1,1,1,1,1,1,2,2,4,5
Michigan,Bay,2,2,3,4,4,4,5,9,9,10,16,18
Michigan,Benzie,0,0,0,0,0,0,0,0,0,0,0,0
Michigan,Berrien,5,8,10,11,18,22,29,32,35,38,40,52
Michigan,Branch,0,0,0,0,0,0,0,0,2,2,5,6
Michigan,Calhoun,3,4,6,7,9,11,15,17,17,23,25,31
Michigan,Cass,0,0,0,1,1,2,4,4,4,6,6,6
Michigan,Charlevoix,2,3,4,4,4,4,4,4,4,4,5,5
Michigan,Cheboygan,0,0,0,0,0,0,1,1,1,2,3,6
Michigan,Chippewa,1,1,1,1,1,0,0,0,1,1,1,1
Michigan,Clare,1,1,1,1,1,1,1,1,1,1,1,2
Michigan,Clinton,2,5,6,7,8,13,14,19,24,33,43,49
Michigan,Crawford,0,0,0,0,1,1,1,1,1,1,1,1
Michigan,Delta,0,0,0,0,0,0,0,1,1,3,4,5
Michigan,Dickinson,0,0,0,0,0,0,0,0,0,0,1,1
Michigan,Eaton,2,3,3,4,8,8,8,15,21,27,37,47
Michigan,Emmet,1,2,2,2,3,4,4,4,5,7,6,6
Michigan,Genesee,23,34,46,63,91,110,127,150,185,249,349,422
Michigan,Gladwin,1,2,2,2,2,2,3,2,2,2,2,2
Michigan,Gogebic,0,0,0,0,1,1,1,1,2,2,3,3
Michigan,Grand Traverse,1,3,3,3,3,5,6,7,7,8,9,11
Michigan,Gratiot,0,0,0,0,1,2,3,3,3,3,5,5
Michigan,Hillsdale,0,1,2,5,6,7,10,12,14,19,24,26
Michigan,Houghton,0,0,0,0,0,0,0,1,1,1,1,1
Michigan,Huron,0,0,0,0,1,1,3,3,3,3,4,4
Michigan,Ingham,12,15,18,22,26,32,43,73,91,121,128,152
Michigan,Ionia,0,0,0,2,2,2,2,4,4,6,5,6
Michigan,Iosco,0,0,1,1,1,1,1,1,1,1,1,1
Michigan,Iron,0,0,0,0,0,0,0,0,0,0,0,0
Michigan,Isabella,0,2,2,3,4,4,4,5,6,7,8,9
Michigan,Jackson,1,6,12,17,16,20,24,37,47,56,67,69
Michigan,Kalamazoo,3,3,5,10,11,15,19,24,24,30,34,40
Michigan,Kalkaska,0,1,2,2,4,4,4,5,7,7,7,8
Michigan,Kent,28,31,36,41,45,53,72,96,108,119,125,136
Michigan,Keweenaw,0,0,0,0,0,0,0,0,0,0,0,0
Michigan,Lake,0,0,0,0,0,0,0,0,0,0,0,0
Michigan,Lapeer,0,1,1,3,4,4,4,6,8,8,21,22
Michigan,Leelanau,1,1,1,1,1,1,1,1,1,1,1,1
Michigan,Lenawee,0,0,3,5,8,11,15,15,18,22,24,24
Michigan,Livingston,9,13,16,21,31,41,59,64,80,102,113,121
Michigan,Luce,0,0,1,0,0,0,0,0,0,0,0,1
Michigan,Mackinac,0,0,0,0,0,0,0,0,0,1,1,2
Michigan,Macomb,175,225,281,347,404,534,620,728,853,1088,1332,1560
Michigan,Manistee,0,1,1,1,1,1,1,1,1,1,1,1
Michigan,Marquette,0,1,1,1,1,1,2,3,4,4,5,7
Michigan,Mason,0,0,0,0,0,0,0,0,0,0,0,0
Michigan,Mecosta,0,0,0,1,1,1,1,2,3,3,3,4
Michigan,Menominee,0,0,0,0,0,0,0,0,0,0,0,0
Michigan,Midland,5,5,6,6,8,8,8,9,10,12,15,16
Michigan,Missaukee,0,0,0,1,1,1,1,1,1,1,1,1
Michigan,Monroe,7,12,18,21,28,34,38,45,49,58,79,95
Michigan,Montcalm,1,1,2,3,3,3,3,4,5,10,10,12
Michigan,Montmorency,0,0,0,0,0,0,0,0,0,0,0,0
Michigan,Muskegon,1,3,3,3,6,7,13,18,18,18,26,30
Michigan,Newaygo,1,2,2,2,1,1,1,1,1,1,2,2
Michigan,Oakland,329,428,543,668,824,1018,1170,1365,1591,1910,2183,2540
Michigan,Oceana,0,0,0,1,1,1,2,2,2,2,2,3
Michigan,Ogemaw,0,0,0,1,1,1,1,4,1,1,2,2
Michigan,Ontonagon,0,0,0,0,0,0,0,0,0,0,0,0
Michigan,Osceola,0,0,0,0,0,1,2,2,2,2,3,3
Michigan,Oscoda,0,0,0,0,0,0,0,0,2,2,2,2
Michigan,Otsego,3,5,6,7,7,14,17,17,19,19,19,20
Michigan,Ottawa,11,15,16,18,21,23,25,28,31,31,35,37
Michigan,Presque Isle,0,0,0,0,0,0,0,0,0,0,0,1
Michigan,Roscommon,1,1,1,1,1,1,1,1,1,1,1,2
Michigan,Saginaw,2,8,9,10,14,19,24,36,51,71,82,90
Michigan,St. Clair,7,8,10,13,15,16,20,25,32,41,53,66
Michigan,St. Joseph,0,0,0,0,0,0,0,3,4,5,8,10
Michigan,Sanilac,0,0,2,1,2,2,2,5,7,7,8,10
Michigan,Schoolcraft,0,0,0,0,0,0,0,0,1,0,0,0
Michigan,Shiawassee,0,0,0,1,2,2,5,8,8,11,17,18
Michigan,Tuscola,1,1,2,2,2,4,4,5,9,11,14,15
Michigan,Van Buren,0,0,2,2,3,4,4,4,7,10,12,12
Michigan,Washtenaw,42,50,72,92,150,185,233,266,305,401,438,477
Michigan,Wayne,638,876,1122,1389,1810,2316,2704,3195,3735,4470,5069,6096
Michigan,Wexford,1,1,1,1,1,1,1,2,2,2,3,4
Michigan,Out of MI,4,6,7,7,8,15,18,17,20,42,48,74
Michigan,Unassigned,0,0,0,0,0,47,77,78,93,142,178,215
