Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
Mississippi,Adams,2,2,2,3,6,6,7,7,10,11,14,14
Mississippi,Alcorn,0,0,0,0,0,1,1,0,3,3,3,6
Mississippi,Amite,0,0,1,1,0,0,4,4,4,4,4,5
Mississippi,Attala,1,3,4,7,8,9,9,9,10,11,12,14
Mississippi,Benton,0,0,0,1,2,2,4,4,4,4,5,5
Mississippi,Bolivar,4,4,4,6,9,11,11,11,22,25,27,32
Mississippi,Calhoun,0,0,1,3,3,3,3,3,3,3,4,4
Mississippi,Carroll,0,0,0,0,0,0,1,1,1,2,3,5
Mississippi,Chickasaw,3,6,6,7,9,10,10,10,13,15,14,15
Mississippi,Choctaw,0,1,3,4,4,4,5,5,6,7,7,7
Mississippi,Claiborne,0,0,0,0,0,0,1,1,1,1,1,1
Mississippi,Clarke,0,0,0,0,0,1,1,1,4,5,4,4
Mississippi,Clay,1,1,1,1,2,2,2,2,4,5,7,7
Mississippi,Coahoma,8,11,11,17,18,18,18,18,21,22,23,26
Mississippi,Copiah,4,5,6,8,8,8,8,8,9,9,10,11
Mississippi,Covington,0,0,0,0,0,1,1,1,2,3,3,4
Mississippi,DeSoto,23,29,36,49,63,65,71,71,84,94,103,111
Mississippi,Forrest,11,14,15,16,16,18,19,19,21,27,26,30
Mississippi,Franklin,3,3,3,2,2,3,3,3,3,3,3,3
Mississippi,George,1,1,1,1,1,1,3,3,3,4,4,4
Mississippi,Greene,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,Grenada,2,2,2,2,2,2,3,3,3,3,4,4
Mississippi,Hancock,4,5,5,6,9,9,15,15,16,20,22,28
Mississippi,Harrison,21,24,25,31,34,38,43,43,45,49,53,69
Mississippi,Hinds,24,31,38,43,50,58,66,66,90,109,118,139
Mississippi,Holmes,6,6,7,7,10,13,13,13,15,16,16,16
Mississippi,Humphreys,1,1,1,1,1,2,2,2,3,4,4,4
Mississippi,Issaquena,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,Itawamba,3,3,3,3,3,3,3,3,3,4,3,3
Mississippi,Jackson,7,10,12,16,24,33,34,34,40,52,57,75
Mississippi,Jasper,0,0,0,0,0,0,0,0,0,1,2,3
Mississippi,Jefferson,0,0,0,0,1,1,1,1,1,1,1,1
Mississippi,Jefferson Davis,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,Jones,1,1,1,1,1,3,5,5,6,6,6,8
Mississippi,Kemper,0,0,0,0,1,1,1,1,1,1,4,4
Mississippi,Lafayette,5,8,8,10,11,11,13,13,15,15,16,21
Mississippi,Lamar,1,2,2,4,4,4,4,4,5,6,8,9
Mississippi,Lauderdale,0,0,0,3,10,12,15,15,35,39,46,50
Mississippi,Lawrence,2,2,3,5,5,5,5,5,5,5,5,5
Mississippi,Leake,1,2,3,4,4,4,5,5,5,5,6,7
Mississippi,Lee,8,12,14,15,15,17,21,21,24,25,24,26
Mississippi,Leflore,9,10,13,13,13,15,15,15,19,20,20,21
Mississippi,Lincoln,4,4,4,6,6,8,9,9,11,13,14,14
Mississippi,Lowndes,6,6,6,8,9,10,10,10,11,11,10,12
Mississippi,Madison,11,14,17,21,25,29,37,37,42,53,55,65
Mississippi,Marion,1,1,1,1,1,3,4,4,5,6,5,5
Mississippi,Marshall,3,3,4,7,9,11,13,13,14,15,18,19
Mississippi,Monroe,2,3,3,3,3,3,5,5,6,7,11,12
Mississippi,Montgomery,1,2,4,4,4,5,6,6,7,8,8,10
Mississippi,Neshoba,0,0,0,0,1,3,4,4,4,5,4,5
Mississippi,Newton,0,1,1,1,1,1,1,1,2,2,4,4
Mississippi,Noxubee,0,1,1,1,1,2,2,2,3,3,4,5
Mississippi,Oktibbeha,5,5,7,10,12,14,15,15,17,18,20,23
Mississippi,Panola,2,2,2,4,4,4,5,5,7,8,8,8
Mississippi,Pearl River,12,13,13,16,18,23,27,27,30,32,36,41
Mississippi,Perry,1,1,1,1,2,2,2,2,3,5,6,11
Mississippi,Pike,4,7,10,12,12,12,14,14,17,20,21,21
Mississippi,Pontotoc,1,2,2,3,4,4,3,3,5,6,10,11
Mississippi,Prentiss,0,0,1,1,1,2,4,4,4,4,4,9
Mississippi,Quitman,0,0,0,2,3,4,4,4,3,4,4,4
Mississippi,Rankin,8,13,20,23,29,31,35,35,40,48,50,64
Mississippi,Scott,1,2,3,4,6,7,7,7,10,12,13,17
Mississippi,Sharkey,0,0,0,0,1,1,1,1,1,2,2,2
Mississippi,Simpson,1,1,1,1,1,2,2,2,2,3,4,5
Mississippi,Smith,1,1,1,1,1,1,1,1,1,1,6,6
Mississippi,Stone,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,Sunflower,2,3,3,4,5,7,10,10,11,12,12,13
Mississippi,Tallahatchie,1,2,2,2,2,2,2,2,2,2,2,2
Mississippi,Tate,1,1,2,6,8,8,9,9,11,11,12,13
Mississippi,Tippah,9,11,11,14,15,18,23,23,26,28,29,30
Mississippi,Tishomingo,0,0,0,0,0,0,0,0,1,1,1,1
Mississippi,Tunica,2,3,3,5,6,6,6,6,12,13,14,14
Mississippi,Union,1,1,2,2,3,3,3,3,3,3,4,5
Mississippi,Walthall,2,2,3,4,4,5,5,5,5,7,10,11
Mississippi,Warren,0,0,0,0,0,0,1,1,1,2,2,2
Mississippi,Washington,4,5,5,9,11,13,16,16,20,22,29,31
Mississippi,Wayne,0,0,0,0,0,0,0,0,0,0,1,1
Mississippi,Webster,1,2,2,2,3,3,3,3,5,7,8,8
Mississippi,Wilkinson,3,4,5,8,9,11,12,12,14,16,17,22
Mississippi,Winston,2,2,3,3,3,4,4,4,7,9,9,11
Mississippi,Yalobusha,0,0,0,3,3,3,3,3,6,6,7,7
Mississippi,Yazoo,1,3,3,3,4,4,5,5,9,9,11,13
Mississippi,Out of MS,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,Unassigned,0,0,0,0,0,0,0,89,0,0,0,0
