Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06
Mississippi,Adams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,Alcorn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,Amite,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Mississippi,Attala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,Benton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,Bolivar,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2
Mississippi,Calhoun,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Mississippi,Carroll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,Chickasaw,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2
Mississippi,Choctaw,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Mississippi,Claiborne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,Clarke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,Clay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,Coahoma,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Mississippi,Copiah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,Covington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,DeSoto,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Mississippi,Forrest,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
Mississippi,Franklin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,George,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,Greene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,Hancock,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mississippi,Harrison,0,0,0,0,1,1,1,1,1,1,1,1,3,3,3
Mississippi,Hinds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,Holmes,0,0,1,1,1,1,1,1,1,2,2,1,1,1,2
Mississippi,Humphreys,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Mississippi,Issaquena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,Itawamba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,Jackson,0,0,0,0,0,0,0,0,0,0,1,1,1,3,5
Mississippi,Jasper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,Jefferson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,Jefferson Davis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,Jones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,Kemper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,Lafayette,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Mississippi,Lamar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,Lauderdale,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2
Mississippi,Lawrence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,Leake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,Lee,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2
Mississippi,Leflore,0,0,0,0,0,0,0,0,1,1,1,1,1,3,4
Mississippi,Lincoln,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,Lowndes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,Madison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Mississippi,Marion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,Marshall,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Mississippi,Monroe,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Mississippi,Montgomery,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Mississippi,Neshoba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,Newton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,Noxubee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,Oktibbeha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,Panola,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Mississippi,Pearl River,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
Mississippi,Perry,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Mississippi,Pike,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,Pontotoc,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Mississippi,Prentiss,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,Quitman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,Rankin,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Mississippi,Scott,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,Sharkey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,Simpson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,Smith,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,Stone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,Sunflower,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Mississippi,Tallahatchie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,Tate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,Tippah,0,0,0,0,1,2,2,2,2,2,2,3,3,3,3
Mississippi,Tishomingo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,Tunica,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Mississippi,Union,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,Walthall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,Warren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,Washington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,Wayne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,Webster,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Mississippi,Wilkinson,0,0,0,1,1,1,2,2,2,2,2,2,3,3,3
Mississippi,Winston,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,Yalobusha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,Yazoo,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Mississippi,Out of MS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,Unassigned,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
