Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
Missouri,Adair,2,1,1,1,1,1,1,1,2,3,6,6
Missouri,Andrew,0,0,0,0,0,0,0,0,0,0,0,0
Missouri,Atchison,0,0,0,1,1,1,1,1,1,1,1,1
Missouri,Audrain,0,0,0,0,0,0,0,0,0,0,0,0
Missouri,Barry,0,0,0,0,0,1,1,1,1,1,1,1
Missouri,Barton,0,0,0,0,0,0,0,0,0,0,0,0
Missouri,Bates,1,1,1,1,1,1,2,1,1,2,2,2
Missouri,Benton,0,0,0,1,1,1,1,1,2,3,3,3
Missouri,Bollinger,0,0,0,1,1,1,1,1,1,1,1,1
Missouri,Boone,17,20,22,37,37,49,54,59,64,66,69,69
Missouri,Buchanan,0,0,0,0,2,3,3,3,5,5,5,8
Missouri,Butler,0,0,0,0,0,0,0,0,0,1,1,1
Missouri,Caldwell,0,0,0,0,0,0,0,0,0,1,1,1
Missouri,Callaway,1,2,2,2,3,6,8,13,14,17,18,18
Missouri,Camden,1,1,1,1,1,4,7,11,12,17,19,19
Missouri,Cape Girardeau,0,0,3,3,5,5,5,13,15,15,15,15
Missouri,Carroll,0,0,0,0,0,0,0,0,0,0,0,0
Missouri,Carter,0,0,0,1,1,2,2,2,4,4,4,4
Missouri,Cass,6,6,8,8,8,8,8,9,14,17,21,21
Missouri,Cedar,0,0,0,0,0,0,0,5,5,5,5,5
Missouri,Chariton,0,0,0,0,1,1,1,3,4,4,4,4
Missouri,Christian,2,2,1,2,3,7,7,12,12,12,12,12
Missouri,Clark,0,0,0,0,0,0,0,0,0,0,0,0
Missouri,Clay,3,3,2,5,9,10,11,13,16,21,23,23
Missouri,Clinton,1,1,1,1,1,1,1,4,4,5,6,6
Missouri,Cole,5,5,6,8,10,17,17,25,25,25,25,25
Missouri,Cooper,0,0,1,1,1,1,1,1,2,2,2,2
Missouri,Crawford,0,0,0,0,0,0,0,1,1,1,1,1
Missouri,Dade,0,0,0,0,0,0,0,0,0,0,0,0
Missouri,Dallas,0,0,0,0,0,0,0,0,0,0,0,0
Missouri,Daviess,0,0,0,0,0,0,0,0,0,0,0,0
Missouri,DeKalb,0,0,0,0,0,0,0,0,0,1,1,1
Missouri,Dent,0,0,0,0,0,0,0,0,0,0,0,0
Missouri,Douglas,0,0,0,0,0,0,0,0,0,0,0,0
Missouri,Dunklin,1,1,1,2,3,3,3,6,6,6,6,6
Missouri,Franklin,0,0,3,4,4,6,7,7,13,16,19,19
Missouri,Gasconade,0,0,0,0,0,0,0,0,0,1,1,1
Missouri,Gentry,0,0,0,0,0,0,0,0,0,0,0,0
Missouri,Greene,17,19,23,25,31,41,46,48,48,51,54,54
Missouri,Grundy,0,0,0,0,0,0,0,0,0,0,0,0
Missouri,Harrison,0,0,0,0,0,0,0,0,1,1,2,2
Missouri,Henry,1,1,1,1,1,1,1,1,1,1,1,1
Missouri,Hickory,0,0,0,0,0,0,0,0,0,0,0,0
Missouri,Holt,0,0,0,0,0,0,0,0,0,0,0,0
Missouri,Howard,0,0,0,0,0,0,0,0,0,0,0,0
Missouri,Howell,0,0,0,0,0,0,0,0,0,0,1,1
Missouri,Iron,0,0,0,0,0,0,0,0,0,0,0,0
Missouri,Jackson,10,14,17,31,41,43,48,56,77,86,103,103
Missouri,Jasper,1,1,2,2,2,4,6,6,7,7,7,9
Missouri,Jefferson,0,4,5,10,15,17,17,18,30,38,47,47
Missouri,Johnson,1,1,2,8,8,9,10,10,19,19,26,26
Missouri,Knox,0,0,0,0,0,0,0,0,0,0,0,0
Missouri,Laclede,0,0,0,0,0,0,0,0,0,0,0,0
Missouri,Lafayette,1,1,2,2,4,4,4,17,19,20,20,20
Missouri,Lawrence,0,0,0,0,0,0,0,0,0,0,0,0
Missouri,Lewis,0,0,0,0,0,0,0,0,0,0,0,0
Missouri,Lincoln,0,0,0,1,2,2,2,5,7,10,12,12
Missouri,Linn,0,0,0,0,0,0,0,0,0,0,0,0
Missouri,Livingston,0,0,0,0,0,0,0,1,1,1,1,1
Missouri,McDonald,0,0,1,1,1,1,1,2,2,2,2,2
Missouri,Macon,0,0,0,0,0,0,0,1,3,3,3,3
Missouri,Madison,0,0,0,0,0,0,0,0,0,0,0,0
Missouri,Maries,0,0,0,0,0,0,1,1,1,2,2,2
Missouri,Marion,0,0,0,0,0,0,0,0,0,0,0,0
Missouri,Mercer,0,0,0,0,0,0,0,0,0,0,0,0
Missouri,Miller,0,0,0,0,0,0,0,0,0,0,0,0
Missouri,Mississippi,0,0,0,0,0,0,0,0,0,0,0,0
Missouri,Moniteau,1,1,2,2,2,3,4,2,2,2,2,2
Missouri,Monroe,0,0,0,0,0,0,0,0,0,0,0,0
Missouri,Montgomery,0,0,1,2,3,3,3,2,2,2,2,2
Missouri,Morgan,0,0,0,0,0,0,0,1,1,1,1,1
Missouri,New Madrid,0,0,0,0,0,0,0,0,0,0,1,1
Missouri,Newton,0,0,1,3,3,4,4,4,5,5,6,6
Missouri,Nodaway,0,0,0,0,0,0,0,0,0,0,0,1
Missouri,Oregon,0,0,0,0,0,0,0,0,0,0,0,0
Missouri,Osage,0,0,0,0,0,0,0,1,1,2,2,2
Missouri,Ozark,0,0,0,0,0,0,0,0,0,0,0,0
Missouri,Pemiscot,0,1,1,1,1,1,1,2,2,2,3,3
Missouri,Perry,1,2,2,4,6,7,7,12,14,18,19,19
Missouri,Pettis,0,0,0,0,1,1,1,1,1,1,1,1
Missouri,Phelps,0,0,0,0,0,0,0,0,0,0,0,0
Missouri,Pike,0,0,0,0,0,0,0,1,1,1,1,2
Missouri,Platte,1,2,2,5,5,6,6,7,9,12,13,13
Missouri,Polk,0,0,0,0,0,0,0,0,0,0,0,0
Missouri,Pulaski,1,4,4,4,4,5,5,7,7,8,8,8
Missouri,Putnam,0,0,0,0,0,0,0,0,0,0,0,0
Missouri,Ralls,0,0,1,1,1,1,1,1,1,1,1,1
Missouri,Randolph,0,1,1,1,1,1,1,1,2,2,2,2
Missouri,Ray,0,0,0,0,1,1,1,1,1,1,1,1
Missouri,Reynolds,0,0,0,0,0,0,0,2,2,2,2,2
Missouri,Ripley,0,0,0,0,0,0,2,2,2,2,2,2
Missouri,St. Charles,4,8,12,24,32,37,43,56,71,93,105,105
Missouri,St. Clair,0,0,0,0,0,0,0,0,0,0,0,0
Missouri,Ste. Genevieve,0,0,0,0,0,0,0,0,2,3,3,3
Missouri,St. Francois,1,2,2,2,4,4,4,3,5,6,9,9
Missouri,St. Louis,69,100,129,173,247,313,336,366,492,605,712,712
Missouri,Saline,0,0,0,0,0,0,0,0,0,0,0,0
Missouri,Schuyler,0,0,0,0,0,0,0,0,0,0,0,0
Missouri,Scotland,0,0,0,0,0,0,0,0,0,0,0,0
Missouri,Scott,1,1,1,1,1,3,3,5,6,6,6,6
Missouri,Shannon,0,0,0,0,0,0,0,0,0,0,0,0
Missouri,Shelby,0,0,1,1,1,1,1,1,1,1,1,1
Missouri,Stoddard,0,0,0,1,1,1,2,2,3,3,3,3
Missouri,Stone,0,0,0,0,0,0,0,1,1,2,2,2
