Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06
Montana,Beaverhead,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,Big Horn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,Blaine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,Broadwater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,Carbon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,Carter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,Cascade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,Chouteau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,Custer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,Daniels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,Dawson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,Deer Lodge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,Fallon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,Fergus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,Flathead,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,Gallatin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,Garfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,Glacier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,Golden Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,Granite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,Hill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,Jefferson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,Judith Basin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,Lake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,Lewis and Clark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,Liberty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,Lincoln,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Montana,McCone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,Madison,0,0,0,0,0,0,0,2,2,2,2,1,1,1,1
Montana,Meagher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,Mineral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,Missoula,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Montana,Musselshell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,Petroleum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,Phillips,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,Pondera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,Powder River,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,Powell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,Prairie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,Ravalli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,Richland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,Roosevelt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,Rosebud,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,Sanders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,Sheridan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,Silver Bow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,Stillwater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,Sweet Grass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,Teton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,Toole,0,0,0,0,0,0,0,2,2,3,3,3,3,3,3
Montana,Treasure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,Wheatland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,Wibaux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,Yellowstone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,Out of MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,Unassigned,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
