Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
Nebraska,Adams,1,1,1,1,1,2,2,3,3,4,6,6
Nebraska,Antelope,0,0,0,0,0,0,0,0,1,1,1,1
Nebraska,Arthur,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Banner,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Blaine,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Boone,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Box Butte,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Boyd,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Brown,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Buffalo,2,2,2,2,4,4,5,6,6,7,8,9
Nebraska,Burt,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Butler,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Cass,1,2,2,2,2,2,2,2,2,2,2,2
Nebraska,Cedar,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Chase,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Cherry,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Cheyenne,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Clay,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Colfax,0,0,0,0,0,0,0,0,0,0,0,1
Nebraska,Cuming,0,0,0,0,0,0,0,0,0,1,1,1
Nebraska,Custer,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Dakota,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Dawes,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Dawson,0,0,0,0,0,1,1,1,1,1,1,1
Nebraska,Deuel,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Dixon,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Dodge,0,0,0,0,0,2,2,3,3,4,4,5
Nebraska,Douglas,34,39,43,44,44,51,57,75,85,101,116,124
Nebraska,Dundy,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Fillmore,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Franklin,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Frontier,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Furnas,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Gage,0,1,1,1,1,1,1,0,0,0,1,2
Nebraska,Garden,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Garfield,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Gosper,0,0,0,0,0,0,1,1,1,1,1,1
Nebraska,Grant,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Greeley,0,0,0,0,0,0,0,0,0,0,0,0
