Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06
Nebraska,Adams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Antelope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Arthur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Banner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Blaine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Boone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Box Butte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Boyd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Buffalo,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Nebraska,Burt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Butler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Cass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Cedar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Chase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Cherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Cheyenne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Clay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Colfax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Cuming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Custer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Dakota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Dawes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Dawson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Deuel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Dixon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Dodge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Douglas,0,0,0,0,0,1,1,1,1,1,1,1,1,3,4
Nebraska,Dundy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Fillmore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Franklin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Frontier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Furnas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Gage,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Nebraska,Garden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Garfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Gosper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Grant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Greeley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Hall,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Nebraska,Hamilton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Harlan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Hayes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Hitchcock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Holt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Hooker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Howard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Jefferson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Johnson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Kearney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Keith,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Keya Paha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Kimball,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Knox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Lancaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Lincoln,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Nebraska,Logan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Loup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,McPherson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Madison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Nebraska,Merrick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Morrill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Nance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Nemaha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Nuckolls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
