Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
Nevada,Churchill,0,0,0,0,0,0,0,0,0,0,0,0
Nevada,Clark,126,212,249,350,443,443,528,753,869,961,1125,1279
Nevada,Douglas,0,2,3,3,3,5,5,5,6,6,6,7
Nevada,Elko,2,2,2,2,2,2,3,3,5,5,5,7
Nevada,Esmeralda,0,0,0,0,0,0,0,0,0,0,0,0
Nevada,Eureka,0,0,0,0,0,0,0,0,0,0,0,0
Nevada,Humboldt,0,0,0,0,1,1,1,1,3,5,5,7
Nevada,Lander,0,0,0,0,0,0,0,0,0,0,0,0
Nevada,Lincoln,0,0,0,0,0,0,0,0,0,0,0,0
Nevada,Lyon,0,0,1,1,1,1,1,1,1,1,1,2
Nevada,Mineral,0,0,0,0,0,0,0,0,0,0,0,0
Nevada,Nye,0,1,1,1,1,1,1,1,1,4,4,6
Nevada,Pershing,0,0,0,0,0,0,0,0,0,0,0,0
Nevada,Storey,0,0,0,0,0,0,0,0,0,0,0,0
Nevada,Washoe,25,44,50,57,67,75,107,111,121,143,163,184
Nevada,White Pine,0,0,0,0,0,0,0,0,1,1,1,1
Nevada,Carson City,3,2,2,2,2,5,5,5,5,5,5,5
Nevada,Out of NV,0,0,0,0,0,0,0,0,0,0,0,0
Nevada,Unassigned,89,15,15,4,16,93,269,132,102,148,148,16
